"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","3","2","1","3","3","1","2","2","3","3","3","1","3","1","2","6","4","5","2"
"2","1","3","2","3","1","2","3","2","1","1","1","1","4","5","6","7","8","9","2"
"3","3","2","1","3","3","2","1","3","3","2","1","3","8","8","8","8","8","8","1"
"4","3","1","2","2","3","3","3","1","3","2","1","3","2","3","1","5","6","4","2"
"5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","3","3","3","1","1","2","3","2","2","1","3","3","3","7","5","8","6","1","8"
"7","1","1","1","1","3","2","1","3","2","3","1","2","7","3","5","2","4","9","6"
"8","3","2","1","3","1","2","3","2","2","2","2","1","7","4","1","3","9","6","7"
"9","3","1","2","2","1","3","2","3","2","2","2","1","1","8","6","9","4","2","8"
"10","3","3","3","1","2","2","2","1","1","1","1","1","2","6","7","3","4","8","5"
"11","1","3","2","3","3","1","2","2","2","2","2","1","9","2","4","1","6","8","6"
"12","3","2","1","3","2","3","1","2","1","1","1","1","5","7","3","9","2","4","6"
"13","1","3","2","3","3","3","3","1","2","3","1","2","1","4","7","8","2","5","4"
"14","2","3","1","2","3","3","3","1","1","3","2","3","5","2","8","7","4","1","7"
"15","1","1","1","1","1","2","3","2","1","3","2","3","9","8","7","6","5","4","3"
"16","2","2","2","1","1","1","1","1","3","3","3","1","7","2","6","8","3","4","5"
"17","2","1","3","3","1","1","1","1","3","1","2","2","5","8","2","3","6","9","4"
"18","1","3","2","3","2","1","3","3","3","2","1","3","7","6","2","9","5","1","9"
"19","2","3","1","2","1","2","3","2","3","1","2","2","8","3","4","9","1","5","5"
"20","3","1","2","2","1","1","1","1","2","1","3","3","9","6","3","2","8","5","7"
"21","2","2","2","1","3","2","1","3","1","2","3","2","4","1","7","9","6","3","7"
"22","2","3","1","2","1","3","2","3","3","3","3","1","4","7","1","2","5","8","4"
"23","1","2","3","2","1","2","3","2","1","2","3","2","2","2","2","2","2","2","1"
"24","3","1","2","2","2","1","3","3","1","1","1","1","8","2","5","6","9","3","4"
"25","2","3","1","2","3","2","1","3","1","1","1","1","9","4","2","5","3","7","8"
"26","2","3","1","2","3","1","2","2","1","2","3","2","1","9","5","3","8","4","9"
"27","1","1","1","1","2","1","3","3","3","1","2","2","3","9","6","5","2","8","7"
