"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","2","2","2","1","2","1","2","2","1","4","3","2","4","1","1","3","2","6"
"2","1","1","1","2","2","1","2","2","2","4","4","4","3","3","3","1","1","1","3"
"3","2","2","1","2","2","2","1","2","1","2","4","1","4","3","1","4","2","3","5"
"4","2","2","2","2","1","1","1","1","3","3","4","2","1","3","2","1","2","4","3"
"5","1","1","2","1","2","2","1","2","3","1","1","1","2","2","2","4","4","4","3"
"6","1","2","1","2","2","1","1","1","4","2","1","3","3","4","2","1","4","3","4"
"7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8","2","1","1","2","2","2","2","1","3","3","1","4","2","4","1","3","2","1","4"
"9","1","2","1","1","1","1","2","2","3","4","1","2","3","1","4","4","2","3","6"
"10","2","1","1","1","1","2","1","2","4","2","3","4","2","1","3","1","2","4","6"
"11","2","2","1","1","1","2","2","1","2","3","2","1","2","3","4","1","4","3","1"
"12","2","2","2","2","1","1","1","1","3","4","2","3","2","1","3","2","4","1","5"
"13","1","1","2","2","1","2","2","1","4","1","1","1","3","3","3","2","2","2","5"
"14","1","1","1","1","1","1","1","1","1","4","4","4","2","2","2","3","3","3","5"
"15","2","2","1","2","2","2","1","2","1","4","1","2","1","4","3","2","3","4","1"
"16","1","2","1","1","1","1","2","2","3","2","4","1","1","4","3","3","4","2","2"
"17","2","1","2","1","2","1","1","1","2","2","4","1","3","1","4","2","3","4","4"
"18","2","1","2","2","1","1","2","2","1","3","2","1","3","4","2","4","3","1","6"
"19","1","2","2","1","2","2","2","1","1","2","3","4","1","3","2","2","4","1","6"
"20","2","2","1","1","1","2","2","1","2","1","3","2","3","4","2","3","1","4","5"
"21","2","2","2","1","2","1","2","2","4","4","3","1","2","4","1","2","1","3","3"
"22","1","1","2","1","2","2","1","2","3","3","3","3","3","3","3","3","3","3","1"
"23","2","1","1","2","2","2","2","1","3","4","3","1","4","1","2","1","3","2","2"
"24","2","2","1","1","1","2","2","1","2","2","1","3","4","2","3","4","3","1","3"
"25","2","1","2","2","1","1","2","2","1","2","1","3","2","3","4","3","1","4","2"
"26","1","1","1","2","2","1","2","2","2","3","3","3","1","1","1","4","4","4","5"
"27","2","1","1","1","1","2","1","2","4","4","2","3","1","3","2","4","1","2","4"
"28","2","1","2","1","2","1","1","1","2","4","1","2","4","3","1","3","4","2","6"
"29","1","1","2","1","2","2","1","2","3","2","2","2","4","4","4","1","1","1","5"
"30","1","2","2","1","2","2","2","1","1","4","2","3","3","2","1","1","2","4","2"
"31","2","1","2","1","2","1","1","1","2","1","2","4","1","4","3","4","2","3","2"
"32","2","1","1","2","2","2","2","1","3","1","4","3","1","2","4","2","1","3","6"
"33","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"34","1","2","1","1","1","1","2","2","3","1","2","4","4","3","1","2","3","4","4"
"35","1","1","2","2","1","2","2","1","4","2","2","2","1","1","1","3","3","3","3"
"36","2","2","2","2","1","1","1","1","3","2","3","4","3","2","1","4","1","2","1"
"37","1","2","2","1","2","2","2","1","1","3","4","2","2","1","3","4","1","2","4"
"38","2","1","2","2","1","1","2","2","1","1","3","2","4","2","3","1","4","3","4"
"39","2","1","1","1","1","2","1","2","4","3","4","2","3","2","1","2","4","1","2"
"40","2","2","2","1","2","1","2","2","4","3","1","4","1","2","4","1","3","2","5"
"41","1","1","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","3"
"42","1","2","1","2","2","1","1","1","4","1","3","2","2","3","4","4","3","1","2"
"43","1","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","4","1"
"44","1","2","2","2","1","2","1","2","2","3","1","4","4","1","2","2","1","3","2"
"45","1","2","2","2","1","2","1","2","2","4","3","1","1","2","4","3","2","1","4"
"46","2","2","2","1","2","1","2","2","4","1","4","3","4","1","2","3","2","1","1"
"47","1","2","1","2","2","1","1","1","4","3","2","1","4","2","3","3","1","4","6"
"48","2","2","1","2","2","2","1","2","1","1","2","4","3","1","4","3","4","2","3"
