"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","1","3","2","3","1","3","2","3","3","3","3","3","3","3","3","1"
"2","2","3","1","2","2","1","3","3","5","1","3","2","7","9","8","3"
"3","2","3","1","2","2","2","2","1","4","8","9","7","2","3","1","2"
"4","2","2","2","1","3","2","1","3","2","1","7","4","6","3","9","7"
"5","2","3","1","2","3","2","1","3","1","4","2","9","3","7","5","8"
"6","1","3","2","3","1","1","1","1","2","7","9","8","4","6","5","3"
"7","1","2","3","2","2","2","2","1","8","7","4","1","3","9","6","7"
"8","2","2","2","1","1","3","2","3","7","4","9","2","8","1","6","6"
"9","1","1","1","1","2","3","1","2","8","2","9","4","7","5","3","8"
"10","3","1","2","2","2","1","3","3","1","2","5","8","9","3","6","4"
"11","3","2","1","3","3","1","2","2","9","1","2","3","4","5","6","2"
"12","1","3","2","3","3","2","1","3","4","9","1","5","7","2","6","5"
"13","2","2","2","1","2","2","2","1","5","5","5","5","5","5","5","1"
"14","3","2","1","3","3","3","3","1","7","6","5","4","3","2","1","3"
"15","1","1","1","1","3","3","3","1","5","7","2","6","8","3","4","5"
"16","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"17","1","3","2","3","2","3","1","2","9","8","5","2","1","7","4","7"
"18","2","3","1","2","3","1","2","2","2","9","5","1","8","4","3","9"
"19","3","1","2","2","3","2","1","3","9","5","4","6","2","1","3","3"
"20","1","3","2","3","2","2","2","1","7","1","8","6","9","4","2","8"
"21","1","2","3","2","3","1","2","2","6","8","3","4","9","1","5","5"
"22","2","2","2","1","3","1","2","2","3","6","1","8","2","9","4","8"
"23","3","1","2","2","2","2","2","1","3","9","2","4","1","6","8","6"
"24","1","2","3","2","3","2","1","3","5","6","9","3","1","4","7","4"
"25","2","1","3","3","1","2","3","2","9","6","8","1","7","3","5","6"
"26","2","1","3","3","3","1","2","2","1","3","9","6","5","2","8","7"
"27","1","1","1","1","1","3","2","3","2","6","4","5","9","7","8","2"
"28","1","1","1","1","2","1","3","3","7","9","6","3","2","8","5","7"
"29","2","1","3","3","2","3","1","2","5","9","7","8","3","1","2","2"
"30","2","2","2","1","1","2","3","2","8","9","3","6","4","7","1","4"
"31","3","2","1","3","2","2","2","1","2","3","6","9","7","1","4","4"
"32","3","3","3","1","2","3","1","2","3","1","4","7","8","2","5","4"
"33","3","2","1","3","1","2","3","2","5","4","1","7","9","6","3","7"
"34","2","2","2","1","3","3","3","1","1","8","4","3","7","6","2","9"
"35","2","1","3","3","1","3","2","3","8","1","5","9","2","6","7","5"
"36","2","3","1","2","3","3","3","1","3","2","8","5","4","1","7","7"
"37","3","1","2","2","1","3","2","3","5","8","6","1","4","2","9","8"
"38","3","1","2","2","1","1","1","1","4","6","3","9","8","5","2","7"
"39","2","3","1","2","2","3","1","2","6","6","6","6","6","6","6","1"
"40","1","2","3","2","2","1","3","3","9","3","7","5","8","6","1","8"
"41","1","3","2","3","1","2","3","2","1","5","6","4","8","9","7","2"
"42","3","2","1","3","2","3","1","2","1","7","3","5","2","4","9","6"
"43","3","3","3","1","1","2","3","2","4","7","5","3","6","1","8","8"
"44","3","3","3","1","1","1","1","1","5","3","8","4","2","7","6","9"
"45","3","3","3","1","3","2","1","3","7","2","3","1","5","6","4","2"
"46","2","3","1","2","1","1","1","1","8","5","7","3","9","2","4","6"
"47","2","1","3","3","3","2","1","3","3","7","6","2","9","5","1","9"
"48","1","2","3","2","1","2","3","2","2","2","2","2","2","2","2","1"
"49","1","1","1","1","1","2","3","2","3","8","7","9","5","4","6","3"
"50","3","3","3","1","3","1","2","2","8","4","6","5","1","3","2","3"
"51","2","1","3","3","2","1","3","3","4","4","4","4","4","4","4","1"
"52","1","1","1","1","2","2","2","1","9","4","3","8","6","2","7","9"
"53","3","2","1","3","2","1","3","3","3","5","9","1","6","7","2","5"
"54","1","2","3","2","1","3","2","3","1","9","8","7","6","5","4","3"
"55","3","3","3","1","3","3","3","1","9","9","9","9","9","9","9","1"
"56","3","1","2","2","2","3","1","2","2","4","8","3","5","9","1","5"
"57","3","1","2","2","3","1","2","2","7","7","7","7","7","7","7","1"
"58","2","2","2","1","1","1","1","1","9","2","6","7","3","4","8","5"
"59","1","2","3","2","2","3","1","2","7","5","1","9","4","3","8","9"
"60","1","2","3","2","1","1","1","1","3","4","5","6","7","8","9","2"
"61","2","3","1","2","1","2","3","2","7","3","4","8","1","5","9","5"
"62","1","1","1","1","3","2","1","3","6","3","5","7","4","9","2","6"
"63","2","3","1","2","1","3","2","3","9","7","1","4","5","8","2","4"
"64","3","3","3","1","2","1","3","3","2","8","1","6","3","5","7","6"
"65","2","1","3","3","2","2","2","1","6","2","1","3","8","7","9","3"
"66","2","1","3","3","1","1","1","1","7","8","2","5","6","9","3","4"
"67","3","2","1","3","1","1","1","1","6","9","4","2","5","3","7","8"
"68","1","3","2","3","3","3","3","1","6","4","7","1","2","5","8","4"
"69","3","3","3","1","2","2","2","1","1","6","7","2","4","8","3","5"
"70","3","3","3","1","1","3","2","3","6","5","2","8","7","4","1","7"
"71","1","1","1","1","3","1","2","2","4","5","8","2","3","6","9","4"
"72","2","1","3","3","3","3","3","1","2","5","3","7","1","8","6","8"
"73","3","1","2","2","1","2","3","2","6","1","9","5","3","8","4","9"
"74","3","2","1","3","1","3","2","3","4","2","7","6","1","9","5","9"
"75","3","2","1","3","3","2","1","3","8","8","8","8","8","8","8","1"
"76","1","3","2","3","2","1","3","3","8","6","2","7","5","1","9","9"
"77","1","2","3","2","3","3","3","1","4","1","6","8","5","7","3","6"
"78","2","2","2","1","2","3","1","2","4","3","2","1","9","8","7","3"
"79","1","3","2","3","3","1","2","2","5","2","4","9","6","8","1","6"
"80","2","2","2","1","2","1","3","3","6","7","8","9","1","2","3","2"
"81","3","1","2","2","3","3","3","1","8","3","1","2","6","4","5","2"
