"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"1","1","1","2","1","1","2","1","2","2","2","1","2","1","1","2","1","3","4"
"2","2","2","1","1","2","1","1","2","2","1","2","2","2","2","2","2","2","5"
"3","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","2","2","9"
"4","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","1","3","8"
"5","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","1","2","3"
"6","2","2","2","2","2","1","2","2","1","1","2","1","1","2","2","1","2","7"
"7","2","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","1","7"
"8","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","2","1","8"
"9","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","2","3","5"
"10","2","1","2","1","1","1","2","1","2","2","1","1","2","2","2","2","1","5"
"11","1","2","1","1","2","1","1","2","2","2","1","1","1","2","1","1","3","7"
"12","1","2","1","1","1","2","2","2","1","2","2","2","2","2","2","1","2","2"
"13","1","2","2","2","1","2","2","1","2","1","1","2","1","1","2","2","1","1"
"14","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1","1","2"
"15","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","10"
"16","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","1","5"
"17","2","2","1","1","1","2","2","2","2","2","2","2","1","2","1","2","1","6"
"18","1","1","2","2","2","1","1","1","1","2","1","2","1","1","1","1","2","5"
"19","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","3","10"
"20","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","1","3","3"
"21","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","2","3","1"
"22","1","2","2","1","2","1","2","1","1","1","1","1","2","1","1","2","1","9"
"23","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","10"
"24","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","9"
"25","2","1","1","2","1","2","2","1","1","1","2","2","1","2","1","1","3","5"
"26","2","1","1","2","1","2","2","2","1","1","2","1","2","1","1","2","1","4"
"27","2","2","1","2","1","1","1","2","2","2","1","1","2","1","1","1","3","1"
"28","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","1","3"
"29","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","1","3","9"
"30","1","1","1","2","1","1","2","1","2","2","1","1","2","2","2","2","2","3"
"31","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","1","2","8"
"32","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","2","2","7"
"33","2","2","2","1","1","1","2","1","1","2","1","2","2","2","1","2","3","4"
"34","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","1","3","2"
"35","2","1","2","2","1","2","1","2","2","1","1","1","1","2","1","2","3","9"
"36","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","2","3","7"
"37","1","2","2","1","1","2","2","1","1","2","1","2","1","2","1","2","2","8"
"38","1","2","1","1","2","1","2","2","2","1","2","1","1","1","2","2","2","4"
"39","1","2","2","2","1","1","1","2","2","1","2","1","2","2","1","1","1","8"
"40","1","2","2","1","2","1","1","1","2","2","2","2","2","1","1","2","1","2"
"41","2","1","2","2","2","1","1","1","2","1","1","2","2","2","2","1","2","4"
"42","2","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","6"
"43","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","2","3","2"
"44","1","1","1","1","2","1","2","2","1","1","1","2","2","1","2","2","3","6"
"45","2","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","1","9"
"46","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","2","1","3"
"47","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","1","1"
"48","1","1","1","2","1","1","1","2","1","2","2","2","2","1","2","2","1","7"
"49","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","2","2","1"
"50","2","2","2","2","2","1","2","1","2","2","1","2","1","2","2","1","1","6"
"51","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","1","2","1"
"52","2","2","2","2","2","2","2","2","1","2","1","2","2","1","1","1","3","10"
"53","1","2","1","2","1","2","1","1","2","1","1","1","2","1","1","1","2","6"
"54","1","2","2","2","1","1","1","2","1","1","1","2","1","1","2","2","3","3"
"55","2","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","2"
"56","1","2","2","2","2","2","1","1","2","1","2","1","1","2","2","2","1","10"
"57","1","2","1","2","2","2","1","1","1","2","2","1","1","2","1","1","1","4"
"58","1","1","2","1","2","2","1","1","1","1","2","1","2","2","2","1","3","6"
"59","1","1","1","2","2","2","2","2","2","2","1","2","2","2","1","2","2","10"
"60","2","2","1","2","2","1","2","1","1","2","2","1","2","1","1","2","3","8"
