"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","1","2","1","2","2","2","2","1","2","3","2","2","2","2","4","8","4","5","5"
"2","2","2","2","2","2","1","2","1","1","1","2","4","1","3","1","1","4","4","2","7","3"
"3","1","1","2","2","1","1","1","2","2","1","3","1","2","2","1","3","5","4","3","8","7"
"4","1","1","2","2","2","2","1","1","1","1","4","2","4","2","3","3","2","2","2","4","5"
"5","1","2","1","2","2","2","1","2","2","1","3","4","1","1","1","2","3","2","7","2","4"
"6","1","2","2","1","2","1","2","2","1","2","4","1","2","3","1","4","7","8","7","4","2"
"7","2","2","2","2","2","2","1","2","2","1","4","4","4","4","4","1","8","8","8","8","8"
"8","2","2","2","2","1","1","1","1","1","1","3","3","2","4","2","1","3","6","5","4","6"
"9","1","1","1","1","1","1","1","1","2","2","2","4","4","3","4","1","5","2","5","5","2"
"10","2","2","1","1","2","1","2","1","1","1","4","3","4","4","1","3","5","1","4","3","4"
"11","1","2","2","1","2","2","1","2","2","1","1","3","4","2","1","4","6","3","5","6","3"
"12","2","1","1","2","1","1","1","2","2","1","4","1","3","3","4","4","2","6","4","2","3"
"13","1","1","2","2","2","2","1","2","1","2","3","4","3","4","2","3","7","1","6","5","3"
"14","1","1","1","1","1","2","2","1","1","1","3","2","2","2","4","1","8","5","7","3","3"
"15","1","1","1","1","1","1","1","2","2","1","1","2","3","1","1","1","4","1","1","4","8"
"16","1","1","2","2","2","1","2","2","2","1","2","2","1","1","2","3","6","6","8","3","2"
"17","1","1","1","1","2","1","2","2","2","1","4","1","4","2","2","1","3","7","6","7","1"
"18","1","1","1","1","1","2","2","2","1","2","4","4","1","4","1","1","1","6","3","6","5"
"19","2","2","1","1","1","2","2","1","2","2","4","2","1","2","2","3","7","4","5","2","8"
"20","1","2","2","1","1","1","1","1","1","1","2","4","2","2","3","4","1","1","8","2","1"
"21","1","1","1","1","2","2","1","1","1","1","2","1","1","1","3","1","7","3","4","8","6"
"22","1","1","1","1","2","1","2","1","2","2","3","3","3","4","3","1","6","8","2","2","7"
"23","2","1","1","2","1","1","1","1","2","2","3","3","4","1","1","4","7","5","8","7","5"
"24","2","2","1","1","1","1","1","1","1","1","1","4","3","3","2","3","6","7","7","8","5"
"25","2","2","2","2","1","1","1","2","1","2","4","1","1","2","3","1","6","5","1","5","4"
"26","2","1","2","1","1","1","1","2","2","1","2","2","2","4","4","2","7","7","2","6","4"
"27","2","1","1","2","2","2","1","1","1","1","3","2","1","3","2","4","5","8","1","6","1"
"28","1","1","1","1","2","2","1","2","1","2","1","3","2","3","2","1","2","4","8","1","4"
"29","2","2","2","2","1","2","2","2","2","1","1","3","3","3","3","1","7","2","3","3","1"
"30","2","1","2","1","2","2","1","2","1","2","2","3","3","2","3","2","5","6","7","7","8"
"31","1","2","2","1","1","2","2","2","2","1","4","4","3","1","2","4","5","5","2","1","6"
"32","2","1","2","1","2","1","2","1","2","2","4","3","2","1","2","2","1","2","1","8","3"
"33","2","1","2","1","2","1","2","2","2","1","3","1","1","3","3","2","8","1","5","1","5"
"34","2","2","1","1","2","2","1","1","2","2","1","1","2","1","1","3","8","6","2","5","1"
"35","2","1","1","2","2","1","2","1","2","2","2","4","3","2","2","4","8","3","3","4","4"
"36","2","1","1","2","2","2","1","2","1","2","4","4","2","1","3","4","4","7","5","3","7"
"37","1","2","2","1","2","1","2","1","1","1","3","3","1","1","4","4","2","7","3","5","8"
"38","2","2","2","2","2","1","2","2","1","2","1","2","2","1","4","1","5","3","6","2","5"
"39","2","2","1","1","2","2","1","2","2","1","2","3","1","3","4","3","1","5","6","4","7"
"40","1","1","2","2","1","2","2","2","1","2","2","3","4","3","1","3","8","7","1","2","6"
"41","2","1","1","2","1","2","2","2","1","2","1","3","1","2","4","4","3","1","2","8","2"
"42","2","1","1","2","1","2","2","1","1","1","2","1","2","4","1","4","6","2","6","1","8"
"43","1","2","2","1","2","2","1","1","2","2","2","1","3","4","4","4","3","4","1","3","5"
"44","2","1","2","1","1","2","2","2","1","2","3","4","4","1","4","2","6","4","4","4","1"
"45","2","2","1","1","1","2","2","2","2","1","3","4","2","4","3","3","2","3","1","7","2"
"46","2","1","2","1","2","2","1","1","1","1","1","1","4","4","2","2","4","5","3","2","2"
"47","1","1","2","2","1","2","2","1","1","1","1","1","3","1","4","3","1","8","5","7","4"
"48","1","2","1","2","2","1","2","1","1","1","1","4","4","2","4","2","7","6","1","1","7"
"49","2","1","2","1","1","1","1","1","2","2","1","4","1","2","1","2","2","8","6","3","6"
"50","2","1","1","2","2","1","2","2","2","1","1","2","4","4","3","4","1","4","7","5","6"
"51","1","2","1","2","2","2","1","1","2","2","4","2","2","3","4","2","6","1","3","7","6"
"52","2","2","2","2","1","2","2","1","2","2","2","1","4","1","2","1","2","1","7","6","7"
"53","1","2","1","2","1","1","1","1","1","1","4","3","3","1","3","2","8","4","6","6","2"
"54","2","2","1","1","2","1","2","2","1","2","3","1","3","2","4","3","4","2","8","6","6"
"55","1","1","2","2","1","1","1","1","2","2","4","3","1","4","4","3","4","3","7","1","1"
"56","2","1","2","1","1","2","2","1","1","1","4","2","3","3","1","2","3","3","8","5","7"
"57","1","2","1","2","1","2","2","1","2","2","1","1","1","4","3","2","5","7","8","4","3"
"58","2","2","1","1","1","1","1","2","1","2","2","2","4","1","3","3","3","8","3","1","3"
"59","1","2","1","2","2","1","2","2","1","2","2","2","3","4","1","2","2","5","5","8","1"
"60","1","2","2","1","1","2","2","1","2","2","3","2","4","3","3","4","4","6","6","8","4"
"61","1","2","2","1","1","1","1","2","1","2","1","2","1","4","2","4","8","2","4","7","7"
"62","1","2","1","2","1","1","1","2","1","2","3","1","4","3","2","2","1","3","2","3","8"
"63","2","2","2","2","2","2","1","1","2","2","3","2","3","2","1","1","1","7","4","1","2"
"64","1","1","2","2","2","1","2","1","2","2","1","4","2","3","3","3","3","5","4","6","8"
