"","A","B","C"
"1","2","1","10"
"2","1","2","36"
"3","2","1","28"
"4","1","2","38"
"5","2","1","2"
"6","2","1","26"
"7","1","2","6"
"8","2","1","24"
"9","1","2","26"
"10","1","1","7"
"11","1","2","28"
"12","1","1","17"
"13","1","2","8"
"14","1","1","33"
"15","1","2","2"
"16","2","2","13"
"17","2","1","6"
"18","2","1","32"
"19","1","2","14"
"20","2","2","17"
"21","1","2","34"
"22","1","1","11"
"23","2","2","31"
"24","1","2","32"
"25","2","2","23"
"26","1","1","1"
"27","1","1","15"
"28","1","2","30"
"29","2","2","9"
"30","1","2","18"
"31","2","1","30"
"32","2","2","1"
"33","2","2","11"
"34","1","2","24"
"35","1","1","23"
"36","2","1","36"
"37","2","2","35"
"38","1","1","35"
"39","2","1","20"
"40","2","1","8"
"41","1","2","20"
"42","2","1","16"
"43","1","2","12"
"44","2","2","27"
"45","2","2","37"
"46","1","1","27"
"47","2","2","33"
"48","1","1","25"
"49","2","1","18"
"50","2","2","25"
"51","1","1","31"
"52","1","1","29"
"53","2","2","5"
"54","2","2","29"
"55","2","1","12"
"56","2","1","38"
"57","2","2","19"
"58","1","2","10"
"59","1","2","4"
"60","2","2","7"
"61","1","1","37"
"62","1","1","5"
"63","2","1","4"
"64","2","2","15"
"65","2","2","21"
"66","1","1","9"
"67","1","2","22"
"68","2","2","3"
"69","2","1","34"
"70","1","2","16"
"71","1","1","13"
"72","1","1","19"
"73","2","1","22"
"74","2","1","14"
"75","1","1","21"
"76","1","1","3"
