,A,B,C
1,1,1,1
2,1,2,6
3,1,3,5
4,1,4,3
5,1,5,9
6,1,6,6
7,1,7,1
8,1,1,2
9,1,2,1
10,1,3,9
11,1,4,3
12,1,5,7
13,1,6,8
14,1,7,5
15,1,1,2
16,1,2,2
17,1,3,9
18,1,4,2
19,1,5,4
20,1,6,5
21,1,7,4
22,1,1,1
23,1,2,3
24,1,3,2
25,1,4,6
26,1,5,8
27,1,6,4
28,1,7,1
29,1,1,7
30,1,2,7
31,1,3,5
32,1,4,8
33,1,5,9
34,1,6,2
35,1,7,6
36,1,1,4
37,1,2,8
38,1,3,3
39,1,4,5
40,1,5,3
41,1,6,8
42,1,7,4
43,1,1,4
44,1,2,4
45,1,3,6
46,1,4,9
47,1,5,3
48,1,6,1
49,1,7,8
50,1,1,8
51,1,2,5
52,1,3,7
53,1,4,7
54,1,5,5
55,1,6,1
56,1,7,3
57,1,1,7
58,1,2,7
59,1,3,6
60,1,4,9
61,1,5,6
62,1,6,9
63,1,7,2
64,2,1,9
65,2,2,9
66,2,3,3
67,2,4,1
68,2,5,8
69,2,6,4
70,2,7,9
71,2,1,3
72,2,2,2
73,2,3,7
74,2,4,5
75,2,5,1
76,2,6,9
77,2,7,3
78,2,1,9
79,2,2,5
80,2,3,8
81,2,4,8
82,2,5,1
83,2,6,3
84,2,7,5
85,2,1,5
86,2,2,1
87,2,3,1
88,2,4,1
89,2,5,7
90,2,6,5
91,2,7,9
92,2,1,5
93,2,2,8
94,2,3,1
95,2,4,6
96,2,5,5
97,2,6,6
98,2,7,2
99,2,1,8
100,2,2,6
101,2,3,4
102,2,4,7
103,2,5,6
104,2,6,3
105,2,7,7
106,2,1,6
107,2,2,9
108,2,3,4
109,2,4,4
110,2,5,4
111,2,6,7
112,2,7,8
113,2,1,3
114,2,2,4
115,2,3,8
116,2,4,4
117,2,5,2
118,2,6,7
119,2,7,6
120,2,1,6
121,2,2,3
122,2,3,2
123,2,4,2
124,2,5,2
125,2,6,2
126,2,7,7
