"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","4","3","1","2","3","4","1","3","2","2","4","1","6"
"2","1","3","2","1","2","4","1","4","3","4","2","3","7"
"3","1","3","2","2","4","1","3","1","4","2","3","4","8"
"4","3","3","3","3","3","3","3","3","3","3","3","3","1"
"5","4","4","4","4","4","4","4","4","4","4","4","4","1"
"6","1","2","4","3","2","1","4","2","3","3","1","4","6"
"7","4","1","2","3","2","1","2","3","4","1","4","3","10"
"8","3","3","3","2","2","2","4","4","4","1","1","1","3"
"9","3","2","1","1","2","4","3","1","4","3","4","2","11"
"10","3","1","4","4","2","3","1","3","2","4","1","2","8"
"11","1","3","2","4","1","2","4","3","1","3","4","2","9"
"12","2","1","3","1","2","4","4","3","1","2","3","4","5"
"13","3","1","4","3","4","2","3","2","1","2","4","1","7"
"14","2","1","3","2","4","1","1","4","3","3","4","2","4"
"15","3","2","1","2","4","1","4","3","1","4","2","3","12"
"16","1","2","4","1","3","2","2","3","4","4","3","1","4"
"17","1","4","3","4","2","3","2","1","3","2","4","1","12"
"18","2","2","2","4","4","4","3","3","3","1","1","1","2"
"19","1","1","1","3","3","3","4","4","4","2","2","2","2"
"20","2","3","4","1","4","3","4","1","2","3","2","1","10"
"21","4","1","2","2","1","3","4","2","3","4","3","1","11"
"22","4","3","1","4","2","3","3","2","1","1","2","4","4"
"23","4","4","4","1","1","1","3","3","3","2","2","2","3"
"24","4","4","4","2","2","2","1","1","1","3","3","3","2"
"25","3","4","2","3","1","4","4","1","2","2","1","3","4"
"26","3","4","2","4","3","1","1","2","4","3","2","1","5"
"27","2","2","2","3","3","3","1","1","1","4","4","4","3"
"28","3","4","2","1","4","3","2","4","1","1","3","2","6"
"29","2","4","1","1","3","2","4","2","3","1","4","3","8"
"30","4","2","3","3","1","4","2","4","1","3","2","1","8"
"31","4","2","3","4","3","1","4","1","2","1","3","2","7"
"32","3","3","3","1","1","1","2","2","2","4","4","4","2"
"33","1","4","3","3","4","2","1","3","2","1","2","4","11"
"34","1","1","1","4","4","4","2","2","2","3","3","3","3"
"35","1","4","3","2","3","4","3","2","1","4","1","2","10"
"36","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","2","4","1","3","2","1","3","4","2","4","3","1","9"
"38","4","2","3","1","4","3","1","2","4","2","1","3","9"
"39","2","1","3","4","1","2","3","1","4","4","2","3","6"
"40","2","3","4","4","3","1","2","4","1","2","1","3","11"
"41","1","2","4","2","1","3","3","4","2","1","4","3","5"
"42","4","1","2","1","3","2","3","4","2","3","1","4","12"
"43","3","2","1","4","1","2","1","4","3","2","3","4","10"
"44","3","1","4","2","3","4","2","1","3","1","2","4","9"
"45","4","3","1","3","4","2","2","1","3","4","1","2","5"
"46","2","4","1","2","1","3","2","3","4","3","1","4","7"
"47","2","3","4","3","1","4","1","2","4","1","3","2","12"
"48","2","2","2","2","2","2","2","2","2","2","2","2","1"
