"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"29","1","2","1","2","2","1","2","1","1","1","1","1","1","1","2","2","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","4","2","4","3","8","6","6","6","1","2","3","7","7","5"
"30","2","2","2","2","2","1","2","2","2","1","2","1","2","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","2","2","1","1","1","1","2","2","1","3","1","3","2","6","2","1","6","5","4","8","5","4","11"
"31","2","1","1","2","1","2","2","2","1","2","1","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","2","2","1","3","1","3","1","4","6","2","3","8","1","4","8","1","13"
"32","2","2","1","1","2","2","1","2","2","1","2","2","1","2","1","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","1","2","1","2","1","2","2","4","3","4","1","4","5","5","7","5","7","3","1","1","9"
"33","2","1","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","3","3","1","1","7","4","2","6","3","4","7","2","6","16"
"34","2","2","1","1","2","2","1","1","2","2","2","1","2","1","2","2","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","2","2","1","2","1","1","4","1","4","5","6","8","5","1","1","2","1"
"35","1","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","1","2","1","4","1","5","5","4","3","8","5","3","3","4","12"
"36","1","2","1","2","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","2","1","1","3","4","4","4","3","3","4","6","5","6","4","7","11"
"37","2","1","1","2","1","1","1","2","1","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","2","2","1","2","2","1","4","4","4","3","2","4","7","1","5","5","4","5","5","10"
"38","2","2","2","2","1","1","1","2","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","2","3","4","1","3","3","1","8","4","2","4","1","2","7"
"39","1","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","3","4","3","6","7","4","5","7","8","2","1","6","13"
"40","2","1","2","1","1","2","2","1","1","1","1","2","2","1","1","1","2","1","2","2","1","2","2","2","1","1","2","2","2","2","1","2","1","2","2","2","1","1","4","2","1","5","2","3","1","8","4","5","1","7","4"
"41","2","2","2","2","1","1","1","1","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","1","1","2","1","2","2","1","2","2","2","1","2","1","2","4","1","1","4","2","6","1","5","1","4","2","1","1","15"
"42","2","2","1","1","1","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","2","1","2","1","2","1","1","1","1","2","2","2","2","1","1","2","2","1","2","4","2","8","4","4","1","2","4","6","6","1","7"
"43","2","1","2","1","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","1","1","1","1","1","1","2","1","2","3","1","4","4","5","3","6","8","7","7","6","2","6","10"
"44","2","2","1","1","2","1","2","1","1","1","1","1","1","1","2","2","2","2","1","2","1","2","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","1","3","1","2","2","2","5","4","7","8","4","3","8","8"
"45","1","2","1","2","1","1","1","2","1","2","2","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","2","2","3","1","1","1","1","6","3","1","7","7","8","4","8","3"
"46","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","8","6","2","3","6","8","4"
"47","2","2","2","2","2","2","1","1","2","2","2","1","2","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","5","1","8","5","5","6","6","8","7","8"
"48","2","2","2","2","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","2","1","2","2","1","2","2","2","1","1","1","1","2","2","1","1","2","2","1","3","2","3","7","7","1","7","8","2","6","5","3","3"
"49","1","1","1","1","2","1","2","1","1","1","2","2","1","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","1","2","2","1","2","2","2","4","4","1","8","1","4","5","6","8","6","5","13"
"50","2","1","2","1","2","2","1","2","2","1","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","4","4","3","1","6","3","2","4","4","3","5","6","8"
"51","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","2","4","7","2","2","2","7","4","7","13"
"52","1","2","1","2","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","2","1","2","2","2","1","1","2","2","2","2","1","1","2","2","2","1","2","1","2","1","4","6","1","6","1","3","1","4","5","2","12"
"53","1","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","2","2","1","1","2","2","1","2","2","1","2","2","2","2","1","1","2","2","1","1","1","4","1","3","4","3","6","4","7","2","6","6","5","8","1"
