"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","1","1","3","1","2","3","4","1","1","3","1","4","24"
"2","1","2","2","1","4","4","2","1","1","2","2","2","3","4","8"
"3","2","2","1","2","1","4","1","3","1","3","3","2","1","3","21"
"4","1","2","2","1","3","2","4","1","1","4","3","3","4","2","12"
"5","1","2","2","3","1","3","3","2","1","4","1","3","1","4","25"
"6","2","1","2","3","3","4","1","1","4","4","2","1","1","1","4"
"7","2","2","1","3","2","2","4","3","3","4","4","4","1","2","8"
"8","1","1","1","3","4","1","4","2","4","2","2","3","4","2","21"
"9","2","2","1","2","1","4","2","4","2","4","1","4","3","1","20"
"10","1","1","1","2","3","3","4","3","3","4","2","2","3","4","11"
"11","2","1","2","1","4","3","4","2","3","2","1","2","4","1","15"
"12","2","1","2","2","4","2","1","4","3","2","2","4","2","3","24"
"13","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"14","1","2","2","1","3","1","2","4","4","3","1","2","3","4","13"
"15","2","2","1","1","3","1","4","1","2","3","4","2","4","1","22"
"16","1","2","2","3","1","3","1","4","3","2","4","2","4","1","23"
"17","2","1","2","1","2","3","4","2","4","2","1","4","3","1","19"
"18","1","2","2","1","3","4","1","2","3","1","4","4","2","3","14"
"19","1","1","1","3","4","1","3","1","3","1","4","1","2","4","20"
"20","2","1","2","3","3","4","4","4","1","1","1","2","2","2","3"
"21","2","1","2","4","2","1","4","3","2","4","1","1","3","2","14"
"22","1","1","1","4","2","4","2","3","4","1","3","1","3","2","23"
"23","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"24","2","2","1","2","1","4","3","1","3","1","2","3","4","2","19"
"25","2","1","2","4","1","1","3","4","4","3","3","3","2","1","8"
"26","2","2","1","2","3","4","3","1","4","1","2","1","3","2","15"
"27","1","2","2","1","4","4","4","3","3","4","3","3","2","1","10"
"28","1","2","2","1","4","4","1","2","2","1","4","4","1","2","9"
"29","2","2","1","4","4","4","4","4","4","4","4","4","4","4","1"
"30","2","1","2","2","4","2","2","3","4","1","4","2","4","1","25"
"31","2","2","1","1","2","1","3","2","3","4","2","3","1","4","28"
"32","1","2","2","3","1","3","2","3","4","1","2","4","2","3","22"
"33","2","2","1","1","2","3","2","1","2","3","4","1","4","3","26"
"34","2","2","1","4","4","3","4","4","1","1","4","3","3","3","2"
"35","1","1","1","4","3","4","2","3","2","1","3","2","4","1","28"
"36","2","2","1","4","4","2","2","2","1","1","1","3","3","3","6"
"37","1","2","2","2","2","3","3","3","1","1","1","4","4","4","7"
"38","1","1","1","1","1","2","4","4","1","1","2","1","1","1","5"
"39","1","1","1","4","2","4","3","2","1","4","4","2","4","1","24"
"40","1","1","1","2","4","2","1","3","3","4","2","1","4","3","13"
"41","2","1","2","4","1","1","2","1","1","2","4","4","1","2","11"
"42","1","1","1","3","4","1","2","4","2","4","3","2","1","3","19"
"43","1","2","2","3","4","3","1","4","1","2","4","1","3","2","28"
"44","1","2","2","2","2","4","4","4","3","3","3","1","1","1","6"
"45","1","1","1","1","1","2","3","3","2","2","4","3","3","3","4"
"46","1","1","1","3","2","1","2","4","1","4","3","4","2","3","15"
"47","1","2","2","4","1","2","1","3","2","3","4","3","1","4","15"
"48","1","1","1","4","3","2","3","4","3","2","1","4","1","2","26"
"49","1","1","1","2","4","1","3","2","2","3","4","4","3","1","12"
"50","2","1","2","1","4","2","3","4","2","1","3","1","2","4","17"
"51","2","1","2","2","1","1","2","4","3","1","4","3","4","2","27"
"52","1","1","1","2","3","3","3","4","4","3","4","4","1","2","10"
"53","2","2","1","3","2","2","1","2","2","1","3","3","2","1","11"
"54","1","1","1","3","2","4","1","2","4","3","1","3","4","2","17"
"55","2","2","1","2","1","4","4","2","4","2","4","1","2","4","18"
"56","2","2","1","3","1","2","3","4","1","3","2","2","4","1","14"
"57","1","2","2","4","3","2","3","1","3","1","1","4","3","1","21"
"58","2","1","2","2","1","4","1","2","1","4","3","2","3","4","26"
"59","2","1","2","4","1","1","1","2","2","1","2","2","3","4","10"
"60","1","1","1","2","4","3","2","1","4","2","3","3","1","4","14"
"61","1","1","1","4","3","3","4","2","1","3","2","1","2","4","27"
"62","1","2","2","3","1","3","4","1","2","3","3","1","3","2","24"
"63","2","1","2","4","2","4","3","1","1","2","4","3","2","1","13"
"64","1","1","1","4","2","4","1","4","3","2","1","3","1","4","22"
"65","2","2","1","1","3","1","3","2","1","4","2","4","2","3","23"
"66","1","1","1","3","2","2","4","1","3","1","4","2","3","4","16"
"67","2","2","1","4","4","3","3","3","2","2","2","1","1","1","3"
"68","2","1","2","1","2","3","3","1","3","1","3","2","1","3","18"
"69","1","2","2","4","1","3","2","1","3","4","2","4","3","1","17"
"70","2","1","2","4","1","1","4","3","3","4","1","1","4","3","9"
"71","1","1","1","4","2","4","4","1","2","3","2","4","2","3","25"
"72","2","1","2","1","2","3","1","3","1","3","2","3","4","2","20"
"73","2","2","1","2","3","1","4","3","1","2","4","2","1","3","17"
"74","2","2","1","3","2","2","3","4","4","3","2","2","3","4","9"
"75","2","1","2","3","3","4","3","3","2","2","3","4","4","4","2"
"76","2","1","2","3","3","4","2","2","3","3","4","3","3","3","5"
"77","1","2","2","4","3","2","1","3","1","3","4","1","2","4","19"
"78","1","2","2","2","2","1","2","2","3","3","2","1","1","1","2"
"79","2","1","2","3","3","2","2","2","4","4","4","1","1","1","7"
"80","1","2","2","4","1","1","3","2","4","2","3","1","4","3","16"
"81","1","1","1","2","3","3","1","2","2","1","1","1","4","3","8"
"82","1","1","1","1","1","2","2","2","3","3","3","4","4","4","3"
"83","2","2","1","2","3","3","1","4","2","4","1","3","2","1","16"
"84","2","2","1","4","4","3","1","1","4","4","3","4","4","4","5"
"85","1","2","2","3","4","1","4","3","4","1","2","3","2","1","26"
"86","1","1","1","1","1","2","1","1","4","4","1","2","2","2","2"
"87","2","2","1","3","2","2","2","1","1","2","1","1","4","3","10"
"88","2","2","1","3","1","4","2","3","3","2","1","1","2","4","12"
"89","1","1","1","1","1","3","3","3","4","4","4","2","2","2","6"
"90","1","2","2","2","2","1","3","3","2","2","1","2","2","2","5"
"91","2","1","2","3","3","3","3","3","3","3","3","3","3","3","1"
"92","2","2","1","1","2","2","1","3","4","2","3","4","3","1","27"
"93","1","2","2","1","4","4","3","4","4","3","1","1","4","3","11"
"94","1","2","2","4","3","2","2","4","2","4","2","3","4","2","18"
"95","2","2","1","4","4","1","1","1","3","3","3","2","2","2","7"
"96","2","1","2","3","3","1","1","1","2","2","2","4","4","4","6"
"97","2","1","2","1","2","3","2","4","2","4","4","1","2","4","21"
"98","1","1","1","3","4","1","1","3","1","3","1","4","3","1","18"
"99","1","2","2","2","2","1","1","1","4","4","4","3","3","3","3"
"100","1","2","2","2","2","1","4","4","1","1","3","4","4","4","4"
"101","1","1","1","2","3","3","2","1","1","2","3","3","2","1","9"
"102","2","2","1","3","1","3","4","2","2","1","3","4","1","2","13"
"103","2","2","1","1","3","1","1","4","3","2","3","1","3","2","25"
"104","2","1","2","2","4","2","4","1","2","3","1","3","1","4","23"
"105","2","2","1","4","4","3","2","2","3","3","1","2","2","2","4"
"106","2","1","2","2","1","2","4","1","4","3","1","4","2","3","28"
