"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","2","2","2","2","2","2","3","3","1","1","3","3","1","1","2"
"3","1","1","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3"
"4","1","1","2","2","1","1","1","1","2","2","3","3","2","2","3","3","2"
"5","2","1","2","1","2","1","3","1","3","1","3","2","3","2","1","2","1"
"6","1","2","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3"
"7","1","1","2","2","2","2","3","3","2","2","3","3","1","1","1","1","3"
"8","1","2","2","1","2","3","2","1","1","2","1","3","3","1","3","2","2"
"9","2","2","2","2","3","2","2","1","1","3","3","2","1","2","3","1","1"
"10","2","2","2","1","3","2","2","1","3","1","2","3","2","1","1","3","3"
"11","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"12","2","2","2","2","1","3","3","2","2","1","1","3","2","3","1","2","1"
"13","2","1","1","2","2","3","1","2","1","3","3","2","2","1","1","3","3"
"14","2","2","1","2","2","1","3","1","1","3","2","3","2","3","2","1","2"
"15","2","1","1","2","1","2","3","1","3","2","2","1","1","3","3","2","3"
"16","2","2","2","2","2","1","1","3","3","2","2","1","3","1","2","3","1"
"17","2","2","1","2","1","3","2","3","3","2","1","2","1","2","1","3","2"
"18","1","2","1","2","3","1","3","2","3","2","1","2","2","1","3","1","1"
"19","1","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1"
"20","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","1"
"21","2","1","1","1","3","1","2","3","1","2","3","1","2","3","1","2","2"
"22","2","2","2","1","2","1","1","3","2","3","1","2","1","3","3","2","3"
"23","2","1","2","1","3","2","1","2","1","2","1","3","1","3","2","3","1"
"24","1","2","1","1","1","1","2","2","3","3","3","3","1","1","2","2","3"
"25","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","2"
"26","1","2","2","1","1","2","1","3","3","1","3","2","2","3","2","1","2"
"27","2","1","2","1","1","3","2","3","2","3","2","1","2","1","3","1","1"
"28","1","2","1","2","2","3","2","1","2","1","3","1","1","3","2","3","1"
"29","2","1","1","2","3","1","2","3","2","1","1","3","3","2","2","1","3"
"30","2","1","1","1","2","3","1","2","3","1","2","3","1","2","3","1","2"
"31","2","1","1","1","1","2","3","1","2","3","1","2","3","1","2","3","2"
"32","1","2","1","1","2","2","3","3","1","1","1","1","2","2","3","3","3"
"33","1","1","2","2","1","1","2","2","1","1","2","2","3","3","3","3","3"
"34","2","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","3"
"35","2","2","1","2","3","2","1","2","2","1","3","1","3","1","3","2","2"
"36","1","2","2","1","3","1","3","2","2","3","2","1","1","2","1","3","2"
