"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","2","1","1","1","1","2","2","2","1","2","4","1","4","3","1","4","2","3","12"
"2","2","1","2","2","2","1","1","2","2","1","1","1","2","1","4","2","3","3","1","4","6"
"3","2","2","1","2","1","2","2","2","1","1","1","1","2","3","2","1","3","2","4","1","12"
"4","1","1","1","2","1","2","1","2","2","2","2","1","4","3","1","2","4","2","1","3","9"
"5","2","1","2","2","1","2","2","2","1","1","1","1","4","2","1","3","2","1","2","4","11"
"6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7","1","2","2","2","1","2","2","2","1","1","1","1","3","4","3","2","1","4","1","2","10"
"8","2","1","2","2","1","2","1","2","2","2","2","1","1","4","2","4","1","3","2","1","8"
"9","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1"
"10","1","2","2","1","1","1","2","2","1","1","2","2","1","3","2","3","4","3","1","4","7"
"11","1","1","1","2","2","1","1","2","2","1","1","1","3","2","2","3","4","4","3","1","4"
"12","2","1","2","1","1","1","1","1","1","1","1","1","3","3","4","4","4","2","2","2","2"
"13","2","1","2","1","2","2","1","2","2","1","2","2","3","3","1","1","1","4","4","4","3"
"14","2","1","2","2","2","1","1","1","1","2","1","2","4","2","3","2","1","2","4","1","7"
"15","1","2","2","2","1","2","2","1","2","2","1","2","2","2","4","4","4","1","1","1","3"
"16","1","2","2","1","1","1","2","1","2","2","2","1","3","4","1","3","2","2","4","1","6"
"17","2","1","2","1","2","2","1","1","1","2","2","1","2","1","2","3","4","1","4","3","10"
"18","1","1","1","2","1","2","1","1","1","1","2","2","2","4","4","3","1","2","3","4","5"
"19","2","2","1","1","2","2","2","2","1","2","1","2","3","1","1","2","4","3","2","1","5"
"20","2","2","1","1","1","1","1","1","1","1","1","1","4","4","2","2","2","3","3","3","3"
"21","1","2","2","2","1","2","1","1","1","1","2","2","4","1","1","4","3","3","4","2","4"
"22","1","1","1","2","2","1","2","2","1","2","2","1","1","1","3","3","3","2","2","2","3"
"23","1","1","1","2","2","1","2","1","2","1","2","2","4","3","4","1","2","3","2","1","10"
"24","2","1","2","1","2","2","2","2","1","2","1","2","1","4","4","1","2","2","1","3","4"
"25","1","1","1","1","1","1","2","2","1","1","2","2","3","2","4","2","3","1","4","3","8"
"26","1","2","2","1","2","2","2","1","2","1","1","1","4","1","3","1","4","2","3","4","8"
"27","2","2","1","2","2","1","1","1","1","2","1","2","2","3","1","3","2","4","1","2","8"
"28","2","2","1","2","1","2","1","1","1","1","2","2","1","2","3","1","4","4","2","3","6"
"29","2","2","1","1","1","1","2","1","2","2","2","1","2","3","3","2","1","1","2","4","4"
"30","1","1","1","1","1","1","1","2","2","2","1","2","2","4","3","1","4","3","4","2","11"
"31","1","1","1","2","1","2","2","1","2","2","1","2","1","1","2","2","2","4","4","4","2"
"32","2","2","1","2","2","1","2","1","2","1","2","2","3","1","2","4","1","2","1","3","11"
"33","2","1","2","1","1","1","2","1","2","2","2","1","4","2","2","1","3","4","1","2","5"
"34","1","2","2","2","2","1","1","1","1","2","1","2","3","4","2","1","3","1","2","4","9"
"35","1","2","2","2","2","1","1","2","2","1","1","1","1","3","3","4","2","1","4","3","5"
"36","2","2","1","1","1","1","1","2","2","2","1","2","1","2","1","4","3","2","3","4","10"
"37","2","2","1","2","1","2","1","2","2","2","2","1","3","1","4","1","2","1","3","2","7"
"38","1","1","1","1","2","2","2","1","2","1","1","1","2","4","1","4","3","4","2","3","7"
"39","1","2","2","1","2","2","1","1","1","2","2","1","1","3","4","2","3","4","3","1","11"
"40","2","1","2","1","1","1","2","2","1","1","2","2","2","1","3","4","2","4","3","1","9"
"41","2","2","1","1","2","2","1","2","2","1","2","2","4","4","3","3","3","1","1","1","2"
"42","2","1","2","2","2","1","2","1","2","1","2","2","1","4","1","2","4","1","3","2","12"
"43","2","2","1","1","2","2","2","1","2","1","1","1","1","2","4","3","1","3","4","2","9"
"44","1","1","1","1","2","2","1","1","1","2","2","1","3","2","3","4","2","3","1","4","12"
"45","1","1","1","1","2","2","2","2","1","2","1","2","4","3","2","4","1","1","3","2","6"
"46","1","2","2","2","2","1","2","2","1","2","2","1","2","2","1","1","1","3","3","3","2"
"47","2","1","2","2","1","2","2","1","2","2","1","2","3","3","3","3","3","3","3","3","1"
"48","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","1"
