"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"84","1","1","1","1","2","2","3","1","2","4","4","3","1","2","3","4","13"
"85","2","1","2","2","2","1","2","2","3","4","4","3","2","2","3","4","9"
"86","1","2","2","2","2","1","1","4","3","1","3","1","2","3","4","2","19"
"87","1","1","1","2","1","2","4","4","2","3","1","3","2","4","1","2","16"
"88","2","2","1","1","1","1","2","4","1","4","3","2","1","3","1","4","22"
"89","1","2","2","1","2","2","2","1","4","4","1","1","3","4","4","4","4"
"90","1","2","2","2","2","1","3","4","3","1","4","1","2","1","3","2","15"
"91","2","2","1","2","2","1","4","3","3","3","2","2","2","1","1","1","3"
"92","2","1","2","1","1","1","2","2","4","1","3","1","4","2","3","4","16"
"93","2","1","2","2","1","2","3","4","4","4","1","1","1","2","2","2","3"
"94","2","1","2","1","1","1","4","1","3","1","3","1","4","1","2","4","20"
"95","1","1","1","1","2","2","4","4","4","3","3","4","3","3","2","1","10"
"96","2","1","2","2","1","2","3","4","3","3","2","2","3","4","4","4","2"
"97","1","1","1","1","2","2","4","4","3","4","4","3","1","1","4","3","11"
"98","2","2","1","2","2","1","4","3","1","1","4","4","3","4","4","4","5"
"99","1","2","2","1","1","1","3","3","1","2","2","1","1","1","4","3","8"
"100","2","2","1","2","1","2","2","3","1","4","4","1","2","2","1","3","12"
"101","1","1","1","2","1","2","2","3","1","3","1","3","2","3","4","2","20"
"102","2","2","1","2","2","1","4","1","1","1","3","3","3","2","2","2","7"
"103","1","2","2","1","1","1","3","3","3","4","4","3","4","4","1","2","10"
"104","2","1","2","2","2","1","2","2","1","2","2","1","3","3","2","1","11"
"105","2","2","1","1","2","2","3","2","2","4","2","4","2","3","4","2","18"
"106","1","1","1","2","2","1","3","1","4","1","2","3","4","2","4","1","22"
"107","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","6"
"108","2","2","1","2","1","2","2","1","4","3","2","4","1","1","3","2","14"
"109","1","2","2","1","1","1","3","3","2","1","1","2","3","3","2","1","9"
"110","1","2","2","1","1","1","3","3","4","3","3","4","2","2","3","4","11"
"111","2","2","1","1","1","1","3","2","3","4","3","2","1","4","1","2","26"
"112","1","2","2","1","1","1","4","2","1","3","3","4","2","1","4","3","13"
