"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","2","1","2","1","2","2","1","3","3","2","1","4","1","3","1","4","7"
"2","1","2","2","1","2","2","2","1","2","2","4","3","3","4","4","4","1","2","2"
"3","2","1","2","1","2","1","1","1","4","1","4","2","4","2","2","3","4","2","14"
"4","2","2","2","2","1","1","1","1","3","2","3","4","3","2","1","4","1","2","9"
"5","1","2","1","1","1","1","2","2","3","2","4","1","1","4","3","3","4","2","10"
"6","2","2","1","2","2","2","1","2","4","2","4","1","2","3","1","3","1","4","3"
"7","2","1","2","1","2","1","1","1","2","1","2","4","1","4","3","4","2","3","2"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","2","2","1","1","1","2","2","1","2","3","2","1","2","3","4","1","4","3","9"
"10","2","2","2","1","2","1","2","2","4","4","3","1","2","4","1","2","1","3","11"
"11","2","2","1","2","2","2","1","2","1","1","2","4","3","1","4","3","4","2","11"
"12","1","2","1","2","2","1","1","1","3","3","4","3","3","4","2","2","3","4","8"
"13","2","1","1","1","1","2","1","2","4","4","2","3","1","3","2","4","1","2","4"
"14","2","1","2","1","2","1","1","1","4","1","2","4","2","4","3","2","1","3","10"
"15","1","2","2","1","2","2","2","1","1","4","2","3","3","2","1","1","2","4","10"
"16","1","1","1","2","2","1","2","2","2","1","4","4","1","1","3","4","4","4","7"
"17","2","2","2","2","1","1","1","1","3","3","4","2","1","3","2","1","2","4","11"
"18","1","1","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","11"
"19","2","2","1","1","1","2","2","1","3","1","3","2","1","4","2","4","2","3","3"
"20","1","2","2","1","2","2","2","1","2","2","1","2","2","1","3","3","2","1","8"
"21","2","1","1","2","2","2","2","1","1","4","2","4","2","4","1","4","3","1","12"
"22","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"23","1","1","2","2","1","2","2","1","4","3","1","1","4","4","3","4","4","4","9"
"24","2","1","2","1","2","1","1","1","2","4","1","2","4","3","1","3","4","2","6"
"25","1","2","2","1","2","2","2","1","1","2","3","4","1","3","2","2","4","1","14"
"26","2","1","1","1","1","2","1","2","4","3","4","2","3","2","1","2","4","1","2"
