"","A","B","C","D","E","F","G","H","J","K","L"
"1","2","1","2","3","4","4","2","2","1","1","2"
"2","1","2","2","1","3","4","3","4","2","1","4"
"3","2","2","1","1","1","4","2","3","3","2","8"
"4","2","2","1","4","3","3","1","1","2","2","2"
"5","1","2","2","3","3","2","4","1","1","4","8"
"6","2","2","1","3","1","2","1","2","4","3","4"
"7","1","1","1","1","1","1","1","1","1","1","1"
"8","2","1","2","4","1","2","3","4","1","2","3"
"9","2","1","2","2","1","4","4","1","2","3","7"
"10","2","2","1","1","2","3","3","2","1","4","7"
"11","1","1","1","1","2","2","4","4","3","3","2"
"12","2","1","2","1","3","1","4","2","4","2","5"
"13","2","2","1","2","4","2","3","1","3","1","5"
"14","2","2","1","2","3","1","2","4","1","3","6"
"15","1","2","2","3","4","1","1","4","3","2","7"
"16","2","1","2","4","2","1","2","1","3","4","4"
"17","1","1","1","4","4","1","3","2","2","3","8"
"18","2","1","2","2","2","3","1","4","4","1","8"
"19","1","2","2","4","2","4","1","3","1","3","5"
"20","1","2","2","4","1","3","4","2","3","1","6"
"21","1","2","2","2","1","1","3","3","4","4","2"
"22","1","1","1","3","2","4","3","1","4","2","6"
"23","2","1","2","1","4","2","1","3","2","4","6"
"24","1","1","1","4","3","2","2","3","4","1","7"
"25","1","2","2","1","4","3","2","1","4","3","3"
"26","1","1","1","2","4","3","4","3","1","2","4"
"27","2","2","1","3","2","1","4","3","2","1","3"
"28","2","1","2","3","3","3","3","3","3","3","1"
"29","1","2","2","2","2","2","2","2","2","2","1"
"30","2","2","1","4","4","4","4","4","4","4","1"
"31","1","1","1","2","3","4","1","2","3","4","3"
"32","1","1","1","3","1","3","2","4","2","4","5"
