"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"100","2","3","3","2","2","2","2","1","2","1","2","3","1","18"
"101","2","2","1","2","1","3","3","2","3","3","1","3","1","9"
"102","3","3","2","1","1","1","2","2","2","2","3","1","3","11"
"103","2","3","2","3","1","3","2","2","1","1","1","3","2","16"
"104","3","2","2","3","2","3","2","3","2","2","1","3","3","36"
"105","2","1","2","1","3","1","3","1","3","1","3","3","2","32"
"106","3","2","3","2","3","1","3","2","2","3","1","3","2","31"
"107","3","3","2","1","2","1","1","2","1","3","2","3","1","12"
"108","1","3","2","2","1","2","3","3","3","1","1","3","3","33"
"109","1","3","3","3","3","1","1","3","2","2","3","3","2","39"
"110","1","2","3","2","1","3","2","3","1","3","3","1","2","25"
"111","2","1","3","3","2","3","1","1","1","2","2","1","1","33"
"112","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"113","2","1","2","2","2","2","1","3","2","2","1","3","1","27"
"114","3","2","3","1","2","1","3","1","2","3","1","2","2","30"
"115","1","2","2","3","2","2","3","1","2","1","2","1","3","23"
"116","2","1","1","2","1","2","1","2","1","1","3","2","2","36"
"117","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
