"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","2","2","1","1","2","2","1","1","1","2","2"
"2","1","2","2","1","2","1","2","1","2","1","1","2","5"
"3","1","2","1","2","1","2","1","2","1","1","2","2","6"
"4","2","1","1","2","2","1","2","2","2","1","2","1","2"
"5","2","1","2","2","1","1","1","2","1","2","2","1","5"
"6","1","1","1","1","1","1","2","2","2","2","2","2","1"
"7","1","2","1","1","2","2","1","1","2","2","2","1","2"
"8","2","1","2","2","1","1","1","1","2","1","2","2","7"
"9","2","1","2","1","2","1","2","2","1","2","1","1","6"
"10","2","2","2","2","2","2","2","2","2","2","2","2","1"
"11","1","1","2","2","2","2","2","1","1","2","2","1","3"
"12","1","1","1","1","1","1","1","1","1","1","1","1","1"
"13","2","2","2","2","2","2","1","1","1","1","1","1","1"
"14","2","2","1","1","1","1","1","2","2","2","1","1","3"
"15","2","2","1","2","2","1","1","1","2","2","1","2","6"
"16","2","1","1","1","2","2","1","2","1","1","2","2","4"
"17","2","2","1","1","2","1","2","1","1","1","2","1","7"
"18","1","1","2","1","1","2","2","1","2","1","2","1","6"
"19","1","2","1","2","1","2","2","2","1","2","1","1","7"
"20","2","1","1","2","1","2","2","1","2","1","1","2","3"
"21","2","1","2","1","1","2","1","1","1","2","1","2","2"
"22","2","2","2","1","1","2","2","2","2","1","1","1","4"
"23","1","1","2","1","2","2","1","2","2","2","1","2","7"
"24","1","2","2","1","2","1","1","2","1","1","2","2","3"
"25","1","1","1","2","2","1","2","1","1","2","1","2","4"
"26","1","1","1","2","2","2","1","2","2","1","1","1","5"
"27","1","2","2","2","1","1","1","1","2","2","2","1","4"
"28","2","2","1","1","1","2","2","1","1","2","2","2","5"
