"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"1","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"2","2","4","2","3","3","1","4","2","4","1","3","2","1","4"
"3","3","3","1","4","2","3","4","2","1","3","1","2","4","1"
"4","1","4","3","1","4","2","3","3","2","1","1","2","4","4"
"5","1","1","1","1","3","3","3","4","4","4","2","2","2","2"
"6","3","1","4","3","2","3","4","3","2","1","4","1","2","2"
"7","2","3","1","4","3","4","2","3","2","1","2","4","1","3"
"8","3","2","3","4","1","4","3","4","1","2","3","2","1","2"
"9","2","2","4","1","1","3","2","4","2","3","1","4","3","4"
"10","3","4","1","2","1","3","2","3","4","2","3","1","4","4"
"11","1","1","1","1","4","4","4","2","2","2","3","3","3","3"
"12","2","4","3","1","2","3","4","1","3","2","2","4","1","2"
"13","1","2","1","3","2","4","1","1","4","3","3","4","2","4"
"14","2","4","3","1","3","4","2","2","1","3","4","1","2","1"
"15","2","3","4","2","4","3","1","1","2","4","3","2","1","1"
"16","1","3","3","3","2","2","2","4","4","4","1","1","1","3"
"17","2","1","2","4","3","2","1","4","2","3","3","1","4","2"
"18","3","1","3","2","4","1","2","4","3","1","3","4","2","1"
"19","2","4","2","3","4","3","1","4","1","2","1","3","2","3"
"20","2","1","2","4","2","1","3","3","4","2","1","4","3","1"
"21","2","1","3","2","2","4","1","3","1","4","2","3","4","4"
"22","3","1","4","3","3","4","2","1","3","2","1","2","4","3"
"23","2","3","1","4","4","2","3","1","3","2","4","1","2","4"
"24","3","2","3","4","3","1","4","1","2","4","1","3","2","4"
"25","2","3","4","2","1","4","3","2","4","1","1","3","2","2"
"26","1","2","2","2","4","4","4","3","3","3","1","1","1","2"
"27","2","2","1","3","4","1","2","3","1","4","4","2","3","2"
"28","1","3","3","3","1","1","1","2","2","2","4","4","4","2"
"29","1","4","4","4","1","1","1","3","3","3","2","2","2","3"
"30","1","4","4","4","4","4","4","4","4","4","4","4","4","1"
"31","1","4","4","4","2","2","2","1","1","1","3","3","3","2"
"32","1","3","4","2","3","1","4","4","1","2","2","1","3","4"
"33","3","3","2","1","1","2","4","3","1","4","3","4","2","3"
"34","3","2","3","4","4","3","1","2","4","1","2","1","3","3"
"35","3","1","4","3","4","2","3","2","1","3","2","4","1","4"
"36","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","3","3","2","1","2","4","1","4","3","1","4","2","3","4"
"38","1","1","2","4","1","3","2","2","3","4","4","3","1","4"
"39","2","2","4","1","2","1","3","2","3","4","3","1","4","3"
"40","1","2","2","2","3","3","3","1","1","1","4","4","4","3"
"41","3","4","1","2","2","1","3","4","2","3","4","3","1","3"
"42","3","4","2","3","1","4","3","1","2","4","2","1","3","1"
"43","2","2","1","3","1","2","4","4","3","1","2","3","4","1"
"44","2","1","3","2","1","2","4","1","4","3","4","2","3","3"
"45","3","4","1","2","3","2","1","2","3","4","1","4","3","2"
"46","3","3","2","1","4","1","2","1","4","3","2","3","4","2"
"47","1","3","3","3","3","3","3","3","3","3","3","3","3","1"
"48","3","2","4","1","3","2","1","3","4","2","4","3","1","1"
