"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","3","3","3","3","5","7","1","3","5","7","1","3","6","8","2","4","6","8","2","4"
"2","2","3","4","1","2","4","6","8","2","3","5","7","1","2","8","6","4","1","7","5","3"
"3","3","4","2","1","3","3","2","6","7","6","7","3","2","5","8","4","1","4","1","5","8"
"4","1","4","4","4","4","4","1","6","7","8","5","2","3","3","2","5","8","7","6","1","4"
"5","1","1","1","1","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"6","3","2","4","3","1","8","7","5","6","1","2","4","3","1","2","4","3","8","7","5","6"
"7","2","3","4","1","2","5","3","1","7","6","4","2","8","7","1","3","5","8","2","4","6"
"8","4","3","2","4","1","3","5","8","2","1","7","6","4","8","2","3","5","6","4","1","7"
"9","1","2","2","2","2","4","3","2","1","8","7","6","5","4","3","2","1","8","7","6","5"
"10","2","1","2","3","4","2","6","2","6","1","5","1","5","3","7","3","7","4","8","4","8"
"11","1","2","2","2","2","7","8","5","6","3","4","1","2","7","8","5","6","3","4","1","2"
"12","2","1","2","3","4","3","7","3","7","4","8","4","8","2","6","2","6","1","5","1","5"
"13","4","4","1","3","2","3","6","6","3","5","4","4","5","8","1","1","8","2","7","7","2"
"14","3","1","3","4","2","8","8","7","7","5","5","6","6","1","1","2","2","4","4","3","3"
"15","4","4","1","3","2","5","4","4","5","3","6","6","3","2","7","7","2","8","1","1","8"
"16","3","3","1","2","4","7","5","4","2","6","8","1","3","1","3","6","8","4","2","7","5"
"17","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"18","1","3","3","3","3","2","4","6","8","2","4","6","8","1","3","5","7","1","3","5","7"
"19","3","3","1","2","4","6","8","1","3","7","5","4","2","4","2","7","5","1","3","6","8"
"20","2","4","3","2","1","3","6","5","4","8","1","2","7","1","8","7","2","6","3","4","5"
"21","2","2","1","4","3","3","8","1","6","8","3","6","1","2","5","4","7","5","2","7","4"
"22","3","1","3","4","2","7","7","8","8","6","6","5","5","2","2","1","1","3","3","4","4"
"23","4","2","3","1","4","6","1","7","4","4","7","1","6","2","5","3","8","8","3","5","2"
