"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","4","1","4","1","3","1","1","3","3","3","3","2","2","3","5","7","8"
"2","4","1","3","1","2","2","1","4","4","1","2","3","4","1","4","5","2"
"3","1","4","4","4","4","3","3","1","3","3","3","3","1","1","4","1","1"
"4","3","1","2","2","3","4","3","1","4","2","1","2","2","2","4","8","6"
"5","2","3","3","1","4","4","1","1","1","4","2","2","2","4","1","1","4"
"6","4","4","3","2","3","4","2","2","2","4","3","3","2","1","2","4","3"
"7","2","3","4","3","3","4","3","3","3","4","1","1","4","1","7","5","7"
"8","2","3","4","1","1","3","1","2","2","2","3","3","4","2","8","3","6"
"9","3","3","3","3","2","4","4","1","3","1","3","3","3","2","6","2","8"
"10","2","4","2","1","2","1","3","2","1","4","3","1","1","3","6","8","2"
"11","2","4","1","3","1","1","1","4","3","4","4","2","3","2","4","4","5"
"12","1","3","2","4","3","1","1","1","4","1","3","1","4","4","2","6","5"
"13","1","4","4","2","2","4","1","4","2","1","1","1","1","2","3","7","4"
"14","1","3","1","4","2","2","1","2","3","3","2","4","2","2","7","8","3"
"15","1","2","2","3","2","3","2","3","2","4","2","1","2","4","4","3","8"
"16","1","1","3","3","4","2","4","4","2","4","3","2","1","3","7","6","6"
"17","2","4","2","3","4","2","1","3","4","2","1","3","1","4","5","2","3"
"18","2","2","4","2","4","1","2","4","4","3","2","3","2","2","6","6","7"
"19","3","2","3","2","1","1","1","2","4","2","4","1","1","1","7","1","8"
"20","3","3","4","1","1","4","2","3","1","1","4","4","1","3","4","6","3"
"21","2","1","2","2","3","3","4","4","3","1","2","1","3","3","8","1","3"
"22","4","2","1","3","3","3","1","1","2","1","4","3","1","3","1","8","7"
"23","2","1","1","2","2","4","4","3","4","3","3","4","1","1","1","3","5"
"24","1","2","1","3","3","4","2","4","1","2","3","4","4","2","5","1","2"
"25","4","3","2","4","3","2","2","4","3","2","4","2","1","1","6","3","4"
"26","4","1","3","3","4","1","3","1","1","3","4","1","4","2","3","3","3"
"27","1","2","2","1","4","4","4","2","3","2","4","3","2","3","3","5","5"
"28","4","2","2","1","4","3","3","3","4","1","3","4","3","2","7","4","4"
"29","2","2","4","4","2","2","4","1","1","1","4","1","2","1","5","4","6"
"30","3","4","1","3","1","2","2","1","4","3","3","1","2","3","8","5","4"
"31","3","3","4","3","3","3","4","2","4","3","2","2","1","4","3","4","2"
"32","2","2","3","4","3","1","4","2","2","3","1","4","4","3","4","2","4"
"33","4","4","4","4","4","4","4","4","4","4","4","4","4","4","8","8","8"
"34","4","4","3","4","1","3","4","3","3","2","1","1","2","2","1","6","2"
"35","2","2","3","2","1","2","2","3","3","1","3","2","4","4","3","8","1"
"36","3","4","2","1","2","2","4","3","2","3","4","2","4","2","2","1","7"
"37","3","1","1","2","2","3","3","2","3","4","4","3","4","4","5","6","4"
"38","1","4","3","2","3","3","1","3","1","3","4","4","3","4","6","5","6"
"39","1","4","3","4","1","4","3","2","4","1","2","2","3","3","5","3","7"
"40","3","3","3","1","4","3","2","4","2","3","1","1","3","1","5","8","5"
"41","4","3","2","2","1","1","4","1","2","4","2","4","1","2","5","5","1"
"42","4","3","1","4","2","1","2","3","4","4","1","3","3","3","3","1","6"
"43","1","3","2","2","1","2","3","4","1","3","1","3","4","3","1","4","8"
"44","3","2","4","2","4","2","1","1","3","4","1","4","3","3","2","3","2"
"45","4","4","4","2","2","3","2","1","1","2","2","2","4","3","7","2","5"
"46","3","1","1","4","4","4","1","3","2","2","2","1","4","3","6","4","1"
"47","4","3","1","2","4","2","4","2","1","2","3","1","3","4","4","7","7"
"48","4","1","4","3","1","2","3","2","2","1","1","4","2","4","6","1","5"
"49","1","1","4","3","1","1","4","3","1","2","2","3","3","1","2","8","4"
"50","2","1","1","4","4","3","2","2","1","1","1","2","1","2","2","5","8"
"51","1","3","1","2","4","1","3","3","2","1","4","2","2","1","8","2","2"
"52","2","3","3","3","2","3","3","4","4","2","4","4","2","3","2","7","1"
"53","3","4","2","3","4","1","2","2","3","1","2","4","4","1","1","7","6"
"54","2","1","2","4","1","4","2","1","2","3","4","3","3","4","7","7","2"
"55","4","2","1","1","1","4","3","4","3","3","2","1","1","4","2","2","6"
"56","3","1","2","4","1","3","1","4","1","4","3","4","2","1","3","2","7"
"57","1","2","1","1","1","3","4","1","4","4","1","2","4","1","6","7","3"
"58","3","2","4","4","2","1","3","4","2","2","3","2","3","4","1","5","3"
"59","4","2","2","3","2","4","1","2","1","3","1","2","3","1","8","6","1"
"60","1","1","3","1","2","1","2","1","3","2","1","4","1","4","8","4","7"
"61","2","4","1","1","3","2","3","1","2","2","2","4","3","1","3","6","8"
"62","1","1","4","1","3","2","2","2","4","4","4","1","3","2","1","2","1"
"63","3","2","3","4","3","2","3","3","1","4","2","3","1","2","8","7","5"
"64","3","4","1","1","3","1","4","4","1","1","1","3","2","4","7","3","1"
