,A,B,C
1,1,1,5
2,1,2,2
3,1,3,4
4,1,4,2
5,1,1,5
6,1,2,5
7,1,3,3
8,1,4,1
9,1,1,1
10,1,2,2
11,1,3,5
12,1,4,2
13,1,1,1
14,1,2,3
15,1,3,3
16,1,4,3
17,1,1,1
18,1,2,4
19,1,3,4
20,1,4,4
21,2,1,4
22,2,2,3
23,2,3,4
24,2,4,5
25,2,1,3
26,2,2,1
27,2,3,3
28,2,4,2
29,2,1,2
30,2,2,4
31,2,3,5
32,2,4,1
33,2,1,3
34,2,2,5
35,2,3,1
36,2,4,5
37,2,1,2
38,2,2,1
39,2,3,2
40,2,4,4
41,3,1,4
42,3,2,1
43,3,3,2
44,3,4,5
45,3,1,5
46,3,2,2
47,3,3,1
48,3,4,3
49,3,1,2
50,3,2,3
51,3,3,5
52,3,4,3
53,3,1,4
54,3,2,4
55,3,3,1
56,3,4,4
57,3,1,3
58,3,2,5
59,3,3,2
60,3,4,1
