,A,B,C
1,1,1,3
2,1,2,6
3,1,3,8
4,1,4,1
5,1,5,1
6,1,1,7
7,1,2,7
8,1,3,4
9,1,4,6
10,1,5,5
11,1,1,1
12,1,2,2
13,1,3,8
14,1,4,2
15,1,5,8
16,1,1,3
17,1,2,4
18,1,3,6
19,1,4,5
20,1,5,2
21,1,1,8
22,1,2,4
23,1,3,4
24,1,4,1
25,1,5,1
26,1,1,7
27,1,2,5
28,1,3,3
29,1,4,4
30,1,5,3
31,1,1,6
32,1,2,2
33,1,3,8
34,1,4,6
35,1,5,5
36,1,1,7
37,1,2,5
38,1,3,2
39,1,4,3
40,1,5,7
41,2,1,8
42,2,2,1
43,2,3,2
44,2,4,5
45,2,5,2
46,2,1,1
47,2,2,3
48,2,3,7
49,2,4,8
50,2,5,2
51,2,1,2
52,2,2,5
53,2,3,7
54,2,4,3
55,2,5,6
56,2,1,1
57,2,2,3
58,2,3,5
59,2,4,6
60,2,5,4
61,2,1,6
62,2,2,3
63,2,3,7
64,2,4,2
65,2,5,5
66,2,1,5
67,2,2,1
68,2,3,6
69,2,4,7
70,2,5,4
71,2,1,3
72,2,2,4
73,2,3,6
74,2,4,8
75,2,5,8
76,2,1,4
77,2,2,8
78,2,3,1
79,2,4,4
80,2,5,7
81,3,1,6
82,3,2,2
83,3,3,5
84,3,4,5
85,3,5,6
86,3,1,4
87,3,2,7
88,3,3,4
89,3,4,3
90,3,5,7
91,3,1,2
92,3,2,8
93,3,3,5
94,3,4,7
95,3,5,8
96,3,1,5
97,3,2,7
98,3,3,3
99,3,4,1
100,3,5,4
101,3,1,4
102,3,2,6
103,3,3,2
104,3,4,2
105,3,5,6
106,3,1,2
107,3,2,6
108,3,3,1
109,3,4,4
110,3,5,3
111,3,1,5
112,3,2,1
113,3,3,3
114,3,4,7
115,3,5,1
116,3,1,8
117,3,2,8
118,3,3,1
119,3,4,8
120,3,5,3
