"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","1","2","1","2","2","2","1","1","2","3","4","8","2","6","5","1","5"
"2","1","2","1","2","1","1","2","2","2","3","8","5","1","4","7","6","4"
"3","1","1","2","2","2","2","2","2","3","1","7","1","6","4","5","3","7"
"4","2","2","2","2","2","2","2","2","1","1","8","8","8","8","8","8","1"
"5","1","1","1","1","1","2","2","1","1","4","6","7","3","2","5","8","4"
"6","1","2","2","1","1","1","1","1","4","1","7","6","2","3","8","5","4"
"7","2","1","1","2","1","1","1","1","4","1","6","2","8","4","3","7","5"
"8","1","1","2","2","1","1","1","1","3","1","3","4","5","6","7","8","2"
"9","2","1","2","1","2","1","2","1","2","2","6","6","6","6","6","6","1"
"10","1","2","1","2","2","1","2","1","2","2","7","2","4","5","1","8","8"
"11","2","1","1","2","1","2","2","1","4","4","1","8","6","3","7","2","8"
"12","2","1","2","1","2","1","1","2","2","4","7","8","1","2","3","4","2"
"13","1","2","1","2","1","2","2","1","2","4","2","1","8","7","6","5","2"
"14","2","1","2","1","2","2","2","2","2","1","4","2","3","1","7","5","3"
"15","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"16","1","1","1","1","2","1","2","1","1","2","3","8","7","4","2","5","6"
"17","2","1","1","2","2","1","2","1","4","2","8","7","2","1","4","3","2"
"18","1","1","1","1","1","2","1","2","1","2","7","5","8","6","4","2","3"
"19","2","2","1","1","1","2","2","1","3","4","5","2","1","6","8","3","6"
"20","2","1","2","1","1","2","2","1","2","4","3","5","2","8","1","7","7"
"21","2","1","1","2","2","1","1","2","4","4","5","5","5","5","5","5","1"
"22","1","2","2","1","2","1","1","2","4","4","8","1","3","6","2","7","8"
"23","1","2","1","2","2","1","1","2","2","4","6","4","7","1","8","2","7"
"24","2","2","1","1","2","1","1","2","3","4","1","3","2","4","6","8","3"
"25","2","2","2","2","2","1","2","1","1","2","2","4","1","3","5","7","3"
"26","2","2","1","1","1","1","2","2","3","3","3","6","8","1","5","4","8"
"27","2","2","2","2","1","2","2","1","1","4","7","3","5","1","2","6","5"
"28","1","2","2","1","1","2","2","1","4","4","4","4","4","4","4","4","1"
"29","1","1","2","2","1","2","1","2","3","2","5","8","4","1","6","7","4"
"30","2","1","2","1","1","1","2","2","2","3","5","1","7","3","4","8","5"
"31","2","1","1","2","1","2","1","2","4","2","4","6","1","7","2","8","7"
"32","1","2","1","2","2","2","2","2","2","1","1","6","5","2","4","7","6"
"33","1","1","2","2","1","1","2","2","3","3","2","2","2","2","2","2","1"
"34","2","2","1","1","1","1","1","1","3","1","2","8","3","5","4","6","7"
"35","2","2","2","2","1","2","1","2","1","2","6","1","2","5","7","4","6"
"36","1","1","2","2","2","1","1","2","3","4","4","7","8","3","1","6","6"
"37","2","1","2","1","2","2","1","1","2","3","1","4","8","5","2","3","4"
"38","2","1","1","2","2","2","1","1","4","3","3","1","4","2","8","6","3"
"39","1","2","2","1","2","2","1","1","4","3","2","5","6","1","3","8","6"
"40","1","1","1","1","2","2","2","2","1","1","5","4","2","7","3","6","8"
"41","2","2","1","1","1","2","1","2","3","2","8","4","6","2","1","5","5"
"42","1","2","2","1","1","2","1","2","4","2","1","2","7","8","5","6","2"
"43","2","2","2","2","1","1","1","1","1","1","4","5","7","2","6","3","8"
"44","1","2","1","2","1","1","1","1","2","1","5","7","6","8","2","4","3"
"45","2","2","1","1","2","2","1","1","3","3","7","7","7","7","7","7","1"
"46","2","1","1","2","2","2","2","2","4","1","2","3","7","6","1","4","4"
"47","1","1","2","2","1","2","2","1","3","4","8","6","7","5","3","1","3"
"48","1","1","1","1","1","1","2","2","1","3","4","3","6","5","8","7","2"
"49","2","1","2","1","1","1","1","1","2","1","8","3","4","7","5","2","6"
"50","1","1","2","2","2","1","2","1","3","2","1","5","3","7","8","4","5"
"51","1","2","2","1","2","2","2","2","4","1","3","7","1","5","6","2","5"
"52","2","1","2","1","1","2","1","2","2","2","2","7","5","4","8","1","8"
"53","2","2","2","2","2","2","1","1","1","3","5","6","3","4","1","2","2"
"54","1","2","2","1","2","1","2","1","4","2","5","3","8","2","7","1","7"
"55","2","2","1","1","2","2","2","2","3","1","6","5","4","3","2","1","2"
"56","2","2","2","2","2","1","1","2","1","4","3","2","6","7","4","1","4"
"57","2","2","1","1","2","1","2","1","3","2","4","1","5","8","3","2","4"
"58","2","2","2","2","1","1","2","2","1","3","1","7","4","6","3","5","7"
"59","1","1","1","1","2","2","1","1","1","3","8","2","5","3","6","4","7"
"60","1","1","1","1","2","1","1","2","1","4","2","6","4","8","7","3","5"
"61","1","2","2","1","1","1","2","2","4","3","6","8","5","7","1","3","3"
"62","2","1","1","2","1","1","2","2","4","3","7","4","3","8","6","1","6"
"63","1","2","1","2","1","2","1","2","2","2","3","3","3","3","3","3","1"
"64","1","1","2","2","2","2","1","1","3","3","6","3","1","8","4","5","8"
