"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","1","1","2","2","1","1","1","1","1","2","3","2","4","1","3","1","2","3"
"2","1","2","2","1","1","2","2","1","4","3","4","3","2","4","1","2","3","4","3"
"3","1","2","2","2","1","1","2","2","3","4","1","1","2","2","4","2","2","4","1"
"4","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1"
"5","1","1","1","2","2","2","2","2","3","3","1","2","2","4","4","1","2","2","4"
"6","1","1","1","1","2","1","2","2","2","2","2","3","1","1","4","1","4","4","2"
"7","2","1","1","2","1","2","2","1","4","2","4","1","2","1","2","1","3","2","5"
"8","2","2","1","1","2","1","2","1","4","1","3","2","1","1","2","4","3","4","5"
"9","2","1","1","2","1","2","2","1","2","4","2","3","4","3","4","3","1","4","5"
"10","2","2","1","2","2","2","1","2","1","4","4","2","3","2","4","4","1","4","1"
"11","1","2","2","1","1","2","2","1","3","4","3","4","1","3","2","1","4","3","3"
"12","1","1","1","2","2","1","1","1","2","2","1","4","1","3","2","4","2","1","3"
"13","2","1","2","1","2","2","2","1","1","3","3","1","1","3","4","2","3","2","1"
"14","2","1","2","1","1","1","2","2","1","3","2","1","3","1","1","2","4","4","4"
"15","1","2","1","1","1","2","1","1","1","2","1","2","1","4","3","3","3","4","4"
"16","2","2","1","1","2","1","2","1","2","3","1","4","3","3","4","2","1","2","5"
"17","2","2","1","1","1","2","1","2","3","2","4","1","1","4","4","4","1","3","2"
"18","2","1","2","1","2","2","2","1","3","1","1","3","3","1","2","4","1","4","1"
"19","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"20","2","2","1","2","1","1","2","2","3","2","1","3","4","3","3","2","4","4","3"
"21","1","1","1","2","2","2","2","2","1","1","3","4","4","2","2","3","4","4","4"
"22","2","1","2","1","2","2","1","2","1","3","2","2","2","3","2","4","4","3","3"
"23","1","1","1","1","2","1","2","2","4","4","4","1","3","3","2","3","2","2","2"
"24","1","2","2","2","2","2","2","1","2","1","3","1","3","4","2","1","2","4","2"
"25","2","2","1","1","1","2","1","2","2","3","1","4","4","1","1","1","4","2","2"
"26","1","1","2","2","1","2","1","2","2","2","3","4","2","1","3","2","1","4","5"
"27","2","1","2","2","1","1","1","1","4","2","1","1","3","2","3","4","4","1","2"
"28","2","1","2","1","1","1","2","2","4","2","3","4","2","4","4","3","1","1","4"
"29","1","1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","1"
"30","1","1","1","2","2","2","2","2","2","2","4","3","3","1","1","4","3","3","4"
"31","1","1","2","2","1","2","1","2","4","4","1","2","4","3","1","4","3","2","5"
"32","1","1","1","1","2","1","2","2","1","1","1","4","2","2","3","2","3","3","2"
"33","1","2","2","2","2","2","2","1","1","2","4","2","4","3","1","2","1","3","2"
"34","2","2","1","2","2","2","1","2","2","3","3","1","4","1","3","3","2","3","1"
"35","1","2","2","1","2","1","1","2","3","4","1","3","2","1","2","3","1","3","5"
"36","1","2","2","2","2","2","2","1","3","4","2","4","2","1","3","4","3","1","2"
"37","1","1","1","2","2","1","1","1","4","4","3","2","3","1","4","2","4","3","3"
"38","2","1","2","1","2","2","2","1","2","4","4","2","2","4","3","1","4","1","1"
"39","2","2","2","2","2","1","1","1","2","3","3","3","2","2","4","4","3","1","4"
"40","2","1","2","1","2","2","1","2","4","2","3","3","3","2","3","1","1","2","3"
"41","1","2","2","2","1","1","2","2","4","3","2","2","1","1","3","1","1","3","1"
"42","1","1","1","2","2","1","1","1","3","3","4","1","4","2","3","1","3","4","3"
"43","1","2","1","1","1","2","1","1","4","3","4","3","4","1","2","2","2","1","4"
"44","2","2","2","2","2","1","1","1","1","4","4","4","1","1","3","3","4","2","4"
"45","2","2","1","2","1","1","2","2","2","3","4","2","1","2","2","3","1","1","3"
"46","2","2","2","2","2","1","1","1","3","2","2","2","3","3","1","1","2","4","4"
"47","1","2","2","1","2","1","1","2","2","1","4","2","3","4","3","2","4","2","5"
"48","1","1","2","2","1","2","1","2","3","3","2","1","3","4","2","3","4","1","5"
"49","2","1","2","1","1","1","2","2","3","1","4","3","1","3","3","4","2","2","4"
"50","1","2","1","1","1","2","1","1","2","1","2","1","2","3","4","4","4","3","4"
"51","1","2","2","1","1","2","2","1","2","1","2","1","4","2","3","4","1","2","3"
"52","2","1","2","1","2","2","2","1","4","2","2","4","4","2","1","3","2","3","1"
"53","2","1","2","2","1","1","1","1","1","3","4","4","2","3","2","1","1","4","2"
"54","1","2","2","1","1","2","2","1","1","2","1","2","3","1","4","3","2","1","3"
"55","2","2","1","2","1","1","2","2","1","4","3","1","2","1","1","4","2","2","3"
"56","2","2","1","2","2","2","1","2","3","2","2","4","1","4","2","2","3","2","1"
"57","1","1","2","2","1","2","1","2","1","1","4","3","1","2","4","1","2","3","5"
"58","2","1","2","2","1","1","1","1","3","1","2","2","4","1","4","3","3","2","2"
"59","2","2","1","1","1","2","1","2","1","4","2","3","3","2","2","2","3","1","2"
"60","2","1","1","2","1","2","2","1","3","1","3","2","1","2","1","2","4","1","5"
"61","2","1","2","1","2","2","1","2","3","1","4","4","4","1","4","2","2","1","3"
"62","2","2","1","1","2","1","2","1","3","2","4","1","2","2","1","3","4","3","5"
"63","2","1","2","1","2","2","1","2","2","4","1","1","1","4","1","3","3","4","3"
"64","2","1","2","2","1","1","1","1","2","4","3","3","1","4","1","2","2","3","2"
"65","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","1"
"66","1","2","1","1","1","2","1","1","3","4","3","4","3","2","1","1","1","2","4"
"67","2","1","2","1","1","1","2","2","2","4","1","2","4","2","2","1","3","3","4"
"68","1","2","2","1","2","1","1","2","1","2","3","1","4","3","4","1","3","1","5"
"69","1","2","2","2","2","2","2","1","4","3","1","3","1","2","4","3","4","2","2"
"70","1","2","2","1","2","1","1","2","4","3","2","4","1","2","1","4","2","4","5"
"71","2","2","1","2","1","1","2","2","4","1","2","4","3","4","4","1","3","3","3"
"72","1","2","2","2","1","1","2","2","2","1","4","4","3","3","1","3","3","1","1"
"73","2","2","1","2","2","2","1","2","4","1","1","3","2","3","1","1","4","1","1"
"74","1","2","2","2","1","1","2","2","1","2","3","3","4","4","2","4","4","2","1"
"75","2","1","1","2","1","2","2","1","1","3","1","4","3","4","3","4","2","3","5"
"76","2","2","1","1","2","1","2","1","1","4","2","3","4","4","3","1","2","1","5"
"77","1","1","1","2","2","2","2","2","4","4","2","1","1","3","3","2","1","1","4"
"78","2","2","2","2","2","1","1","1","4","1","1","1","4","4","2","2","1","3","4"
"79","1","1","1","1","2","1","2","2","3","3","3","2","4","4","1","4","1","1","2"
"80","2","2","1","1","1","2","1","2","4","1","3","2","2","3","3","3","2","4","2"
