"","A","B","C","D","E","F","G","H","J","K","L","M"
"1","1","2","5","3","1","4","3","1","4","2","5","4"
"2","1","4","2","5","3","1","5","3","1","4","2","4"
"3","1","3","5","2","4","1","4","1","3","5","2","3"
"4","1","3","1","4","2","5","4","2","5","3","1","4"
"5","1","5","1","2","3","4","4","5","1","2","3","2"
"6","1","2","3","4","5","1","1","2","3","4","5","2"
"7","2","5","1","3","1","5","2","4","3","4","2","4"
"8","2","2","1","1","2","4","5","3","3","5","4","2"
"9","1","2","4","1","3","5","3","5","2","4","1","3"
"10","2","4","3","3","4","1","2","5","5","2","1","2"
"11","2","1","3","1","5","5","4","3","4","2","2","5"
"12","2","2","5","4","4","5","2","3","1","1","3","1"
"13","2","4","1","4","3","3","2","1","2","5","5","5"
"14","1","2","2","2","2","2","2","2","2","2","2","1"
"15","1","1","5","4","3","2","5","4","3","2","1","5"
"16","2","4","2","1","1","2","4","5","3","3","5","1"
"17","2","3","2","2","3","5","1","4","4","1","5","2"
"18","2","4","4","5","2","5","1","1","3","2","3","3"
"19","2","5","4","4","5","2","3","1","1","3","2","2"
"20","2","3","1","5","5","1","3","4","2","2","4","1"
"21","2","1","5","5","1","3","4","2","2","4","3","2"
"22","2","3","4","1","4","3","5","2","1","2","5","4"
"23","1","4","4","4","4","4","4","4","4","4","4","1"
"24","1","4","5","1","2","3","3","4","5","1","2","2"
"25","1","3","2","1","5","4","2","1","5","4","3","5"
"26","2","4","5","2","5","4","1","3","2","3","1","4"
"27","2","1","1","2","4","2","3","3","5","4","5","3"
"28","1","3","3","3","3","3","3","3","3","3","3","1"
"29","2","5","3","2","2","3","5","1","4","4","1","1"
"30","2","2","4","2","1","1","5","4","5","3","3","5"
"31","2","5","2","5","4","4","3","2","3","1","1","5"
"32","1","1","4","2","5","3","2","5","3","1","4","4"
"33","1","5","5","5","5","5","5","5","5","5","5","1"
"34","2","5","5","1","3","1","2","2","4","3","4","3"
"35","2","3","3","4","1","4","5","5","2","1","2","3"
"36","1","5","2","4","1","3","1","3","5","2","4","3"
"37","1","1","2","3","4","5","5","1","2","3","4","2"
"38","1","4","3","2","1","5","3","2","1","5","4","5"
"39","2","3","5","3","2","2","1","5","1","4","4","5"
"40","2","2","2","3","5","3","4","4","1","5","1","3"
"41","1","5","4","3","2","1","4","3","2","1","5","5"
"42","1","1","1","1","1","1","1","1","1","1","1","1"
"43","1","3","4","5","1","2","2","3","4","5","1","2"
"44","2","1","4","3","3","4","1","2","5","5","2","1"
"45","1","1","3","5","2","4","2","4","1","3","5","3"
"46","1","4","1","3","5","2","5","2","4","1","3","3"
"47","2","2","3","5","3","2","4","1","5","1","4","4"
"48","2","1","2","4","2","1","3","5","4","5","3","4"
"49","1","2","1","5","4","3","1","5","4","3","2","5"
"50","1","5","3","1","4","2","1","4","2","5","3","4"
