"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","2","1","1","1","1","1","2","1","1","2","1","2","1","2","2","1","1","2","2","1","2","14"
"2","2","1","1","2","1","1","1","1","2","1","2","2","2","1","1","1","1","2","2","2","1","3"
"3","2","2","2","2","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","22"
"4","2","2","2","1","2","2","1","2","1","2","1","2","1","2","2","1","2","1","2","2","2","9"
"5","1","2","2","2","1","2","2","2","1","2","1","2","1","1","2","1","1","2","1","1","1","4"
"6","1","2","1","2","2","2","1","2","2","1","1","1","2","2","2","1","1","2","2","2","2","17"
"7","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","12"
"8","1","1","2","2","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","1","1"
"9","2","1","2","1","1","2","1","2","2","2","2","2","2","2","1","1","2","1","2","2","2","10"
"10","2","2","2","1","1","1","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","12"
"11","1","1","1","2","1","1","2","1","1","1","1","2","1","1","2","1","2","2","2","2","2","10"
"12","1","1","2","2","1","2","1","1","1","2","1","2","1","1","2","2","1","1","2","1","1","22"
"13","1","1","2","2","2","2","2","1","2","2","2","1","1","2","1","1","1","1","2","1","2","3"
"14","1","1","1","1","1","1","2","2","1","1","1","1","2","2","1","2","2","2","1","2","2","22"
"15","2","1","1","2","1","1","1","1","2","2","2","1","2","1","2","2","2","1","2","2","2","4"
"16","1","1","2","2","2","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","1","2"
"17","2","2","1","1","2","1","2","1","2","2","2","2","2","2","1","1","2","2","1","1","1","22"
"18","2","2","1","2","1","1","2","1","1","1","2","1","1","2","2","2","2","2","2","2","2","6"
"19","1","1","2","1","1","1","1","1","1","2","1","1","2","2","2","1","2","2","1","1","2","18"
"20","2","1","1","2","1","2","1","2","2","2","2","2","1","2","2","1","2","2","1","2","2","15"
"21","2","2","2","1","1","2","1","2","1","2","2","2","1","1","1","1","2","2","2","2","1","7"
"22","2","1","2","1","2","2","2","1","2","1","1","1","1","2","1","1","2","1","1","1","1","5"
"23","2","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","1","1","2","1","3"
"24","2","1","1","2","2","2","2","1","1","2","1","1","2","1","1","2","2","1","1","1","1","15"
"25","2","2","2","2","1","2","1","1","1","1","2","2","2","2","2","1","2","2","1","1","1","21"
"26","2","2","2","1","1","2","1","1","2","2","2","2","2","1","2","2","2","1","2","1","1","16"
"27","1","2","1","2","1","2","1","1","1","2","2","1","2","2","1","1","2","1","1","1","2","6"
"28","1","1","1","1","1","2","2","1","2","1","1","1","2","2","2","1","1","1","2","1","1","7"
"29","2","2","1","1","2","1","1","2","1","2","2","1","1","1","2","2","2","1","2","1","2","20"
"30","1","1","2","1","1","1","1","2","2","2","1","1","1","2","1","2","2","2","1","2","2","16"
"31","2","1","1","2","2","2","2","1","1","1","1","2","1","1","2","1","1","1","1","2","2","16"
"32","1","1","1","2","1","2","2","2","1","2","2","2","2","2","1","2","1","2","1","2","1","9"
"33","2","2","2","2","1","2","1","1","1","1","1","2","2","2","1","2","1","1","2","1","2","18"
"34","1","2","2","2","1","1","2","1","2","2","2","1","1","1","1","1","2","2","2","2","2","1"
"35","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","1","2","1","2","1","1","17"
"36","2","2","2","2","2","1","2","1","1","1","1","1","2","1","2","2","2","2","1","2","2","7"
"37","1","2","1","1","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","2","2"
"38","2","2","1","2","2","1","2","2","2","1","2","1","1","1","2","1","1","1","1","2","1","18"
