"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","1","1","3","1","2","2","1","2","5","4","3","8","7"
"2","2","1","2","3","2","2","3","4","1","3","2","5","5","8","1"
"3","2","1","2","4","3","4","3","4","2","2","7","1","6","5","3"
"4","1","1","1","4","2","1","1","1","3","1","7","3","4","8","6"
"5","1","2","2","1","4","3","1","4","4","2","4","3","7","1","1"
"6","2","2","1","4","4","4","4","4","4","8","8","8","8","8","8"
"7","1","1","1","4","4","2","4","2","3","2","2","2","2","4","5"
"8","2","1","2","1","4","1","1","2","3","8","6","5","1","5","4"
"9","2","1","2","1","1","2","1","4","2","4","8","2","4","7","7"
"10","1","1","1","3","2","4","1","3","1","8","4","4","2","7","3"
"11","2","2","1","3","3","1","1","3","3","6","8","1","5","1","5"
"12","1","1","1","2","3","2","2","2","4","1","8","5","7","3","3"
"13","1","1","1","3","4","3","4","4","1","7","5","1","4","3","4"
"14","1","2","2","2","1","1","1","4","3","3","5","7","8","4","3"
"15","1","2","2","4","2","1","3","4","4","4","3","4","1","3","5"
"16","2","1","2","1","3","1","4","3","2","3","1","3","2","3","8"
"17","1","1","1","4","1","1","4","4","2","6","4","5","3","2","2"
"18","1","2","2","2","2","1","4","1","2","8","2","1","7","6","7"
"19","1","2","2","3","1","4","2","3","3","2","3","5","4","6","8"
"20","1","1","1","1","4","3","3","1","3","3","8","4","6","6","2"
"21","2","2","1","3","4","1","4","2","2","1","3","7","6","7","1"
"22","1","2","2","1","2","4","4","3","4","1","5","2","5","5","2"
"23","2","1","2","2","4","4","1","4","1","1","1","6","3","6","5"
"24","1","1","1","2","4","2","3","3","1","6","3","3","8","5","7"
"25","1","1","1","1","1","4","3","3","2","7","6","7","7","8","5"
"26","2","1","2","3","3","1","3","2","4","7","4","2","8","6","6"
"27","1","1","1","1","3","3","2","4","2","8","3","6","5","4","6"
"28","2","2","1","2","1","3","3","3","3","8","7","2","3","3","1"
"29","2","1","2","1","2","2","4","1","3","7","3","8","3","1","3"
"30","2","1","2","3","1","2","2","1","4","8","5","3","6","2","5"
"31","2","2","1","3","1","2","4","4","3","5","1","4","7","5","6"
"32","1","2","2","3","3","3","3","4","3","1","6","8","2","2","7"
"33","2","2","1","1","1","2","3","1","1","1","4","1","1","4","8"
"34","1","1","1","2","1","1","3","1","4","2","1","8","5","7","4"
"35","2","2","1","2","3","4","2","4","3","7","2","3","1","7","2"
"36","1","2","2","2","4","2","1","2","2","7","7","4","5","2","8"
"37","1","2","2","4","4","2","2","3","4","3","6","1","3","7","6"
"38","2","1","2","2","3","4","4","1","4","6","6","4","4","4","1"
"39","2","2","1","1","2","2","2","4","4","6","7","7","2","6","4"
"40","2","2","1","4","3","4","1","1","1","3","3","2","7","2","4"
"41","2","1","2","4","4","4","2","1","3","5","4","7","5","3","7"
"42","2","2","1","4","2","3","1","3","4","7","1","5","6","4","7"
"43","1","2","2","4","3","2","3","2","1","8","1","7","4","1","2"
"44","2","2","1","1","4","1","3","3","4","5","2","6","4","2","3"
"45","2","2","1","2","4","4","3","1","2","4","5","5","2","1","6"
"46","1","1","1","3","1","4","4","2","4","3","7","6","1","1","7"
"47","1","1","1","3","3","3","1","1","4","4","2","7","3","5","8"
"48","1","2","2","3","2","4","3","2","2","5","8","3","3","4","4"
"49","1","1","1","2","2","1","2","4","1","5","6","2","6","1","8"
"50","2","1","2","4","2","3","3","2","3","6","5","6","7","7","8"
"51","2","1","2","3","4","1","2","3","1","4","7","8","7","4","2"
"52","2","1","2","2","1","3","1","2","4","5","3","1","2","8","2"
"53","1","2","2","2","3","2","4","3","3","4","4","6","6","8","4"
"54","2","2","1","4","1","3","4","2","1","4","6","3","5","6","3"
"55","1","1","1","4","3","2","1","3","2","5","5","8","1","6","1"
"56","2","2","1","2","2","3","2","2","2","3","4","8","4","5","5"
"57","2","2","1","3","2","2","1","1","2","2","6","6","8","3","2"
"58","1","1","1","1","2","4","2","2","3","4","1","1","8","2","1"
"59","1","2","2","1","1","4","1","2","1","6","2","8","6","3","6"
"60","2","1","2","4","1","3","2","3","2","1","2","4","8","1","4"
"61","2","1","2","2","2","3","4","3","1","2","8","7","1","2","6"
"62","1","2","2","1","3","3","4","1","1","5","7","5","8","7","5"
"63","1","2","2","4","1","1","2","1","1","7","8","6","2","5","1"
"64","1","2","2","3","4","3","2","1","2","6","1","2","1","8","3"
