"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","1","2","2","1","4","3","2","1","4","3","2"
"2","2","2","1","1","3","2","1","4","4","1","2","3","3"
"3","1","1","1","1","3","3","3","3","3","3","3","3","1"
"4","2","1","1","2","2","4","2","4","1","3","1","3","4"
"5","1","1","2","2","4","4","3","3","1","1","2","2","3"
"6","1","1","1","1","4","4","4","4","4","4","4","4","1"
"7","1","2","2","1","3","4","2","1","2","1","3","4","4"
"8","1","2","2","1","4","3","1","2","1","2","4","3","4"
"9","2","1","2","1","3","1","4","2","1","3","2","4","2"
"10","2","2","1","1","4","1","2","3","3","2","1","4","3"
"11","2","1","2","1","1","3","2","4","3","1","4","2","2"
"12","1","1","1","1","2","2","2","2","2","2","2","2","1"
"13","1","2","1","2","4","3","2","1","4","3","2","1","2"
"14","2","2","1","1","2","3","4","1","1","4","3","2","3"
"15","1","1","2","2","2","2","1","1","3","3","4","4","3"
"16","1","2","2","1","1","2","4","3","4","3","1","2","4"
"17","2","2","2","2","4","1","1","4","2","3","3","2","1"
"18","2","1","1","2","3","1","3","1","4","2","4","2","4"
"19","2","2","2","2","2","3","3","2","4","1","1","4","1"
"20","2","2","2","2","3","2","2","3","1","4","4","1","1"
"21","1","1","2","2","3","3","4","4","2","2","1","1","3"
"22","2","1","2","1","4","2","3","1","2","4","1","3","2"
"23","1","2","1","2","1","2","3","4","1","2","3","4","2"
"24","1","2","2","1","2","1","3","4","3","4","2","1","4"
"25","2","2","1","1","1","4","3","2","2","3","4","1","3"
"26","2","1","1","2","1","3","1","3","2","4","2","4","4"
"27","2","1","2","1","2","4","1","3","4","2","3","1","2"
"28","2","1","1","2","4","2","4","2","3","1","3","1","4"
"29","1","1","2","2","1","1","2","2","4","4","3","3","3"
"30","1","2","1","2","3","4","1","2","3","4","1","2","2"
"31","2","2","2","2","1","4","4","1","3","2","2","3","1"
"32","1","1","1","1","1","1","1","1","1","1","1","1","1"
