"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","2","1","1","1","1","1","1","1","1","1","4","4","1","1","2","1","1","1","5"
"2","1","1","1","2","1","2","1","1","1","2","2","1","4","1","2","3","4","2","4","1","22"
"3","1","2","2","1","2","2","2","1","2","2","2","1","2","1","1","2","1","1","4","3","10"
"4","1","2","2","2","1","2","2","2","1","1","2","2","1","3","1","3","4","1","2","4","19"
"5","1","1","1","1","1","1","2","2","1","1","2","2","3","2","4","2","3","1","4","3","16"
"6","1","1","1","2","1","2","1","2","2","2","2","1","4","3","1","2","4","2","1","3","17"
"7","2","1","2","1","1","1","2","1","2","2","2","1","4","2","2","1","3","4","1","2","13"
"8","2","1","2","2","2","1","2","1","2","1","2","2","1","4","1","2","4","1","3","2","28"
"9","1","2","2","2","2","1","1","2","2","2","1","2","3","2","1","4","3","1","3","2","22"
"10","2","2","1","1","2","2","2","2","1","1","1","1","3","2","1","4","4","2","4","1","24"
"11","2","1","2","2","2","1","2","2","1","2","2","1","3","3","2","2","2","1","1","1","3"
"12","2","2","1","2","2","1","1","1","1","1","2","2","2","1","1","2","2","2","3","4","8"
"13","1","2","2","1","1","1","1","1","1","1","1","1","1","1","4","4","1","2","2","2","2"
"14","2","1","2","1","2","2","1","1","1","2","1","2","4","2","4","2","1","4","3","1","19"
"15","2","2","1","2","2","1","2","1","2","1","2","2","3","1","2","4","1","2","1","3","27"
"16","1","1","1","2","2","1","2","1","2","1","2","2","4","3","4","1","2","3","2","1","26"
"17","2","2","1","2","2","1","1","1","1","1","2","2","4","3","3","4","3","3","2","1","10"
"18","2","1","2","2","1","2","2","1","2","2","1","2","3","3","3","3","3","3","3","3","1"
"19","2","1","2","2","1","2","1","2","2","1","1","1","1","2","2","1","1","1","4","3","8"
"20","1","2","2","2","1","2","2","2","1","1","1","1","3","4","3","2","1","4","1","2","26"
"21","2","2","1","2","1","2","1","2","2","2","2","1","3","1","4","1","2","1","3","2","15"
"22","2","2","1","1","2","2","2","2","1","2","1","2","3","1","1","2","4","3","2","1","13"
"23","2","2","1","2","1","2","2","1","2","2","1","2","3","3","2","2","3","4","4","4","2"
"24","2","1","2","2","2","1","2","2","1","2","2","1","4","4","1","1","4","3","3","3","2"
"25","2","2","1","1","2","2","1","2","2","1","2","2","4","4","3","3","3","1","1","1","6"
"26","1","1","1","1","2","2","1","2","2","1","2","2","2","2","3","3","2","1","1","1","2"
"27","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"28","2","2","1","1","1","1","1","2","2","2","2","1","2","4","2","4","1","4","3","1","20"
"29","2","2","1","1","1","1","1","1","1","1","1","1","4","4","2","2","2","3","3","3","7"
"30","1","2","2","1","1","1","1","1","1","1","1","1","2","2","3","3","3","4","4","4","3"
"31","2","2","1","2","1","2","1","1","1","1","2","2","1","2","3","1","4","4","2","3","14"
"32","1","1","1","2","2","1","2","1","2","1","1","1","3","1","3","1","4","1","2","4","20"
"33","2","2","1","2","2","1","1","1","1","2","1","2","2","3","1","3","2","4","1","2","16"
