"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"66","1","2","1","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","1"
"67","2","2","1","2","2","1","1","1","2","2","2","1","1","1","1","1","1","1","1"
"68","1","1","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","1","2"
"69","2","2","2","2","1","2","1","2","2","1","2","1","1","1","2","2","1","2","2"
"70","2","2","1","2","1","2","1","1","2","2","1","2","1","2","2","1","2","1","2"
"71","2","2","1","2","2","1","1","1","2","2","2","1","1","1","1","2","2","2","2"
"72","2","2","1","2","2","1","2","2","1","1","2","1","2","1","2","1","1","2","1"
"73","2","2","2","2","1","2","1","2","2","1","2","1","1","1","2","1","2","1","1"
"74","1","2","2","1","2","2","1","2","1","1","2","1","2","2","2","2","2","2","1"
"75","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","1","2","2","2"
"76","1","1","2","1","2","2","2","2","1","2","2","2","1","2","1","2","1","1","2"
"77","1","1","1","2","1","1","2","1","1","1","1","2","2","1","2","1","2","1","2"
"78","2","1","1","1","2","2","2","2","1","2","1","1","2","2","2","2","1","2","1"
"79","1","1","1","2","1","2","2","2","2","2","1","2","2","2","1","2","2","1","1"
"80","1","2","1","1","1","1","2","2","1","1","1","1","2","2","1","2","1","1","2"
"81","2","2","1","1","1","2","1","1","1","1","2","1","2","1","1","1","2","1","2"
"82","2","2","2","1","1","2","2","1","2","2","2","2","1","1","1","2","2","1","1"
"83","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","1","1","1","1"
"84","1","1","2","1","1","1","2","2","2","1","1","2","1","1","1","1","2","1","1"
"85","2","1","1","2","1","2","2","1","2","2","2","1","2","1","2","2","1","1","1"
"86","1","1","2","1","2","1","1","2","2","2","1","1","2","2","1","2","2","2","2"
"87","2","2","1","1","2","1","1","1","1","1","1","2","2","2","2","1","1","1","1"
"88","1","2","2","1","1","1","2","1","2","1","2","1","2","1","2","1","1","1","1"
"89","2","1","1","2","2","2","1","1","1","1","1","1","1","1","2","1","1","1","2"
"90","1","2","1","2","2","1","1","2","1","2","2","2","2","2","1","2","1","2","1"
"91","1","1","1","1","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2"
"92","2","1","1","2","2","2","2","2","2","1","2","2","1","1","1","1","2","1","2"
"93","1","1","1","1","1","2","1","1","2","1","1","1","2","2","2","2","1","2","2"
"94","1","2","2","1","2","2","2","1","2","1","1","2","2","2","1","1","2","1","2"
"95","2","1","1","2","2","1","1","2","2","2","1","2","2","1","2","1","2","1","1"
"96","1","1","1","2","2","2","1","2","2","2","2","1","1","2","2","2","2","1","2"
"97","2","2","2","2","2","1","1","2","1","2","1","1","1","2","2","1","2","2","1"
"98","1","2","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","2","2"
"99","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","2","2","1","2"
"100","1","2","2","2","2","2","2","1","1","2","2","1","1","1","2","2","1","2","1"
"101","1","1","1","1","1","1","2","1","2","2","2","1","1","2","1","2","1","2","1"
"102","1","2","1","2","2","2","1","1","2","1","2","2","2","1","2","1","1","2","2"
"103","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","1","2","2","2"
"104","2","2","1","2","1","1","2","1","2","1","2","2","2","2","1","2","1","2","2"
"105","2","2","2","2","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2"
"106","1","2","2","2","2","2","2","1","1","2","2","1","1","1","2","1","2","1","2"
"107","2","1","1","2","1","2","1","2","1","1","2","2","2","2","2","1","2","2","1"
"108","1","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","2","1","1"
"109","2","2","1","1","1","1","1","2","2","2","2","1","2","2","2","1","1","2","2"
"110","2","2","1","2","1","1","2","1","2","1","2","2","2","2","1","1","2","1","1"
"111","2","1","2","2","2","2","2","1","2","2","1","1","1","2","1","2","1","2","2"
"112","2","1","1","1","2","1","1","2","1","1","2","1","1","2","1","2","1","2","2"
"113","1","2","1","1","2","2","1","1","1","2","1","1","1","2","1","2","2","1","1"
"114","1","1","2","2","1","1","2","2","1","2","2","1","2","2","2","2","1","2","2"
"115","2","2","2","2","1","2","2","1","1","1","1","1","2","2","2","2","2","1","1"
"116","2","1","2","1","1","2","1","1","1","2","2","1","1","2","2","1","1","1","1"
"117","1","1","1","2","2","2","1","2","2","2","2","1","1","2","2","1","1","2","1"
"118","2","2","1","1","1","1","2","1","1","2","1","1","1","1","2","1","2","1","1"
"119","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1"
"120","1","2","1","1","2","1","1","2","2","1","1","1","1","1","2","1","2","1","2"
"121","1","1","1","2","1","1","2","1","1","1","1","2","2","1","2","2","1","2","1"
"122","2","2","2","2","2","1","2","1","2","1","1","2","1","1","2","2","1","1","1"
"123","1","2","2","1","1","2","2","2","2","2","1","1","1","2","2","2","1","1","1"
"124","1","2","2","1","1","2","2","2","2","2","1","1","1","2","2","1","2","2","2"
"125","1","1","1","1","2","2","1","2","1","1","1","2","2","1","1","2","2","1","2"
"126","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","2","2","2","1"
"127","1","1","1","1","2","1","1","1","1","2","2","1","2","1","2","2","1","1","2"
"128","1","1","1","2","2","2","2","1","1","1","2","1","2","2","1","2","2","2","2"
"129","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","1","1","2","2"
"130","1","2","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","2"
"131","2","2","2","1","2","1","1","2","2","1","2","2","2","1","1","2","1","1","2"
"132","1","2","2","2","2","1","1","1","1","1","1","1","2","1","1","2","1","2","2"
"133","2","1","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1"
"134","2","2","1","2","2","2","1","2","2","1","1","1","2","2","1","2","1","1","1"
"135","1","1","1","1","1","1","1","2","1","2","1","2","1","2","2","1","1","1","2"
"136","2","1","1","1","1","1","1","1","2","1","2","2","1","1","2","2","2","1","2"
"137","1","2","2","2","1","2","2","2","1","1","2","2","2","1","1","1","2","2","2"
"138","2","1","1","2","2","1","2","1","1","2","2","2","1","2","2","1","1","2","2"
"139","1","1","1","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","1"
"140","1","2","1","2","1","1","1","1","1","1","2","1","1","2","2","1","2","2","2"
"141","1","2","2","2","2","2","1","2","2","2","1","2","1","1","1","2","2","2","1"
"142","2","1","1","2","1","1","2","2","2","1","1","1","1","2","2","1","1","1","1"
"143","2","2","1","1","2","2","1","2","1","2","2","2","1","1","2","1","2","2","2"
"144","1","2","1","1","2","1","2","1","1","1","2","2","1","1","1","1","1","1","2"
"145","1","1","2","1","2","1","2","1","1","1","1","1","1","2","2","2","2","1","2"
"146","1","1","1","1","2","2","2","1","2","2","1","2","1","1","2","1","1","1","1"
"147","2","2","2","1","2","1","1","2","2","1","2","2","2","1","1","1","2","2","1"
"148","1","2","1","2","1","1","2","2","2","2","2","2","1","1","2","2","1","1","2"
"149","1","1","2","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1","1"
"150","2","1","1","2","2","2","2","2","2","1","2","2","1","1","1","2","1","2","1"
"151","2","1","2","1","1","2","2","2","2","1","2","1","2","2","1","1","1","2","1"
"152","1","2","1","1","2","2","1","1","1","2","1","1","1","2","1","1","1","2","2"
"153","2","2","1","2","1","1","1","2","1","1","1","2","1","1","1","1","1","2","2"
"154","1","2","2","1","1","1","1","2","1","2","2","1","1","1","1","2","2","1","2"
"155","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2"
"156","1","1","1","2","1","1","1","2","2","1","2","1","2","1","1","2","2","2","1"
"157","2","1","2","2","1","2","1","1","2","1","1","2","2","1","1","2","2","2","2"
"158","1","1","1","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1"
"159","1","2","2","2","2","1","2","2","2","1","2","1","1","2","1","2","2","1","1"
"160","1","2","2","2","2","2","1","2","2","2","1","2","1","1","1","1","1","1","2"
"161","1","1","2","2","1","2","1","2","1","1","1","1","1","2","1","1","2","1","2"
"162","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","2","1","2","2"
"163","1","2","1","2","2","2","2","2","1","1","1","2","1","2","2","2","1","2","2"
"164","2","1","2","2","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2"
"165","2","1","2","1","1","1","2","1","2","2","1","2","2","2","2","2","1","1","2"
"166","1","2","2","2","1","2","1","1","2","2","2","1","2","2","1","2","1","1","2"
"167","1","1","2","2","2","2","2","2","2","1","1","1","2","1","2","1","2","2","1"
"168","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","2","1","2"
"169","2","2","2","1","2","1","2","1","1","2","2","1","2","2","1","1","2","2","2"
"170","1","2","1","2","2","2","1","1","2","1","2","2","2","1","2","2","2","1","1"
"171","2","1","1","2","1","2","2","1","2","2","2","1","2","1","2","1","2","2","2"
"172","1","1","2","2","1","1","1","1","2","2","1","1","1","1","2","1","1","2","2"
"173","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","2","2","2","1"
"174","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1"
"175","2","2","1","1","1","2","1","1","1","1","2","1","2","1","1","2","1","2","1"
"176","2","1","1","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","1"
"177","2","2","1","2","1","2","2","2","1","2","2","1","1","2","1","2","2","2","1"
"178","1","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","1","1"
"179","1","1","1","2","2","1","1","1","2","1","1","2","1","2","1","1","2","2","1"
"180","2","1","2","1","2","2","2","1","1","1","2","2","2","1","2","2","1","2","2"
"181","2","1","2","2","2","1","2","2","1","1","1","2","2","2","1","2","2","2","1"
"182","2","2","2","1","2","1","2","1","1","2","2","1","2","2","1","2","1","1","1"
"183","2","2","2","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1"
"184","2","2","2","1","2","2","1","1","2","2","1","1","2","1","2","1","1","2","1"
"185","1","1","1","1","2","1","1","1","1","2","2","1","2","1","2","1","2","2","1"
"186","2","1","2","1","2","1","2","2","2","2","2","1","1","1","2","1","1","1","2"
"187","2","2","1","1","2","1","2","2","2","2","1","2","1","2","1","2","2","1","2"
"188","2","2","1","2","2","2","2","1","1","2","1","2","2","1","1","2","1","1","2"
"189","2","1","2","1","2","2","2","1","1","1","2","2","2","1","2","1","2","1","1"
"190","2","1","1","1","1","2","1","2","2","2","1","1","1","1","1","2","1","1","2"
"191","1","2","2","2","1","1","1","2","2","1","1","2","2","2","2","1","1","2","1"
"192","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","1","2"
"193","1","2","1","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","1"
"194","1","1","2","2","1","1","2","2","1","2","2","1","2","2","2","1","2","1","1"
"195","2","2","1","1","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2"
"196","1","1","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","1","1"
"197","2","1","2","1","2","1","1","1","1","2","1","2","1","1","1","2","1","2","1"
"198","1","2","2","1","2","1","2","2","1","2","1","2","2","1","2","2","2","1","1"
"199","1","1","2","2","2","1","1","2","1","1","2","2","1","1","2","2","2","2","2"
"200","2","2","1","1","2","1","2","2","2","2","1","2","1","2","1","1","1","2","1"
"201","2","2","1","2","2","2","2","1","1","2","1","2","2","1","1","1","2","2","1"
"202","1","2","2","1","1","2","1","1","1","1","1","2","1","1","2","1","2","2","1"
"203","2","1","2","1","1","2","2","2","2","1","2","1","2","2","1","2","2","1","2"
"204","2","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","1","2"
"205","2","1","2","2","1","1","2","1","1","1","2","1","1","1","1","2","1","1","2"
"206","2","1","2","1","2","1","2","2","2","2","2","1","1","1","2","2","2","2","1"
"207","2","2","1","1","2","2","2","1","2","1","2","1","1","2","2","1","2","2","1"
"208","1","2","2","2","2","1","1","1","1","1","1","1","2","1","1","1","2","1","1"
"209","1","2","2","1","1","1","2","1","2","1","2","1","2","1","2","2","2","2","2"
"210","2","2","2","1","1","2","1","2","1","2","1","2","2","2","1","1","2","1","1"
"211","1","1","2","1","2","1","1","2","2","2","1","1","2","2","1","1","1","1","1"
"212","1","1","1","2","2","1","1","1","2","1","1","2","1","2","1","2","1","1","2"
"213","2","2","2","2","1","1","1","1","1","2","2","2","2","1","2","2","2","2","1"
"214","1","2","1","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","2"
"215","2","1","1","2","2","1","1","2","2","2","1","2","2","1","2","2","1","2","2"
"216","1","1","2","2","2","1","2","1","2","2","2","2","2","1","1","2","2","1","2"
