"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","1","2","3","2","3","2","1","3","1","1","1","1","2","3","1","2","9","4","7","5","3","8"
"2","3","1","2","2","1","2","3","2","1","3","2","3","1","1","1","1","9","8","4","6","5","3"
"3","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","7","7","7","7","7","1"
"4","1","3","2","3","1","2","3","2","3","2","1","3","2","2","2","1","6","9","7","1","4","4"
"5","1","1","1","1","2","1","3","3","1","2","3","2","3","3","3","1","6","8","5","7","3","6"
"6","2","1","3","3","1","3","2","3","1","2","3","2","1","1","1","1","5","6","7","8","9","2"
"7","2","1","3","3","2","1","3","3","2","1","3","3","2","1","3","3","4","4","4","4","4","1"
"8","2","2","2","1","2","2","2","1","2","2","2","1","2","2","2","1","5","5","5","5","5","1"
"9","2","2","2","1","1","1","1","1","1","3","2","3","1","2","3","2","6","4","8","9","7","2"
"10","1","3","2","3","3","3","3","1","1","2","3","2","2","1","3","3","7","5","8","6","1","8"
"11","1","2","3","2","2","3","1","2","2","1","3","3","2","2","2","1","1","3","8","7","9","3"
"12","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","6","6","6","6","6","1"
"13","3","2","1","3","1","1","1","1","2","2","2","1","3","3","3","1","4","3","7","6","2","9"
"14","2","3","1","2","1","2","3","2","1","1","1","1","1","3","2","3","4","5","9","7","8","2"
"15","2","1","3","3","3","1","2","2","2","2","2","1","1","3","2","3","9","2","8","1","6","6"
"16","3","3","3","1","2","1","3","3","1","3","2","3","3","2","1","3","1","5","7","2","6","5"
"17","3","2","1","3","2","1","3","3","2","3","1","2","2","2","2","1","9","7","2","3","1","2"
"18","1","2","3","2","1","2","3","2","1","2","3","2","1","2","3","2","2","2","2","2","2","1"
"19","1","2","3","2","1","3","2","3","2","3","1","2","3","3","3","1","8","5","4","1","7","7"
"20","3","3","3","1","3","1","2","2","1","1","1","1","2","1","3","3","6","3","2","8","5","7"
