"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","1","1","1","1","2","2","2","1","2","3","4","3","3","2","4","4","5"
"2","2","1","1","1","1","2","2","1","1","2","2","1","1","4","1","3","3","4","6"
"3","2","2","2","2","1","1","2","2","2","1","2","1","1","4","4","4","1","3","1"
"4","1","1","2","1","2","2","1","2","2","1","2","3","3","3","3","3","3","3","1"
"5","2","2","2","2","1","1","2","2","2","1","2","1","2","2","1","3","4","3","3"
"6","2","1","2","1","2","1","2","2","2","2","1","3","3","2","3","1","1","2","6"
"7","1","2","2","1","2","1","1","1","1","2","2","1","3","4","2","1","2","4","10"
"8","2","1","1","2","2","1","2","2","2","2","1","4","4","2","1","3","2","3","8"
"9","2","1","1","1","1","1","2","2","2","2","1","1","3","2","3","4","4","1","10"
"10","1","2","2","2","1","1","1","1","1","2","2","2","3","4","3","2","4","2","6"
"11","2","1","1","1","1","2","1","2","1","1","1","4","3","4","3","4","2","3","2"
"12","1","2","2","1","2","1","2","2","1","1","1","1","4","3","4","1","3","1","6"
"13","2","1","2","1","2","2","2","1","1","2","2","3","1","4","1","2","2","3","10"
"14","2","1","2","1","2","1","1","1","2","1","2","2","1","2","1","2","4","1","2"
"15","2","2","1","2","2","1","2","2","2","1","2","2","3","3","1","1","2","4","9"
"16","1","2","2","2","1","1","2","2","1","1","1","2","4","3","1","2","1","3","10"
"17","1","1","1","2","2","2","1","2","2","1","2","1","3","4","2","3","4","1","9"
"18","2","1","2","2","1","2","2","1","1","2","2","2","2","4","3","1","4","1","8"
"19","1","1","2","2","1","1","2","2","1","2","2","3","3","1","1","4","3","3","7"
"20","1","1","2","1","2","1","1","1","1","1","1","4","4","2","2","3","4","4","7"
"21","2","2","2","1","2","1","1","1","2","2","1","2","1","1","2","4","3","4","3"
"22","2","1","2","2","1","1","1","1","2","1","2","3","1","3","3","4","2","2","4"
"23","1","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","1"
"24","2","1","2","2","1","1","2","2","2","2","1","1","2","1","2","1","3","2","2"
"25","2","2","1","1","1","1","1","1","2","2","1","3","2","3","1","1","4","1","7"
"26","1","2","1","1","1","1","2","2","1","1","1","2","1","4","3","3","3","4","2"
"27","2","1","1","2","2","2","1","2","1","1","1","2","2","3","2","4","4","3","6"
"28","2","1","1","1","1","1","1","1","2","1","2","3","3","1","2","4","1","4","8"
"29","2","2","1","2","2","2","2","1","1","1","1","3","4","4","3","1","2","1","3"
"30","1","2","2","2","1","2","1","2","2","2","1","3","4","1","2","2","2","1","2"
"31","2","1","1","1","1","2","2","1","1","2","2","2","4","2","2","1","3","3","4"
"32","1","2","2","1","2","1","2","2","1","1","1","3","4","4","2","4","4","2","8"
"33","2","2","1","1","1","1","1","1","2","2","1","1","4","4","2","2","1","3","9"
"34","1","1","1","1","1","2","2","1","2","2","1","2","4","3","1","4","3","2","9"
"35","1","1","1","2","2","1","2","2","1","2","2","3","1","1","4","1","4","4","3"
"36","1","2","1","1","1","1","2","2","1","1","1","2","3","1","4","3","2","1","4"
"37","2","2","1","2","2","1","1","1","2","2","1","4","3","4","4","1","3","3","5"
"38","1","1","2","1","2","2","2","1","2","2","1","2","3","1","4","2","4","3","5"
"39","2","2","2","1","2","2","1","2","1","2","2","3","2","2","4","4","3","1","9"
"40","2","2","2","1","2","1","1","1","2","2","1","2","2","3","3","3","2","4","1"
"41","1","2","1","2","2","2","1","2","2","2","1","2","1","1","3","1","1","3","8"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","1","1","2","2","1","2","1","2","2","1","2","1","4","2","3","1","3","4","5"
"44","2","1","2","1","2","2","1","2","1","1","1","1","1","3","4","2","3","2","8"
"45","1","2","1","1","1","2","2","1","2","1","2","3","2","1","2","3","1","3","6"
"46","2","1","2","2","1","2","1","2","1","1","1","4","2","3","2","1","1","4","10"
"47","1","1","1","1","1","1","2","2","1","2","2","4","1","3","2","4","2","1","5"
"48","2","1","2","2","1","1","1","1","2","1","2","4","4","1","4","2","2","1","6"
"49","1","1","1","2","2","1","1","1","1","1","1","3","2","4","1","3","1","2","5"
"50","1","2","2","1","2","2","2","1","2","1","2","4","1","3","2","1","4","3","4"
"51","1","1","1","1","1","1","1","1","1","1","1","4","2","2","3","2","3","3","3"
"52","2","2","2","2","1","2","2","1","1","1","1","4","1","1","3","3","4","2","9"
"53","1","2","2","1","2","2","2","1","2","1","2","4","3","2","1","1","1","2","2"
"54","1","2","2","2","1","1","1","1","1","2","2","4","3","3","1","3","3","1","8"
"55","2","2","2","1","2","2","1","2","1","2","2","1","4","1","3","3","2","3","7"
"56","1","2","1","1","1","2","1","2","2","2","1","3","1","2","4","3","4","2","10"
"57","1","1","2","1","2","2","1","2","2","1","2","2","4","4","1","4","1","1","3"
"58","1","2","1","2","2","1","1","1","1","2","2","1","4","2","3","4","1","2","4"
"59","1","2","2","2","1","2","1","2","2","2","1","3","2","4","1","2","3","4","4"
"60","1","2","1","2","2","1","1","1","1","2","2","1","2","3","4","4","4","3","2"
"61","2","1","2","1","2","1","2","2","2","2","1","4","2","4","4","3","1","1","4"
"62","2","2","1","1","1","2","1","2","1","2","2","4","4","1","1","1","4","2","1"
"63","2","1","1","2","2","1","1","1","2","1","2","2","4","1","4","3","3","2","10"
"64","2","2","2","1","2","2","2","1","1","1","1","1","2","1","1","4","2","2","5"
"65","1","2","1","2","2","2","2","1","2","1","2","4","2","1","3","4","3","1","10"
"66","2","1","1","2","2","2","2","1","1","2","2","3","4","3","4","3","1","4","2"
"67","2","2","1","2","2","2","2","1","1","1","1","3","3","2","2","2","3","1","1"
"68","2","1","1","2","2","2","1","2","1","1","1","1","3","1","1","2","4","4","4"
"69","1","1","1","1","1","2","1","2","2","1","2","2","2","4","4","1","2","2","7"
"70","1","1","2","2","1","2","2","1","2","2","1","1","3","3","2","3","2","2","3"
"71","1","2","1","2","2","2","1","2","2","2","1","4","1","2","1","4","2","4","6"
"72","1","1","1","2","2","2","2","1","2","2","1","1","1","3","3","2","1","1","7"
"73","1","1","2","2","1","1","1","1","1","1","1","3","1","2","4","1","2","3","9"
"74","1","2","1","1","1","2","2","1","2","1","2","1","2","2","4","2","2","4","8"
"75","2","2","1","2","2","1","2","2","2","1","2","4","1","4","2","2","3","2","7"
"76","2","2","2","2","1","2","2","1","1","1","1","2","3","2","4","4","1","4","7"
"77","2","2","1","1","1","2","1","2","1","2","2","4","3","3","4","2","1","2","3"
"78","1","1","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","1"
"79","1","1","2","1","2","1","2","2","1","2","2","4","2","1","3","2","1","4","9"
"80","2","2","2","2","1","2","1","2","1","2","2","2","1","2","2","3","1","1","5"
