"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","1","3","1","1","3","1","2","3","2","2","2","6"
"2","3","3","3","3","3","3","3","3","3","3","3","3","1"
"3","1","1","1","3","3","2","3","3","3","2","3","2","3"
"4","3","3","2","3","3","2","3","1","2","1","1","1","6"
"5","3","2","1","1","2","2","3","3","3","3","1","1","19"
"6","1","2","2","1","3","2","2","2","2","2","1","3","10"
"7","2","2","3","1","3","2","3","1","1","3","2","2","5"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","2","2","1","3","3","3","1","2","3","2","3","1","7"
"10","2","1","2","3","1","3","3","3","2","1","1","3","16"
"11","3","2","2","3","3","2","1","2","3","1","2","3","20"
"12","3","1","1","3","2","1","1","1","1","1","3","2","10"
"13","2","1","1","2","2","1","3","1","2","3","1","2","20"
"14","3","2","3","1","2","1","1","1","3","2","2","1","16"
"15","3","1","2","2","2","3","3","3","1","2","2","3","14"
"16","1","1","1","3","1","2","1","3","2","3","2","2","2"
"17","2","1","3","3","1","1","2","2","2","2","3","3","19"
"18","1","3","1","2","2","3","1","1","3","2","1","3","15"
"19","1","2","3","3","1","1","3","2","1","1","1","3","12"
"20","1","3","1","2","3","2","2","2","1","3","3","2","16"
"21","2","3","1","1","3","1","3","1","2","2","3","3","13"
"22","1","2","2","2","1","2","3","1","1","2","3","1","11"
"23","1","3","2","1","2","1","3","2","3","1","3","2","17"
"24","2","3","1","1","1","2","2","2","3","1","1","2","14"
"25","2","1","2","3","3","1","2","2","1","3","2","1","15"
"26","1","2","3","3","2","3","2","3","1","1","2","2","13"
"27","2","3","2","3","2","2","1","3","1","1","3","1","8"
"28","1","3","3","3","2","2","2","1","3","3","1","3","21"
"29","3","2","1","3","2","3","3","2","1","2","1","2","18"
"30","2","3","2","3","1","1","3","1","3","2","2","2","9"
"31","3","3","1","2","1","3","1","2","2","1","3","3","5"
"32","3","3","1","3","1","2","2","1","1","2","2","3","4"
"33","2","2","2","1","2","3","2","1","3","1","3","3","2"
"34","2","2","2","1","1","3","1","1","1","3","1","3","3"
"35","2","1","1","1","3","3","3","2","1","1","2","1","21"
"36","3","1","3","1","3","3","2","1","2","2","1","2","8"
"37","1","3","2","1","3","1","1","3","2","3","2","3","18"
"38","1","1","3","2","2","2","3","1","2","1","2","3","7"
"39","3","2","1","3","1","3","2","1","2","3","2","1","17"
"40","1","1","2","3","2","1","2","3","3","2","1","1","5"
"41","3","1","3","1","2","2","1","2","1","3","3","3","9"
"42","1","3","3","1","1","3","2","3","1","2","3","1","20"
"43","1","2","1","2","3","3","2","3","2","1","1","1","9"
"44","2","1","3","2","1","2","2","1","3","1","3","1","18"
"45","3","3","3","2","2","1","2","2","2","1","2","1","3"
"46","3","1","1","1","3","1","2","3","3","1","2","3","11"
"47","3","1","2","2","3","3","2","1","3","3","3","2","12"
"48","1","3","2","2","3","3","1","1","1","1","2","2","19"
"49","1","2","3","3","3","1","1","1","2","3","3","1","14"
"50","2","2","1","2","2","1","2","3","1","3","3","3","6"
"51","2","3","1","1","2","2","1","3","2","2","2","1","12"
"52","2","2","2","2","2","2","2","2","2","2","2","2","1"
"53","3","1","2","2","1","2","1","2","3","3","1","1","13"
"54","1","1","2","1","2","3","3","2","2","3","3","1","4"
"55","2","3","3","2","1","3","3","3","3","3","2","1","10"
"56","3","2","3","1","1","2","3","3","2","1","3","2","15"
"57","3","3","2","1","1","1","2","3","1","3","1","2","7"
"58","3","3","3","2","3","1","3","2","1","2","1","1","2"
"59","2","3","3","3","2","3","1","2","2","3","1","2","11"
"60","2","1","3","2","3","2","1","3","1","2","1","3","17"
"61","2","2","3","2","3","1","1","3","3","1","1","2","4"
"62","3","2","2","2","1","1","1","3","2","2","3","2","21"
"63","1","2","1","2","1","1","3","2","3","3","2","3","8"
