"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","1","1","1","2","2","2","1","2","4","1","2","1","4","3","2","3","4","10"
"2","1","2","2","2","1","2","1","1","1","4","1","2","4","3","1","3","4","2","9"
"3","1","1","1","1","2","2","2","1","2","1","2","4","3","1","4","3","4","2","11"
"4","1","2","2","1","2","2","1","2","2","4","4","4","3","3","3","1","1","1","2"
"5","2","1","2","1","2","2","2","2","1","3","1","4","2","4","1","3","2","1","8"
"6","1","1","1","2","2","1","1","2","2","3","2","1","3","4","2","4","3","1","9"
"7","2","2","1","1","2","2","1","1","1","3","2","1","4","2","3","3","1","4","6"
"8","2","2","1","1","1","1","2","1","2","2","3","4","2","1","3","1","2","4","9"
"9","2","1","2","1","2","2","2","2","1","1","4","3","1","2","4","2","1","3","9"
"10","1","2","2","2","1","2","1","1","1","2","4","1","3","1","4","2","3","4","8"
"11","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1"
"12","2","2","1","1","2","2","1","1","1","2","1","3","3","4","2","1","4","3","5"
"13","1","1","1","1","2","2","2","1","2","2","4","1","4","3","1","4","2","3","12"
"14","1","2","2","2","2","1","2","1","2","3","1","4","4","1","2","2","1","3","4"
"15","2","1","2","2","2","1","1","1","1","2","3","4","3","2","1","4","1","2","10"
"16","2","1","2","2","1","2","2","1","2","1","1","1","2","2","2","4","4","4","2"
"17","1","2","2","1","1","1","2","2","1","1","3","2","3","4","2","3","1","4","12"
"18","1","1","1","2","1","2","2","2","1","3","4","2","2","1","3","4","1","2","5"
"19","1","2","2","2","2","1","2","1","2","1","4","3","2","4","1","1","3","2","6"
"20","2","1","2","1","1","1","1","2","2","2","4","1","1","4","3","3","4","2","4"
"21","1","1","1","2","2","1","1","2","2","1","3","2","4","2","3","1","4","3","8"
"22","2","1","2","2","1","2","2","1","2","2","2","2","4","4","4","1","1","1","3"
"23","1","1","1","2","1","2","2","2","1","2","3","4","1","3","2","2","4","1","6"
"24","1","2","2","1","1","1","2","2","1","3","2","1","2","3","4","1","4","3","10"
"25","2","1","2","1","1","1","1","2","2","1","2","4","4","3","1","2","3","4","5"
"26","1","1","1","2","1","2","2","2","1","4","2","3","3","2","1","1","2","4","4"
"27","2","2","1","2","2","1","2","2","1","1","1","1","3","3","3","2","2","2","3"
"28","1","1","1","2","2","1","1","2","2","2","1","3","2","3","4","3","1","4","7"
"29","2","2","1","1","1","1","2","1","2","4","2","3","1","3","2","4","1","2","8"
"30","1","2","2","1","2","2","1","2","2","3","3","3","1","1","1","4","4","4","3"
"31","2","2","1","1","1","1","2","1","2","3","4","2","3","2","1","2","4","1","7"
"32","2","2","1","2","1","2","1","2","2","4","3","1","2","4","1","2","1","3","11"
"33","2","2","1","2","1","2","1","2","2","1","4","3","4","1","2","3","2","1","10"
"34","2","2","1","2","1","2","1","2","2","3","1","4","1","2","4","1","3","2","12"
"35","2","1","2","2","2","1","1","1","1","3","4","2","1","3","2","1","2","4","11"
"36","2","1","2","1","2","2","2","2","1","4","3","1","4","1","2","1","3","2","7"
"37","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","1"
"38","1","1","1","1","1","1","1","1","1","4","4","4","2","2","2","3","3","3","3"
"39","2","1","2","1","1","1","1","2","2","4","1","2","3","1","4","4","2","3","6"
"40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","2","2","1","2","2","1","2","2","1","2","2","2","1","1","1","3","3","3","2"
"42","1","2","2","1","1","1","2","2","1","2","1","3","4","2","3","4","3","1","11"
"43","2","2","1","1","2","2","1","1","1","1","3","2","2","3","4","4","3","1","4"
"44","2","1","2","2","1","2","2","1","2","3","3","3","3","3","3","3","3","3","1"
"45","1","1","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","2"
"46","2","1","2","2","2","1","1","1","1","4","2","3","2","1","3","2","4","1","12"
"47","1","2","2","2","2","1","2","1","2","4","3","1","1","2","4","3","2","1","5"
"48","1","2","2","2","1","2","1","1","1","1","2","4","1","4","3","4","2","3","7"
