"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","2","2","2","2","1","1","1","2","2","1","2","2","1","2","9"
"2","1","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","9"
"3","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","1","1"
"4","1","2","1","1","2","1","1","2","1","1","1","1","2","1","2","2","4"
"5","2","1","2","1","1","1","1","2","2","2","1","2","2","2","2","1","9"
"6","2","2","1","1","1","1","1","1","2","2","2","2","2","1","1","2","3"
"7","2","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","3"
"8","2","1","2","2","1","1","1","1","1","1","1","1","2","1","2","2","8"
"9","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","7"
"10","2","2","1","1","2","2","2","2","2","2","1","2","1","2","1","1","8"
"11","1","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","5"
"12","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","7"
"13","2","1","1","2","1","2","2","2","2","2","1","1","1","1","2","2","6"
"14","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","2"
"15","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","1"
"16","2","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","2"
"17","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","7"
"18","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","1","4"
"19","1","2","2","1","2","2","1","2","2","2","1","1","2","2","1","2","6"
"20","1","1","1","2","2","2","2","1","2","2","2","2","2","1","2","2","2"
"21","1","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","4"
"22","1","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","7"
"23","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","6"
"24","2","2","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1"
"25","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","5"
"26","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","3"
"27","2","1","2","1","1","1","2","1","1","1","2","2","1","1","2","1","6"
"28","1","1","2","2","2","2","2","2","1","1","1","2","2","2","2","1","3"
"29","2","2","1","2","2","1","2","1","1","2","1","1","1","2","2","2","5"
"30","1","2","1","1","2","1","2","1","2","1","1","2","1","1","2","1","9"
"31","1","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","8"
"32","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","2","4"
"33","1","1","1","1","1","1","2","1","1","2","1","1","2","2","1","1","2"
"34","2","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","5"
"35","1","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","8"
"36","2","2","2","1","2","2","2","1","1","2","1","2","2","1","2","2","1"
