"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","2","2","1","1","1","2","1","1","2","2","2","2","2","2","1","8"
"2","1","2","2","2","1","2","2","2","2","1","1","1","2","1","1","1","5"
"3","1","1","1","1","1","2","2","2","1","1","1","2","1","2","1","2","5"
"4","2","1","1","1","1","2","1","1","2","2","1","2","2","1","2","2","12"
"5","1","1","2","2","1","2","2","2","2","2","2","1","1","1","2","1","1"
"6","1","2","2","2","2","1","1","2","1","1","2","2","1","2","2","2","12"
"7","2","1","1","2","1","1","1","2","2","1","1","2","1","1","1","2","8"
"8","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","6"
"9","1","2","2","1","2","1","1","2","2","2","1","2","2","1","1","1","4"
"10","2","2","2","2","2","1","1","1","1","2","2","1","1","1","2","1","5"
"11","2","1","1","2","1","2","2","1","2","1","2","2","1","1","2","1","2"
"12","1","2","1","2","2","1","2","2","1","1","2","2","2","2","2","1","13"
"13","2","1","2","1","2","2","1","2","2","1","1","1","2","2","2","2","13"
"14","2","1","2","2","1","1","2","2","1","2","2","2","2","2","1","1","6"
"15","2","1","2","1","1","1","2","2","2","1","2","1","2","2","2","1","11"
"16","2","1","2","2","2","2","1","2","2","2","2","1","1","1","2","2","6"
"17","2","1","1","1","2","1","2","1","1","2","1","1","2","1","2","1","10"
"18","1","1","2","2","2","1","2","1","2","1","1","2","1","2","2","2","7"
"19","2","2","2","1","1","2","1","2","1","1","2","2","1","2","1","2","10"
"20","1","1","2","1","1","1","1","1","1","2","1","1","1","2","2","1","9"
"21","2","2","2","1","1","2","2","1","2","1","2","1","1","2","1","1","12"
"22","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","1","9"
"23","2","2","2","1","1","1","2","1","2","2","1","1","1","1","1","2","13"
"24","2","2","1","1","2","1","1","2","2","1","2","1","2","1","1","2","1"
"25","2","2","2","2","2","2","2","1","1","1","1","1","2","1","2","2","3"
"26","1","2","1","1","2","2","1","2","1","1","2","1","1","1","2","1","8"
"27","2","2","1","2","1","1","1","2","1","2","1","1","2","2","1","2","2"
"28","2","1","1","2","2","2","1","1","1","1","1","1","1","2","1","1","11"
"29","1","1","2","2","1","1","1","1","1","1","1","2","2","2","2","2","1"
"30","1","2","2","2","1","2","1","1","2","1","1","2","2","1","2","1","10"
"31","2","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","5"
"32","2","2","2","2","1","1","1","2","2","2","1","2","1","2","1","1","3"
"33","1","1","2","1","2","1","1","1","2","1","2","2","2","1","1","1","2"
"34","1","2","1","1","2","2","2","1","2","1","1","2","2","2","1","1","6"
"35","1","1","2","1","1","1","2","1","1","1","2","1","1","1","1","2","4"
"36","2","1","2","1","2","2","2","2","1","1","2","2","2","1","1","2","9"
"37","1","1","1","1","2","1","1","1","2","1","2","1","1","2","1","1","3"
"38","2","2","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1"
"39","1","2","1","1","1","1","2","2","2","2","1","2","1","1","2","2","11"
"40","2","1","2","1","2","2","1","2","1","2","1","2","1","1","1","1","7"
"41","1","1","2","2","2","2","2","1","2","2","1","1","2","2","1","2","8"
"42","1","2","1","1","1","2","1","2","2","2","2","1","2","2","2","1","7"
"43","2","2","1","2","1","1","2","1","1","1","2","1","2","1","1","2","7"
"44","1","1","1","2","1","2","1","1","1","2","2","2","1","1","1","1","13"
"45","1","2","1","2","1","2","1","1","2","2","2","1","2","2","1","2","9"
"46","1","2","2","2","2","2","1","1","1","2","2","2","2","1","1","2","11"
"47","1","2","2","1","2","2","2","2","1","2","1","1","1","2","2","2","2"
"48","1","1","1","2","2","1","2","2","2","2","2","1","1","2","1","2","10"
"49","2","1","1","2","1","2","1","2","1","1","1","1","2","2","2","1","4"
"50","1","1","1","1","1","2","2","2","1","2","2","2","2","1","2","2","3"
"51","2","2","1","2","2","2","2","1","2","2","2","2","1","2","2","2","4"
"52","1","1","1","2","2","1","2","2","1","2","1","1","2","1","1","1","12"
