"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","2","1","2","1","1","2","1","2","2","1","1","6","5"
"2","2","1","1","2","2","2","1","2","1","1","3","1","3","5","2"
"3","2","2","2","1","1","2","2","1","1","3","2","2","3","5","4"
"4","1","1","2","1","1","2","1","2","2","2","3","2","3","4","6"
"5","2","1","1","1","2","1","2","1","2","1","1","2","2","6","6"
"6","1","2","1","2","1","1","2","2","1","3","1","1","3","2","6"
"7","1","2","1","1","2","2","2","2","2","1","2","1","2","1","3"
"8","2","1","2","2","1","1","2","2","2","2","3","3","2","5","3"
"9","1","2","2","2","2","1","1","1","2","1","1","3","3","3","4"
"10","1","2","1","1","2","2","2","2","2","3","1","3","1","5","1"
"11","1","1","2","1","1","2","1","2","2","1","2","1","2","2","4"
"12","1","2","2","2","2","1","1","1","2","2","2","1","1","5","6"
"13","2","1","1","1","2","1","2","1","2","2","2","3","3","2","2"
"14","2","2","1","2","1","2","1","1","2","2","1","2","1","2","3"
"15","1","2","1","2","1","1","2","2","1","2","3","3","2","6","4"
"16","1","1","2","1","1","2","1","2","2","3","1","3","1","6","2"
"17","2","1","1","2","2","2","1","2","1","2","1","2","1","1","4"
"18","1","1","1","1","1","1","1","1","1","3","3","1","1","3","3"
"19","1","2","2","2","2","1","1","1","2","3","3","2","2","1","2"
"20","2","2","2","1","2","1","1","2","1","1","1","3","3","4","3"
"21","2","1","2","2","1","1","2","2","2","1","2","2","1","3","1"
"22","2","2","2","1","1","2","2","1","1","1","3","3","1","1","6"
"23","2","2","2","1","1","2","2","1","1","2","1","1","2","3","2"
"24","2","1","2","2","1","1","2","2","2","3","1","1","3","1","5"
"25","2","2","2","1","2","1","1","2","1","3","3","2","2","2","1"
"26","2","2","1","2","1","2","1","1","2","1","3","1","3","6","1"
"27","1","2","1","2","1","1","2","2","1","1","2","2","1","4","2"
"28","1","1","1","1","1","1","1","1","1","2","2","3","3","1","1"
"29","1","2","1","1","2","2","2","2","2","2","3","2","3","3","5"
"30","2","2","1","2","1","2","1","1","2","3","2","3","2","4","5"
"31","1","1","2","2","2","2","2","1","1","1","3","3","1","2","5"
"32","1","1","2","2","2","2","2","1","1","2","1","1","2","4","1"
"33","2","1","1","2","2","2","1","2","1","3","2","3","2","3","6"
"34","1","1","2","2","2","2","2","1","1","3","2","2","3","6","3"
"35","1","1","1","1","1","1","1","1","1","1","1","2","2","5","5"
"36","2","1","1","1","2","1","2","1","2","3","3","1","1","4","4"
