"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","1","2","2","2","2","1","1","2","2","1","1","1","2","1","2","1","4","1","1","4","3","1","2","2","1","4","3","3","4","4","3","3","4","6","7","5","6","9"
"2","1","1","2","2","1","1","2","2","1","2","2","1","2","2","1","1","1","1","2","1","2","2","1","2","1","1","1","1","2","2","3","3","4","1","2","1","2","4","4","3","2","2","4","3","1","3","4","1","7","4","5","6","3"
"3","1","2","2","2","1","2","1","1","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","4","4","2","4","4","2","2","1","3","1","1","2","2","1","2","2","4","4","6","4","2","1","6"
"4","2","2","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","4","2","2","3","2","4","2","3","2","1","2","3","3","4","2","4","2","3","1","2","8","7","3"
"5","2","2","2","1","2","1","1","1","1","2","2","1","2","2","1","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","1","1","4","4","3","1","2","1","2","4","1","3","3","1","3","2","1","1","5","5","1","5","4"
"6","2","2","2","2","1","1","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","1","2","2","1","2","1","2","2","1","1","4","3","1","3","2","2","1","4","1","1","3","1","5","3","4","16"
"7","1","2","1","2","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","2","1","2","2","3","1","2","4","1","2","2","3","2","4","1","1","1","3","4","4","3","8","1","1","7","13"
"8","1","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","1","2","2","2","1","2","1","4","4","4","2","1","3","4","3","2","4","3","4","2","1","2","2","2","6","8","6","7","8"
"9","1","2","2","2","1","2","2","2","1","1","2","2","2","2","1","1","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","2","2","3","3","1","3","4","4","2","4","3","3","1","2","3","2","2","5","7","3","1","14"
"10","1","1","2","2","1","1","2","1","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1","2","2","1","4","3","4","1","1","1","4","3","1","2","4","1","4","4","4","2","2","2","1","5","4","3","6"
"11","2","1","1","1","2","1","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","1","1","1","1","1","4","1","1","3","1","1","2","3","1","1","3","4","2","3","1","1","1","3","6","8","5","8","14"
"12","1","2","1","2","2","2","1","1","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","1","1","1","1","3","4","3","1","3","2","3","3","4","2","2","2","4","3","4","3","2","2","7","7","3","5"
"13","1","1","1","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","2","2","1","4","1","2","2","3","1","2","4","3","3","2","2","3","4","2","2","4","1","8","3","4","4","9"
"14","2","2","1","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","2","2","1","1","1","1","1","2","2","1","2","2","4","1","2","4","1","2","3","4","2","3","4","2","1","2","4","2","3","3","5","1","5","3","2"
"15","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","1","3","3","4","1","4","3","4","4","2","1","4","1","1","2","3","1","2","1","2","7","8","9"
"16","2","2","2","2","1","1","1","1","1","1","2","2","2","1","2","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","4","4","1","1","2","2","2","2","1","3","4","4","3","2","1","1","1","2","8","7","7","5","1"
"17","1","1","2","1","1","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","1","1","1","1","1","1","1","2","2","4","4","4","2","2","3","1","4","1","4","2","4","2","2","2","4","3","2","5","6","1","7","7"
"18","2","2","2","2","2","2","1","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","1","2","2","1","2","4","3","4","3","3","2","2","2","3","2","1","3","1","4","4","1","1","6","4","1","1"
"19","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","1","2","1","2","2","1","2","1","2","3","2","2","3","3","1","4","4","2","4","4","4","2","3","1","3","3","1","5","5","6"
"20","2","1","1","2","1","1","2","1","2","2","1","2","2","1","2","2","2","1","2","2","1","2","1","2","1","2","2","1","1","1","3","2","4","1","3","1","3","1","1","1","3","2","3","4","3","3","3","2","8","1","2","8","7"
"21","1","2","2","1","2","2","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","1","2","1","2","2","2","1","2","4","3","3","2","1","2","1","4","2","4","3","3","3","1","1","1","4","2","2","4","4","8","10"
"22","2","2","1","2","2","1","2","1","2","1","2","2","1","1","1","2","2","1","2","1","2","2","2","1","1","1","1","1","2","2","4","1","3","1","3","4","1","2","3","4","4","2","2","4","1","3","2","1","5","2","6","2","15"
"23","1","1","2","1","2","1","1","2","2","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","2","2","2","2","1","3","4","1","3","3","1","1","1","1","2","4","3","1","3","2","4","4","3","3","4","7","3","15"
"24","2","1","2","2","1","2","2","1","2","2","1","2","2","2","1","2","1","2","1","2","2","1","2","2","2","1","2","1","1","1","4","3","3","4","3","1","4","4","3","4","1","3","1","3","3","1","3","4","3","2","5","7","1"
"25","2","2","1","1","1","1","2","1","2","2","2","1","1","2","2","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","1","4","2","4","2","3","1","1","4","3","1","1","2","3","3","4","2","2","8","4","4","2","14"
"26","1","1","1","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","2","2","1","3","2","3","4","1","1","3","2","3","3","2","4","2","3","4","4","2","4","6","6","7","4","4"
