"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","2","1","1","1","2","1","1","1","2","2","1","2","1","2","2","5"
"2","1","1","2","2","2","1","1","2","2","2","1","1","2","1","1","8"
"3","1","2","2","2","1","2","1","2","1","2","2","2","2","1","2","5"
"4","2","1","2","1","1","1","1","2","1","2","2","2","1","1","1","1"
"5","2","2","1","2","2","1","2","2","2","2","2","1","1","2","2","6"
"6","2","2","2","2","1","1","2","1","2","1","1","2","2","1","2","1"
"7","2","1","1","1","2","2","2","1","2","2","1","2","2","2","2","9"
"8","1","1","1","2","2","1","2","2","1","1","1","2","1","2","1","7"
"9","2","1","2","2","2","2","1","1","1","2","2","1","2","2","1","11"
"10","1","2","2","2","2","2","2","1","1","2","2","2","2","2","1","10"
"11","2","1","2","1","2","1","1","1","1","1","2","1","2","2","2","2"
"12","1","1","2","2","2","1","2","1","1","2","1","1","2","1","2","4"
"13","1","2","2","1","1","2","1","1","1","2","2","2","1","2","2","7"
"14","1","1","2","1","1","1","2","2","2","2","1","2","1","2","1","11"
"15","2","2","1","1","2","1","1","1","1","2","2","2","1","1","1","3"
"16","1","2","2","1","1","2","2","1","1","1","1","1","1","1","1","9"
"17","2","1","2","2","1","2","1","2","1","1","1","2","2","2","1","6"
"18","1","2","2","1","1","1","2","1","2","2","1","1","2","2","1","3"
"19","1","1","1","1","1","2","2","2","2","1","2","1","2","1","1","5"
"20","2","2","1","1","1","2","1","2","2","2","1","2","2","2","1","4"
"21","1","1","2","2","2","1","1","2","2","2","2","2","1","1","2","9"
"22","1","1","1","1","1","1","1","2","1","1","1","1","1","2","2","10"
"23","2","1","2","2","1","2","2","2","2","1","2","1","1","2","2","3"
"24","1","2","1","2","1","1","2","2","2","2","2","2","2","2","1","2"
"25","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","3"
"26","2","2","2","2","2","1","2","1","1","1","1","1","1","2","1","5"
"27","1","2","1","2","1","1","1","1","2","1","2","1","1","1","2","11"
"28","1","2","1","2","2","2","2","2","1","2","1","1","1","2","2","1"
"29","1","2","1","1","1","1","1","1","1","2","1","1","2","1","2","6"
"30","2","2","2","1","2","1","1","2","2","1","1","1","2","1","1","7"
"31","2","2","2","1","2","1","2","2","2","1","2","2","2","1","2","10"
"32","2","1","1","2","1","2","1","1","2","2","1","1","1","1","1","10"
"33","1","2","2","1","2","2","1","2","2","1","2","1","1","2","2","4"
"34","2","2","1","1","2","2","2","2","1","1","1","2","2","1","2","11"
"35","2","2","1","1","2","2","2","2","1","2","2","1","1","1","1","8"
"36","1","2","1","2","2","2","1","1","2","1","1","2","1","1","1","2"
"37","1","1","2","1","2","2","2","1","2","1","2","2","1","1","1","6"
"38","2","1","1","2","1","2","2","1","2","2","2","1","2","1","2","7"
"39","2","2","2","2","1","2","1","1","2","1","1","2","1","2","2","8"
"40","2","1","1","2","1","1","2","1","1","1","2","2","1","1","1","4"
"41","2","2","1","2","1","1","1","2","1","1","2","1","2","2","1","9"
"42","2","1","2","1","1","2","2","2","1","2","1","1","1","1","2","2"
"43","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","8"
"44","1","1","1","1","2","2","1","1","2","1","2","1","2","2","1","1"
