"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","2","1","2","2","2","1","1","2","2","2","1","2","1"
"2","2","2","1","2","1","2","1","1","1","2","1","2","2"
"3","2","1","2","2","1","2","2","1","2","1","1","1","3"
"4","1","1","1","2","1","2","1","2","2","2","2","1","4"
"5","2","1","2","1","1","1","2","2","1","2","2","1","2"
"6","1","2","2","2","2","1","1","1","1","2","2","1","3"
"7","2","2","1","1","2","2","2","1","2","2","2","1","1"
"8","2","2","1","1","1","1","1","2","2","1","2","2","3"
"9","1","2","2","1","2","2","1","2","2","1","1","1","2"
"10","1","2","2","1","1","1","2","1","2","2","1","2","4"
"11","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12","2","1","2","1","2","2","1","1","1","1","2","2","4"
"13","1","1","1","1","2","2","2","2","1","2","1","2","3"
"14","1","2","2","2","1","2","2","2","1","1","2","2","1"
"15","1","1","1","2","2","1","2","1","2","1","2","2","2"
"16","2","2","1","2","2","1","2","2","1","1","1","1","4"
