"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","1","1","1","2","1","2","2","2","1","2","3","4","1","3","2","2","4","1","6"
"2","2","2","2","1","2","2","2","1","1","1","1","3","4","2","1","3","2","1","2","4","3"
"3","1","2","2","1","2","1","1","1","1","2","2","2","4","1","1","4","3","3","4","2","2"
"4","1","2","1","2","2","2","2","1","2","1","2","1","4","3","2","4","1","1","3","2","6"
"5","2","2","2","2","1","2","1","2","1","2","2","4","3","1","2","4","1","2","1","3","3"
"6","2","1","1","2","2","2","1","2","1","1","1","1","2","4","1","4","3","4","2","3","2"
"7","1","2","1","1","1","2","1","2","2","2","1","3","4","2","2","1","3","4","1","2","4"
"8","1","1","1","2","2","1","2","2","1","2","2","3","3","3","1","1","1","4","4","4","5"
"9","1","2","1","2","2","2","2","1","2","1","2","3","1","4","4","1","2","2","1","3","2"
"10","1","1","2","1","2","2","1","2","2","1","2","2","2","2","4","4","4","1","1","1","5"
"11","2","1","2","2","1","1","1","1","2","1","2","3","4","2","3","2","1","2","4","1","2"
"12","1","2","2","2","1","1","2","2","1","1","1","1","3","2","2","3","4","4","3","1","2"
"13","1","1","2","2","1","2","2","1","2","2","1","1","1","1","3","3","3","2","2","2","5"
"14","2","2","2","1","2","2","2","1","1","1","1","2","3","4","3","2","1","4","1","2","1"
"15","2","2","1","2","2","1","1","1","2","2","1","3","2","1","2","3","4","1","4","3","1"
"16","1","1","1","2","2","1","2","2","1","2","2","4","4","4","3","3","3","1","1","1","3"
"17","1","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","1"
"18","1","1","2","1","2","2","1","2","2","1","2","1","1","1","2","2","2","4","4","4","3"
"19","1","1","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1"
"20","1","2","2","2","1","1","2","2","1","1","1","2","1","3","3","4","2","1","4","3","4"
"21","1","2","1","1","1","2","1","2","2","2","1","4","2","3","3","2","1","1","2","4","2"
"22","2","2","1","1","1","1","2","2","2","1","2","1","2","4","3","1","4","3","4","2","3"
"23","2","1","1","2","2","2","1","2","1","1","1","4","1","2","4","3","1","3","4","2","6"
"24","2","2","1","1","1","1","2","2","2","1","2","2","4","1","4","3","1","4","2","3","5"
"25","2","1","2","1","2","1","2","2","2","2","1","3","1","4","2","4","1","3","2","1","4"
"26","1","2","2","1","2","1","1","1","1","2","2","1","2","4","4","3","1","2","3","4","4"
"27","2","2","1","2","2","1","1","1","2","2","1","1","3","2","3","4","2","3","1","4","5"
"28","2","1","1","1","1","2","2","1","1","2","2","2","1","3","2","3","4","3","1","4","2"
"29","2","2","1","1","1","1","2","2","2","1","2","4","1","2","1","4","3","2","3","4","1"
"30","2","2","2","2","1","2","1","2","1","2","2","3","1","4","1","2","4","1","3","2","5"
"31","1","1","1","1","1","1","1","1","1","1","1","4","4","4","2","2","2","3","3","3","5"
"32","1","1","1","1","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","3"
"33","2","2","2","2","1","2","1","2","1","2","2","1","4","3","4","1","2","3","2","1","1"
"34","2","1","1","1","1","2","2","1","1","2","2","1","3","2","4","2","3","1","4","3","4"
"35","1","1","2","2","1","2","2","1","2","2","1","2","2","2","1","1","1","3","3","3","3"
"36","2","1","2","2","1","1","1","1","2","1","2","4","2","3","1","3","2","4","1","2","4"
"37","1","2","1","2","2","2","2","1","2","1","2","4","3","1","1","2","4","3","2","1","4"
"38","2","1","2","1","2","1","2","2","2","2","1","4","3","1","4","1","2","1","3","2","2"
"39","2","2","2","1","2","2","2","1","1","1","1","4","2","3","2","1","3","2","4","1","5"
"40","2","1","2","2","1","1","1","1","2","1","2","2","3","4","2","1","3","1","2","4","6"
"41","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","2","2","1","2","2","1","1","1","2","2","1","2","1","3","4","2","3","4","3","1","3"
"43","2","1","2","1","2","1","2","2","2","2","1","1","4","3","1","2","4","2","1","3","6"
"44","1","2","2","2","1","1","2","2","1","1","1","3","2","1","4","2","3","3","1","4","6"
"45","1","2","2","1","2","1","1","1","1","2","2","4","1","2","3","1","4","4","2","3","6"
"46","1","1","2","1","2","2","1","2","2","1","2","3","3","3","3","3","3","3","3","3","1"
"47","2","1","1","2","2","2","1","2","1","1","1","2","4","1","3","1","4","2","3","4","4"
"48","2","1","1","1","1","2","2","1","1","2","2","3","2","1","3","4","2","4","3","1","6"
