"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","1","1","3","2","3","2","3","2","1","2","1","3","1","6"
"2","1","1","1","1","2","2","1","1","2","2","3","3","3","3","5"
"3","2","2","1","3","3","2","2","1","1","3","2","3","1","2","5"
"4","2","1","2","3","1","2","1","3","3","2","2","1","1","3","4"
"5","1","2","1","2","1","3","1","3","2","3","3","2","1","2","4"
"6","1","2","2","2","3","3","1","1","1","1","2","2","3","3","2"
"7","2","2","2","1","1","3","3","2","2","1","3","1","2","3","5"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","1","1","2","2","2","2","3","3","1","1","3","3","1","1","3"
"10","2","1","1","2","3","1","3","2","2","1","1","3","3","2","4"
"11","2","2","3","2","2","1","1","3","3","2","1","2","3","1","5"
"12","1","2","1","1","2","2","3","3","3","3","1","1","2","2","2"
"13","1","2","3","1","3","2","3","2","1","2","2","1","3","1","4"
"14","1","1","3","3","1","1","3","3","1","1","2","2","2","2","5"
"15","2","2","3","2","1","2","2","1","3","1","3","1","3","2","1"
"16","1","1","1","1","1","1","2","2","3","3","2","2","3","3","3"
"17","2","1","3","1","2","3","2","1","1","3","3","2","2","1","4"
"18","2","2","1","3","2","3","3","2","1","2","1","2","1","3","1"
"19","1","2","1","2","1","3","3","1","3","2","2","3","2","1","6"
"20","1","2","3","3","1","1","2","2","2","2","3","3","1","1","2"
"21","2","2","2","1","3","1","1","3","2","3","2","3","2","1","1"
"22","2","1","2","3","1","2","3","1","2","3","1","2","3","1","2"
"23","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"24","1","1","2","2","3","3","2","2","3","3","1","1","1","1","5"
"25","2","1","1","2","3","1","2","3","1","2","3","1","2","3","2"
"26","2","1","3","1","2","3","1","2","3","1","2","3","1","2","2"
"27","1","2","2","3","2","1","1","2","1","3","3","1","3","2","6"
"28","2","2","1","3","3","2","1","2","3","1","3","2","2","1","3"
"29","1","2","2","3","2","1","2","1","3","1","1","3","2","3","4"
"30","2","1","2","1","3","1","3","1","3","2","3","2","1","2","6"
"31","1","2","3","1","3","2","2","3","2","1","1","2","1","3","6"
"32","1","1","3","3","3","3","3","3","3","3","3","3","3","3","1"
"33","2","1","3","2","1","2","1","2","1","3","1","3","2","3","6"
"34","2","2","3","2","2","1","3","1","2","3","2","1","1","3","3"
"35","1","1","3","3","3","3","1","1","2","2","1","1","2","2","3"
"36","2","2","2","1","1","3","2","3","1","2","1","3","3","2","3"
