"","A","B","C"
"1","1","1","41"
"2","2","2","57"
"3","1","2","38"
"4","1","2","58"
"5","2","2","41"
"6","1","1","1"
"7","1","1","9"
"8","2","1","12"
"9","2","2","43"
"10","2","2","27"
"11","1","1","11"
"12","1","1","13"
"13","1","2","44"
"14","2","1","34"
"15","1","1","17"
"16","2","2","1"
"17","2","2","55"
"18","1","1","33"
"19","1","2","2"
"20","1","1","3"
"21","1","2","30"
"22","2","1","2"
"23","1","1","45"
"24","2","2","35"
"25","2","1","40"
"26","1","2","42"
"27","1","2","10"
"28","2","2","25"
"29","1","2","54"
"30","2","2","5"
"31","1","2","52"
"32","2","1","54"
"33","2","2","17"
"34","2","1","22"
"35","1","2","50"
"36","2","2","21"
"37","1","1","19"
"38","1","1","47"
"39","1","1","35"
"40","2","1","18"
"41","2","1","26"
"42","2","2","45"
"43","2","2","29"
"44","2","2","37"
"45","2","2","15"
"46","1","2","16"
"47","2","2","39"
"48","2","2","33"
"49","1","2","36"
"50","2","1","48"
"51","1","1","57"
"52","1","1","15"
"53","1","1","7"
"54","2","1","56"
"55","2","1","8"
"56","1","2","22"
"57","1","2","20"
"58","1","2","12"
"59","1","2","46"
"60","2","2","31"
"61","2","2","9"
"62","1","2","28"
"63","2","1","44"
"64","1","1","31"
"65","2","1","10"
"66","1","1","23"
"67","2","2","13"
"68","2","1","14"
"69","2","2","23"
"70","2","2","49"
"71","1","1","43"
"72","1","2","18"
"73","1","2","48"
"74","2","2","7"
"75","2","1","30"
"76","1","2","4"
"77","1","1","21"
"78","2","2","53"
"79","1","2","34"
"80","1","1","29"
"81","2","1","46"
"82","2","1","24"
"83","1","1","51"
"84","2","2","19"
"85","2","1","4"
"86","2","1","20"
"87","2","2","51"
"88","2","1","52"
"89","2","1","32"
"90","2","1","38"
"91","2","1","42"
"92","1","2","24"
"93","1","1","49"
"94","2","1","28"
"95","1","2","26"
"96","1","1","53"
"97","1","1","25"
"98","1","1","37"
"99","1","1","5"
"100","1","1","39"
"101","2","1","6"
"102","1","2","6"
"103","1","2","32"
"104","1","2","56"
"105","1","2","14"
"106","2","1","58"
"107","1","2","40"
"108","2","2","3"
"109","2","1","36"
"110","2","2","11"
"111","2","1","16"
"112","2","2","47"
"113","1","1","27"
"114","2","1","50"
"115","1","2","8"
"116","1","1","55"
