"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"66","1","2","1","1","2","1","2","2","1","2","1","1","2","1","2","2","5","1","5","8","6","3"
"67","2","1","1","2","2","1","1","2","2","1","2","1","2","1","1","2","2","3","3","8","7","4"
"68","2","1","2","2","2","1","2","1","1","1","1","2","2","2","1","1","2","3","4","4","6","5"
"69","2","2","2","1","2","2","2","1","1","2","2","1","1","1","1","1","4","3","5","10","3","2"
"70","2","2","1","2","2","2","1","1","1","1","1","2","1","1","2","2","3","5","3","9","6","2"
"71","2","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","1","3","4","3","6","10"
"72","1","1","2","1","2","2","1","1","2","2","1","1","2","2","1","2","2","5","4","5","4","6"
"73","1","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","1","4","2","8","4","5"
"74","2","1","1","1","1","2","1","2","1","2","2","2","1","2","1","2","2","5","2","4","8","3"
"75","2","2","2","1","2","2","2","1","1","2","2","1","1","1","1","1","2","1","3","6","9","8"
"76","2","1","1","2","2","1","1","2","2","1","2","1","2","1","1","2","5","1","1","4","3","10"
"77","2","2","1","2","2","2","1","1","1","1","1","2","1","1","2","2","2","4","2","7","4","10"
"78","2","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","4","1","2","9","2","6"
"79","2","1","2","2","1","1","2","2","1","2","1","1","1","2","2","2","3","3","2","1","9","10"
"80","2","2","1","2","1","2","1","1","2","2","1","1","2","2","2","1","4","3","2","2","9","5"
"81","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","2","2","3","1","3","1"
"82","1","1","1","1","2","2","2","2","2","1","1","2","1","2","2","1","2","3","1","6","1","6"
"83","1","1","2","1","2","2","1","1","2","2","1","1","2","2","1","2","1","4","3","3","2","4"
"84","2","1","2","2","1","1","2","2","1","2","1","1","1","2","2","2","2","2","1","9","7","8"
"85","1","1","2","2","2","2","1","2","1","2","2","2","2","1","2","1","5","2","4","7","1","5"
"86","1","2","2","2","1","1","1","2","2","2","1","2","1","1","1","1","3","1","1","4","4","2"
"87","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","3","3","7","7","9"
"88","2","2","1","2","1","2","1","1","2","2","1","1","2","2","2","1","5","4","3","4","1","7"
"89","2","1","1","2","2","1","1","2","2","1","2","1","2","1","1","2","4","5","5","2","1","8"
"90","2","2","2","1","2","1","1","2","2","1","2","1","1","2","2","1","2","4","4","9","10","3"
"91","2","1","1","2","2","1","1","2","2","1","2","1","2","1","1","2","3","4","4","10","9","6"
"92","2","2","2","1","2","1","1","2","2","1","2","1","1","2","2","1","4","1","1","3","4","7"
"93","2","1","1","1","1","2","1","2","1","2","2","2","1","2","1","2","4","2","4","8","2","7"
"94","1","1","2","2","2","2","1","2","1","2","2","2","2","1","2","1","1","3","5","9","3","7"
"95","2","1","2","2","1","1","2","2","1","2","1","1","1","2","2","2","4","4","3","3","1","2"
"96","1","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","5","3","1","6","2","3"
"97","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","3","3","5"
"98","2","2","2","1","2","2","2","1","1","2","2","1","1","1","1","1","1","5","2","4","7","6"
"99","2","2","2","1","2","2","2","1","1","2","2","1","1","1","1","1","3","2","4","8","1","10"
"100","2","2","1","2","2","2","1","1","1","1","1","2","1","1","2","2","4","1","4","1","8","4"
