"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","3","2","3","2","1","2","3","2","4","3","1","6","6","3","6"
"2","2","2","2","3","2","3","3","3","2","1","3","1","3","3","5","3","5"
"3","1","2","2","1","1","2","2","1","3","3","6","4","2","3","6","4","1"
"4","1","2","1","1","3","3","2","2","6","4","5","2","5","2","6","4","3"
"5","1","1","2","1","1","2","2","3","2","5","4","4","2","4","3","3","2"
"6","2","1","1","3","3","1","3","2","1","3","6","4","6","1","4","2","5"
"7","1","2","1","2","2","1","1","1","1","5","3","2","5","6","3","4","2"
"8","2","1","2","3","2","3","2","1","4","3","4","1","3","1","6","4","6"
"9","1","1","2","2","3","3","3","3","5","3","3","5","6","6","2","1","1"
"10","1","1","1","1","2","2","1","1","3","3","3","5","4","4","6","5","5"
"11","1","1","2","3","2","3","2","2","4","3","5","3","1","1","3","3","5"
"12","1","2","1","2","2","1","3","3","3","1","5","4","3","4","1","4","2"
"13","2","2","3","1","3","1","1","1","6","3","5","3","3","3","5","5","1"
"14","2","1","1","2","2","1","2","3","3","4","4","6","5","1","5","3","1"
"15","1","2","1","1","3","3","3","1","4","2","1","2","4","3","4","3","4"
"16","2","2","3","3","1","1","2","2","1","3","3","5","2","2","4","3","3"
"17","1","2","3","2","2","3","2","1","3","1","4","2","6","1","4","6","3"
"18","2","2","2","1","2","1","3","1","5","6","2","1","1","6","6","1","4"
"19","2","2","3","3","2","2","2","3","6","6","5","6","4","3","4","1","2"
"20","2","2","3","3","1","1","3","2","3","2","5","5","6","3","3","4","4"
"21","1","2","2","2","1","1","3","1","4","6","5","6","2","1","2","5","6"
"22","2","1","3","1","3","1","2","1","4","1","2","5","1","5","4","6","2"
"23","2","2","1","1","2","2","2","2","1","1","1","3","6","6","2","5","5"
"24","2","2","2","2","1","1","2","3","6","2","1","2","6","5","6","5","6"
"25","1","2","1","2","2","1","1","2","5","6","6","2","3","5","3","3","1"
"26","1","2","3","1","1","3","1","2","5","2","2","4","5","1","5","1","5"
