"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","1","2","2","2","1","1","1","2","1","1","2","2","1","2"
"2","1","2","1","1","2","1","2","2","2","1","2","2","2","1","5"
"3","1","2","1","2","2","2","1","1","1","2","2","2","2","1","1"
"4","2","2","2","1","1","1","2","1","1","2","1","2","2","1","6"
"5","2","2","1","2","2","1","2","1","1","1","2","1","2","2","3"
"6","2","1","1","2","1","2","2","2","1","1","1","2","2","1","4"
"7","1","1","2","1","1","2","1","2","2","2","2","2","2","1","3"
"8","2","1","1","1","2","1","1","2","1","2","2","2","1","2","4"
"9","1","2","2","1","2","1","1","1","2","2","1","1","2","2","4"
"10","1","1","2","1","2","2","2","1","1","1","1","2","1","2","3"
"11","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2"
"12","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"13","2","1","1","1","2","2","2","1","2","2","2","1","1","1","6"
"14","1","2","2","2","1","1","1","2","1","1","2","2","1","2","6"
"15","2","1","2","2","1","2","1","1","1","2","2","1","2","2","5"
"16","2","1","2","1","1","1","2","2","2","1","2","1","2","2","1"
"17","2","2","2","2","2","2","2","2","2","2","1","2","1","2","1"
"18","1","1","1","2","2","2","1","2","2","1","1","1","2","2","6"
"19","1","2","2","2","1","2","2","1","2","1","2","1","1","1","4"
"20","1","2","1","1","1","2","2","2","1","2","1","1","2","2","2"
"21","2","2","1","1","1","2","1","1","2","1","2","2","1","2","2"
"22","1","1","1","2","1","1","2","1","2","2","1","2","1","2","5"
"23","2","2","2","1","2","2","1","2","1","1","1","1","1","1","5"
"24","2","2","1","2","1","1","1","2","2","2","1","1","1","1","3"
