"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","1","1","1","3","4","1","2","4","2","4","3","2","1","3","10"
"2","1","1","2","2","1","4","4","1","1","1","3","3","3","2","2","2","13"
"3","1","2","1","1","1","2","3","3","1","2","2","1","1","1","4","3","2"
"4","1","2","2","1","2","4","1","1","3","4","4","3","3","3","2","1","2"
"5","2","1","2","1","2","1","2","3","1","3","1","3","2","3","4","2","12"
"6","2","1","2","2","1","2","1","4","3","1","3","1","2","3","4","2","10"
"7","2","1","1","1","1","3","2","4","1","2","4","3","1","3","4","2","6"
"8","1","1","2","1","2","3","3","4","4","4","1","1","1","2","2","2","5"
"9","1","1","1","1","1","1","1","2","3","3","2","2","4","3","3","3","7"
"10","1","1","1","1","1","1","1","2","4","4","1","1","2","1","1","1","9"
"11","2","2","2","1","2","2","4","2","2","3","4","1","4","2","4","1","7"
"12","2","2","2","2","1","1","3","1","4","1","2","3","4","2","4","1","1"
"13","2","1","1","2","2","4","3","2","3","1","3","1","1","4","3","1","14"
"14","2","1","1","1","1","3","2","2","4","1","3","1","4","2","3","4","4"
"15","2","2","2","2","1","1","2","3","2","1","2","3","4","1","4","3","9"
"16","2","1","2","2","1","2","1","4","2","4","2","4","1","4","3","1","12"
"17","2","1","1","2","2","4","3","2","1","3","1","3","4","1","2","4","10"
"18","1","1","1","2","2","2","2","1","1","1","4","4","4","3","3","3","5"
"19","1","2","1","2","2","1","4","4","4","3","3","4","3","3","2","1","6"
"20","1","1","2","2","1","4","4","3","4","4","1","1","4","3","3","3","3"
"21","1","1","1","2","2","2","2","1","2","2","3","3","2","1","1","1","3"
"22","2","1","2","2","1","2","1","4","4","2","4","2","4","1","2","4","8"
"23","1","1","1","2","2","2","2","1","4","4","1","1","3","4","4","4","7"
"24","1","2","2","2","1","3","2","2","2","1","1","2","1","1","4","3","6"
"25","2","1","2","2","1","2","3","4","3","1","4","1","2","1","3","2","2"
"26","1","2","2","2","1","3","2","2","1","2","2","1","3","3","2","1","8"
"27","1","1","2","2","1","4","4","3","3","3","2","2","2","1","1","1","5"
"28","2","2","1","1","1","4","3","3","4","2","1","3","2","1","2","4","11"
"29","1","2","1","2","2","1","4","4","1","2","2","1","4","4","1","2","4"
"30","2","2","2","1","2","2","4","2","1","4","3","2","2","4","2","3","5"
"31","2","2","1","1","1","4","2","4","3","2","1","4","4","2","4","1","5"
"32","1","2","1","1","1","2","4","3","2","1","4","2","3","3","1","4","14"
"33","1","1","2","2","1","4","4","3","1","1","4","4","3","4","4","4","9"
"34","2","1","1","1","1","3","4","1","4","2","4","2","2","3","4","2","14"
"35","2","2","2","2","1","1","2","1","3","2","3","4","2","3","1","4","13"
"36","1","2","2","1","2","4","1","1","2","1","1","2","4","4","1","2","8"
"37","2","1","2","1","2","1","2","3","4","2","4","2","1","4","3","1","10"
"38","1","1","2","1","2","3","3","2","2","2","4","4","4","1","1","1","13"
"39","1","1","1","2","2","2","2","4","4","4","3","3","3","1","1","1","11"
"40","2","1","1","2","2","4","1","1","3","2","4","2","3","1","4","3","4"
"41","2","2","2","1","2","2","1","1","2","4","3","1","4","3","4","2","11"
"42","1","2","1","2","2","1","3","1","2","4","4","3","1","2","3","4","12"
"43","1","1","1","1","1","1","1","2","2","2","3","3","3","4","4","4","5"
"44","1","2","2","1","2","4","2","1","4","3","2","4","1","1","3","2","14"
"45","1","2","1","1","1","2","4","1","3","2","2","3","4","4","3","1","10"
"46","2","2","2","1","2","2","1","4","1","2","1","4","3","2","3","4","9"
"47","2","2","2","1","2","2","4","2","4","1","2","3","1","3","1","4","3"
"48","1","1","2","1","2","3","3","4","1","1","4","4","2","1","1","1","7"
"49","2","1","2","2","1","2","1","4","1","3","1","3","3","2","1","3","14"
"50","1","2","1","1","1","2","3","3","3","4","4","3","4","4","1","2","6"
"51","2","2","1","1","1","4","2","4","4","1","2","3","2","4","2","3","7"
"52","1","1","1","1","1","1","1","2","1","1","4","4","1","2","2","2","3"
"53","2","1","2","1","2","1","4","4","2","3","1","3","2","4","1","2","4"
"54","1","2","2","2","1","3","1","3","4","2","2","1","3","4","1","2","12"
"55","1","2","1","2","2","1","4","4","3","4","4","3","1","1","4","3","8"
"56","1","2","2","2","1","3","2","2","4","3","3","4","4","4","1","2","2"
"57","2","2","1","2","2","3","1","3","1","4","3","2","4","2","4","1","3"
"58","2","2","1","2","2","3","1","3","4","1","2","3","3","1","3","2","5"
"59","1","2","1","2","2","1","3","2","4","1","1","4","3","3","4","2","10"
"60","2","1","1","1","1","3","4","1","3","1","3","1","4","1","2","4","12"
"61","1","1","2","2","1","4","4","3","2","2","3","3","1","2","2","2","7"
"62","1","2","2","2","1","3","2","2","3","4","4","3","2","2","3","4","4"
"63","2","1","2","1","2","1","4","2","3","4","2","1","3","1","2","4","6"
"64","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"65","1","2","2","1","2","4","2","4","3","1","1","2","4","3","2","1","12"
"66","2","1","2","1","2","1","2","3","2","4","2","4","4","1","2","4","14"
"67","1","1","2","2","1","4","4","4","4","4","4","4","4","4","4","4","1"
"68","1","2","1","1","1","2","4","2","1","3","3","4","2","1","4","3","12"
"69","2","2","1","1","1","4","3","2","3","4","3","2","1","4","1","2","9"
"70","2","1","1","1","1","3","2","1","2","4","1","4","3","4","2","3","2"
"71","2","1","2","2","1","2","3","3","1","4","2","4","1","3","2","1","4"
"72","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"73","1","1","1","1","1","1","1","4","4","4","2","2","2","3","3","3","13"
"74","1","2","2","1","2","4","1","1","4","3","3","4","1","1","4","3","4"
"75","2","2","2","2","1","1","3","1","3","2","1","4","2","4","2","3","3"
"76","2","1","1","2","2","4","3","2","4","2","4","2","3","2","1","3","12"
"77","2","2","1","1","1","4","2","4","2","3","4","1","3","1","3","2","3"
"78","1","2","2","2","1","3","1","2","3","4","1","3","2","2","4","1","14"
"79","2","2","2","1","2","2","4","2","3","2","1","4","3","1","3","2","1"
"80","1","2","1","2","2","1","4","4","2","1","1","2","2","2","3","4","2"
"81","2","2","2","2","1","1","3","1","1","4","3","2","3","1","3","2","7"
"82","2","2","1","2","2","3","4","1","4","3","4","1","2","3","2","1","9"
"83","2","2","2","2","1","1","2","2","1","3","4","2","3","4","3","1","11"
"84","2","1","1","2","2","4","1","2","1","3","2","3","4","3","1","4","2"
"85","1","2","2","2","1","3","1","4","2","3","3","2","1","1","2","4","10"
"86","1","1","1","2","2","2","2","1","3","3","2","2","1","2","2","2","9"
"87","2","1","1","2","2","4","3","2","2","4","2","4","2","3","4","2","8"
"88","2","2","1","1","1","4","3","4","2","3","2","1","3","2","4","1","13"
"89","2","2","2","1","2","2","1","2","4","1","4","3","1","4","2","3","13"
"90","2","1","2","2","1","2","3","1","4","3","1","2","4","2","1","3","6"
"91","1","2","2","1","2","4","2","3","1","4","4","1","2","2","1","3","10"
"92","2","1","2","1","2","1","2","3","3","1","3","1","3","2","1","3","8"
"93","2","2","1","1","1","4","2","4","1","4","3","2","1","3","1","4","1"
"94","2","1","2","1","2","1","4","3","4","2","3","2","1","2","4","1","2"
"95","1","2","2","1","2","4","1","1","1","2","2","1","2","2","3","4","6"
"96","1","1","2","1","2","3","3","4","2","2","3","3","4","3","3","3","9"
"97","2","2","1","2","2","3","1","3","3","2","1","4","1","3","1","4","7"
"98","1","2","1","1","1","2","3","3","4","3","3","4","2","2","3","4","8"
"99","1","2","1","2","2","1","3","4","1","2","3","1","4","4","2","3","14"
"100","1","1","1","2","2","2","2","3","3","3","1","1","1","4","4","4","13"
"101","2","2","1","2","2","3","4","4","3","1","2","4","1","2","1","3","11"
"102","2","2","1","2","2","3","1","3","2","3","4","1","2","4","2","3","1"
"103","1","1","2","2","1","4","4","2","2","2","1","1","1","3","3","3","11"
"104","2","1","1","1","1","3","4","1","1","3","1","3","1","4","3","1","8"
"105","2","2","2","2","1","1","3","1","2","3","4","1","1","3","1","4","5"
"106","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","11"
"107","1","1","2","1","2","3","3","1","1","1","2","2","2","4","4","4","11"
"108","2","2","1","2","2","3","4","3","1","4","1","2","4","1","3","2","13"
"109","1","2","1","1","1","2","3","3","2","1","1","2","3","3","2","1","4"
"110","1","1","2","1","2","3","3","3","3","3","3","3","3","3","3","3","1"
"111","1","1","2","1","2","3","3","4","3","3","2","2","3","4","4","4","3"
"112","2","1","1","2","2","4","1","3","2","1","3","4","2","4","3","1","6"
