"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","1","1","2","2","1","2","2","2","1","3","6","5"
"2","2","2","1","2","1","2","2","1","1","1","2","4","5"
"3","1","1","2","1","2","2","1","1","1","1","1","1","5"
"4","1","2","2","1","2","1","2","1","1","1","3","4","6"
"5","1","1","2","2","2","1","1","1","1","1","2","3","4"
"6","2","2","2","1","1","2","1","2","1","1","1","6","4"
"7","1","2","1","2","1","1","1","1","2","2","3","1","3"
"8","2","1","1","1","2","2","1","1","2","2","2","6","6"
"9","1","1","1","1","1","2","2","2","1","2","3","3","3"
"10","2","1","1","1","1","1","2","2","2","1","1","5","1"
"11","2","2","2","1","2","1","1","2","2","1","2","2","3"
"12","2","1","1","1","2","2","1","2","2","2","3","4","4"
"13","2","1","2","2","1","1","2","2","1","2","2","3","6"
"14","2","2","1","1","2","1","2","1","2","2","1","3","5"
"15","2","1","1","2","2","2","1","1","1","2","3","2","2"
"16","1","2","1","1","1","1","1","1","1","2","2","6","1"
"17","1","1","1","2","1","2","2","2","2","1","2","1","4"
"18","1","2","1","2","2","2","2","2","2","1","1","2","6"
"19","2","1","2","2","1","1","1","1","2","1","1","4","3"
"20","1","2","1","1","1","2","1","1","2","1","1","3","2"
"21","2","2","1","2","1","1","2","1","1","2","1","2","4"
"22","1","1","2","1","1","2","2","1","1","1","3","2","1"
"23","2","2","2","2","2","2","1","2","2","1","3","3","1"
"24","2","1","1","1","2","2","2","1","1","1","2","5","3"
"25","2","2","1","1","1","1","1","2","1","1","3","1","6"
"26","2","1","2","1","2","1","2","2","1","2","1","1","2"
"27","1","2","2","2","2","2","2","2","1","2","1","6","3"
"28","2","2","2","2","2","2","2","1","2","2","2","1","1"
"29","2","2","2","2","1","2","1","2","1","2","3","5","5"
"30","1","2","1","2","2","1","1","2","1","1","2","5","2"
"31","1","1","1","2","2","1","1","2","1","2","1","4","1"
"32","1","2","2","1","2","1","2","1","2","2","3","5","4"
"33","2","1","2","2","1","1","2","1","2","1","3","6","2"
"34","1","1","2","1","1","1","1","2","2","2","2","2","5"
"35","1","1","2","2","1","2","1","1","2","2","1","5","6"
"36","1","2","2","1","1","2","2","2","2","2","2","4","2"
