"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","1","2","2","1","2","2","2","1","2","2","2","1","1","1","3","1","1","3","8"
"2","1","1","2","2","1","2","1","2","1","2","2","1","2","2","2","1","3","2","1","4","9"
"3","2","1","1","1","1","1","1","1","1","2","2","2","2","1","3","2","3","4","4","1","10"
"4","1","2","1","2","2","1","1","1","1","2","2","1","1","1","3","1","4","3","2","1","4"
"5","2","2","1","1","1","2","1","2","2","1","2","1","2","2","4","1","3","3","2","3","7"
"6","2","1","2","2","1","2","1","2","1","2","2","2","2","1","2","4","4","3","1","1","4"
"7","2","1","1","1","1","1","2","2","2","1","2","1","1","1","3","1","1","2","4","4","4"
"8","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","2","4","1","2","3","9"
"9","2","1","1","1","1","2","1","2","2","1","2","1","1","1","1","3","4","2","3","2","8"
"10","1","1","1","1","1","1","2","2","2","1","2","2","1","2","3","4","2","3","4","1","9"
"11","1","2","2","2","1","2","1","2","2","2","1","2","1","2","3","2","1","1","1","2","2"
"12","1","1","2","1","2","2","2","1","1","2","2","1","2","2","3","1","1","4","3","3","7"
"13","2","2","2","1","2","2","1","2","2","1","2","1","2","2","2","2","4","4","3","1","9"
"14","2","1","1","1","1","1","1","1","2","2","1","1","2","2","1","4","1","3","3","4","6"
"15","2","2","1","2","2","2","1","2","1","1","1","2","2","1","1","1","2","4","3","4","3"
"16","2","1","2","2","1","2","2","1","2","1","2","1","1","1","2","3","2","1","1","4","10"
"17","1","2","1","1","1","1","2","2","1","1","1","1","2","2","2","3","4","4","4","3","2"
"18","2","2","2","2","1","1","2","2","1","1","1","2","2","1","3","4","4","1","3","3","5"
"19","1","1","1","2","2","1","1","1","2","2","1","2","2","1","4","3","1","4","3","2","9"
"20","1","2","1","1","1","1","2","2","1","1","1","1","2","2","4","2","3","4","1","2","4"
"21","2","1","1","1","1","2","2","1","1","2","2","2","2","1","2","1","2","1","3","2","2"
"22","2","2","2","2","1","1","2","2","1","2","2","2","1","2","1","4","2","2","3","2","7"
"23","1","2","1","1","1","1","1","1","2","2","1","2","1","2","2","2","4","2","2","4","8"
"24","2","2","1","2","2","2","1","2","1","1","1","2","2","1","2","3","3","3","2","4","1"
"25","1","1","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","1"
"26","1","2","2","1","2","2","1","2","1","2","2","1","1","1","4","4","2","4","4","2","8"
"27","1","1","1","1","1","1","2","2","2","2","1","2","2","1","1","3","3","2","1","1","7"
"28","2","2","1","2","2","2","2","1","2","2","1","1","1","1","3","2","4","4","1","4","7"
"29","1","1","1","1","1","2","2","1","2","2","1","2","2","1","3","3","2","3","2","2","3"
"30","1","2","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","3","1","3","6"
"31","2","1","2","2","1","1","2","2","1","2","2","2","2","1","4","2","1","3","2","3","8"
"32","2","2","1","1","1","2","2","1","1","2","2","2","1","2","1","4","4","4","1","3","1"
"33","2","1","1","2","2","1","1","1","2","2","1","1","2","2","4","2","2","1","3","3","4"
"34","2","2","1","1","1","1","1","1","1","1","1","2","2","1","4","4","2","2","1","3","9"
"35","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","2","2","2","1","2","1","2","2","2","2","1","1","1","1","4","4","3","1","2","1","3"
"37","1","2","2","1","2","2","2","1","2","1","2","2","2","1","4","1","2","2","2","1","2"
"38","1","2","2","2","1","2","1","2","2","2","1","2","1","2","1","3","2","1","4","3","4"
"39","1","1","2","2","1","2","1","2","1","1","1","1","1","1","4","2","2","3","4","4","7"
"40","2","2","1","1","1","2","2","1","1","2","2","2","1","2","2","2","1","3","4","3","3"
"41","2","2","2","2","1","2","2","1","2","2","1","1","1","1","1","1","3","3","4","2","9"
"42","1","2","2","2","1","1","2","2","2","2","1","2","1","2","2","1","3","4","3","1","10"
"43","1","1","2","2","1","1","1","1","1","2","2","1","2","2","1","3","2","4","2","1","5"
"44","1","1","2","1","2","2","1","2","2","1","2","2","1","2","3","3","3","3","3","3","1"
"45","2","1","2","1","2","1","1","1","1","1","1","2","1","2","3","1","2","4","1","4","8"
"46","2","1","2","1","2","2","1","2","2","2","1","1","2","2","1","4","1","2","2","3","10"
"47","1","1","1","2","2","1","1","1","2","1","2","2","1","2","2","4","4","1","2","2","7"
"48","2","1","2","1","2","2","1","2","1","2","2","2","2","1","3","2","3","1","1","2","6"
"49","2","2","1","2","2","2","2","1","2","1","2","1","2","2","1","2","2","3","1","1","5"
"50","1","2","1","2","2","2","2","1","1","1","1","1","2","2","3","4","3","2","4","2","6"
"51","2","2","2","1","2","1","1","1","1","2","2","2","1","2","4","3","3","2","4","4","5"
"52","2","1","2","2","1","1","1","1","2","1","2","1","1","1","3","4","3","4","2","3","2"
"53","2","2","2","2","1","1","1","1","2","1","2","1","2","2","4","1","1","1","4","2","1"
"54","2","1","1","2","2","2","1","2","1","1","1","2","1","2","1","2","1","2","4","1","2"
"55","1","2","1","1","1","2","1","2","1","2","2","1","1","1","4","3","4","1","3","1","6"
"56","2","1","2","2","1","2","2","1","1","1","1","2","1","2","4","1","4","2","2","1","6"
"57","1","2","2","2","1","1","2","2","2","1","2","2","2","1","1","2","1","4","2","4","6"
"58","1","2","2","1","2","1","1","1","2","1","2","2","2","1","1","2","4","3","4","2","10"
"59","2","1","1","2","2","2","2","1","2","2","1","1","2","2","2","4","3","1","4","1","8"
"60","1","2","1","1","1","2","1","2","1","1","1","1","2","2","3","4","2","1","2","4","10"
"61","2","1","1","2","2","1","2","2","1","1","1","2","1","2","4","1","4","3","3","2","10"
