"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","2","2","1","2","2","2","1","1","2","2","3","2","1","8","1","7","4","1","2"
"2","2","1","2","2","2","1","2","1","2","1","1","1","4","4","1","7","5","1","4","3","4"
"3","1","1","1","2","2","1","2","1","2","2","2","1","4","2","2","1","3","7","6","7","1"
"4","2","1","2","2","2","1","1","1","1","1","1","1","3","1","3","3","8","4","6","6","2"
"5","1","1","1","1","1","1","2","2","1","1","1","1","4","4","2","6","4","5","3","2","2"
"6","1","1","1","2","1","2","2","1","2","2","2","1","1","3","3","6","8","1","5","1","5"
"7","1","2","2","1","2","2","1","1","1","2","1","2","4","1","3","7","3","8","3","1","3"
"8","2","1","2","2","1","2","2","1","2","1","1","1","1","1","4","4","2","7","3","5","8"
"9","2","2","1","1","1","1","2","1","2","1","2","2","2","3","3","2","3","5","4","6","8"
"10","2","1","2","2","1","2","1","1","1","1","2","2","4","1","1","5","7","5","8","7","5"
"11","1","2","2","1","2","2","2","1","2","2","2","1","1","1","2","2","6","6","8","3","2"
"12","1","2","2","1","2","2","2","1","2","2","1","2","3","4","1","3","2","5","5","8","1"
"13","1","1","1","2","1","2","1","1","1","2","1","2","4","3","2","3","1","3","2","3","8"
"14","2","2","1","1","2","2","1","1","1","1","1","1","2","2","3","4","1","1","8","2","1"
"15","2","2","1","1","2","2","2","1","2","1","2","2","3","2","2","5","8","3","3","4","4"
"16","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","7","7","4","5","2","8"
"17","1","1","1","2","2","1","1","1","1","2","2","1","3","3","4","5","2","6","4","2","3"
"18","2","1","2","2","1","2","2","1","2","1","2","2","3","4","3","1","6","8","2","2","7"
"19","1","1","1","1","2","2","2","2","1","1","2","2","3","4","4","4","3","4","1","3","5"
"20","2","2","1","1","2","2","2","1","2","1","1","1","1","3","1","8","4","4","2","7","3"
"21","2","1","2","1","1","1","1","2","2","2","2","1","3","3","3","8","7","2","3","3","1"
"22","2","2","1","2","1","2","2","2","1","2","2","1","1","1","1","3","3","2","7","2","4"
"23","2","2","1","2","1","2","2","2","1","2","1","2","3","4","2","2","7","1","6","5","3"
"24","1","2","2","2","2","1","2","2","1","1","1","1","4","2","3","2","2","2","2","4","5"
"25","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","6","2","8","6","3","6"
"26","1","1","1","1","2","2","2","2","1","1","1","1","1","1","3","1","7","3","4","8","6"
"27","2","1","2","1","2","2","1","2","2","2","2","1","2","2","2","3","4","8","4","5","5"
"28","1","2","2","2","1","2","2","2","1","1","1","1","1","3","2","5","5","8","1","6","1"
"29","2","1","2","1","1","1","2","2","1","2","2","1","4","2","1","4","6","3","5","6","3"
"30","1","1","1","2","1","2","2","1","2","2","1","2","3","2","4","7","4","2","8","6","6"
"31","2","2","1","1","1","1","1","1","1","1","1","1","3","3","2","7","6","7","7","8","5"
"32","1","2","2","1","1","1","2","1","2","2","2","1","4","4","3","5","1","4","7","5","6"
"33","1","1","1","2","2","1","1","1","1","2","1","2","1","2","3","8","6","5","1","5","4"
"34","1","2","2","2","1","2","1","2","2","1","2","2","4","3","3","4","4","6","6","8","4"
"35","1","2","2","2","2","1","2","2","1","1","2","2","2","3","4","3","6","1","3","7","6"
"36","1","1","1","2","1","2","1","1","1","2","2","1","2","2","1","2","5","4","3","8","7"
"37","2","2","1","2","2","1","2","2","1","2","1","2","2","1","3","5","4","7","5","3","7"
"38","1","1","1","1","1","1","2","2","1","1","2","2","2","1","1","7","8","6","2","5","1"
"39","1","1","1","1","2","2","1","2","2","1","1","1","2","4","1","5","6","2","6","1","8"
"40","2","1","2","1","1","1","1","2","2","2","1","2","1","2","4","5","3","1","2","8","2"
"41","2","1","2","2","2","1","1","1","1","1","2","2","1","4","4","2","4","3","7","1","1"
"42","2","2","1","1","2","2","1","1","1","1","2","2","4","3","4","1","5","2","5","5","2"
"43","1","2","2","2","2","1","1","2","2","1","1","1","3","3","1","6","3","3","8","5","7"
"44","1","1","1","1","2","2","1","2","2","1","2","2","4","1","2","8","2","1","7","6","7"
"45","2","2","1","2","1","2","1","2","2","2","2","1","2","4","3","7","2","3","1","7","2"
"46","2","1","2","2","1","2","1","1","1","1","1","1","2","4","2","8","3","6","5","4","6"
"47","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","6","1","2","1","8","3"
"48","2","1","2","1","2","2","2","2","1","2","1","2","3","2","3","6","5","6","7","7","8"
"49","1","1","1","2","2","1","2","1","2","2","1","2","2","3","1","4","7","8","7","4","2"
"50","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","8","8","8","8","8","8"
"51","1","1","1","1","1","1","1","2","2","1","1","1","3","1","4","2","1","8","5","7","4"
"52","2","2","1","2","2","1","1","2","2","2","2","1","3","1","2","4","5","5","2","1","6"
"53","1","2","2","1","1","1","1","1","1","2","2","1","3","1","1","1","4","1","1","4","8"
"54","2","1","2","1","2","2","1","2","2","2","1","2","4","3","1","2","8","7","1","2","6"
"55","2","2","1","1","1","1","2","1","2","1","1","1","4","2","4","3","7","6","1","1","7"
"56","2","2","1","2","2","1","1","2","2","2","1","2","1","4","1","1","1","6","3","6","5"
"57","2","2","1","2","1","2","1","2","2","2","1","2","4","1","4","6","6","4","4","4","1"
"58","1","2","2","1","1","1","1","1","1","2","1","2","1","4","2","4","8","2","4","7","7"
"59","1","1","1","1","1","1","1","2","2","1","2","2","1","4","3","3","5","7","8","4","3"
"60","2","1","2","1","2","2","2","2","1","2","2","1","1","3","4","7","1","5","6","4","7"
"61","1","2","2","2","1","2","1","2","2","1","1","1","2","2","4","1","8","5","7","3","3"
"62","1","2","2","1","2","2","1","1","1","2","2","1","2","4","4","6","7","7","2","6","4"
"63","1","2","2","1","1","1","2","1","2","2","1","2","2","1","4","8","5","3","6","2","5"
"64","2","1","2","1","1","1","2","2","1","2","1","2","2","3","2","1","2","4","8","1","4"
