"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","3","1","2","3","1","3","1","2","3","1","1","2","3","1","2","2","3","1","2","3","4","5"
"2","1","1","3","2","3","1","1","3","2","3","2","2","1","3","1","3","3","2","1","2","6","5"
"3","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","1","1","1","1","1","1","5"
"4","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","1","2"
"5","2","2","2","2","2","3","3","3","3","3","1","1","1","1","1","2","2","2","2","2","1","8"
"6","3","3","3","3","3","2","2","2","2","2","1","1","1","1","1","3","3","3","3","3","1","6"
"7","3","2","1","1","3","2","1","3","3","2","3","2","1","1","3","1","3","2","2","1","3","2"
"8","1","1","3","2","3","2","2","1","3","1","3","3","2","1","2","1","1","3","2","3","6","8"
"9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"10","2","3","1","2","3","3","1","2","3","1","3","1","2","3","1","3","1","2","3","1","4","4"
"11","3","3","3","3","3","1","1","1","1","1","3","3","3","3","3","2","2","2","2","2","1","3"
"12","2","1","2","1","3","2","1","2","1","3","1","3","1","3","2","3","2","3","2","1","5","9"
"13","2","1","2","1","3","3","2","3","2","1","2","1","2","1","3","1","3","1","3","2","5","3"
"14","2","1","2","1","3","1","3","1","3","2","3","2","3","2","1","2","1","2","1","3","5","6"
"15","3","2","3","2","1","3","2","3","2","1","3","2","3","2","1","3","2","3","2","1","5","1"
"16","3","2","1","1","3","3","2","1","1","3","1","3","2","2","1","2","1","3","3","2","3","5"
"17","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","4","9"
"18","3","2","3","2","1","2","1","2","1","3","2","1","2","1","3","2","1","2","1","3","5","7"
"19","1","3","2","2","1","3","2","1","1","3","2","1","3","3","2","1","3","2","2","1","3","6"
"20","1","2","2","3","3","3","1","1","2","2","3","1","1","2","2","3","1","1","2","2","2","7"
"21","2","3","3","1","1","1","2","2","3","3","2","3","3","1","1","3","1","1","2","2","2","2"
"22","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","7"
"23","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","1","2","3","1","2","4","2"
"24","1","2","2","3","3","1","2","2","3","3","1","2","2","3","3","1","2","2","3","3","2","1"
"25","1","3","2","2","1","2","1","3","3","2","1","3","2","2","1","3","2","1","1","3","3","3"
"26","3","3","2","1","2","1","1","3","2","3","1","1","3","2","3","1","1","3","2","3","6","4"
"27","1","3","1","3","2","3","2","3","2","1","1","3","1","3","2","2","1","2","1","3","5","2"
"28","3","2","1","1","3","1","3","2","2","1","2","1","3","3","2","3","2","1","1","3","3","8"
"29","3","1","1","2","2","1","2","2","3","3","3","1","1","2","2","2","3","3","1","1","2","3"
"30","1","1","3","2","3","3","3","2","1","2","1","1","3","2","3","2","2","1","3","1","6","2"
"31","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","1","1","1","1","1","1","9"
"32","2","3","3","1","1","3","1","1","2","2","1","2","2","3","3","2","3","3","1","1","2","8"
"33","3","3","2","1","2","2","2","1","3","1","2","2","1","3","1","2","2","1","3","1","6","7"
"34","2","2","1","3","1","1","1","3","2","3","3","3","2","1","2","2","2","1","3","1","6","6"
"35","2","1","3","3","2","3","2","1","1","3","3","2","1","1","3","3","2","1","1","3","3","4"
"36","2","3","3","1","1","2","3","3","1","1","3","1","1","2","2","1","2","2","3","3","2","5"
"37","3","2","3","2","1","1","3","1","3","2","1","3","1","3","2","1","3","1","3","2","5","4"
"38","2","3","1","2","3","2","3","1","2","3","2","3","1","2","3","2","3","1","2","3","4","1"
"39","3","3","2","1","2","3","3","2","1","2","3","3","2","1","2","3","3","2","1","2","6","1"
"40","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","4","6"
"41","1","2","3","1","2","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","4","3"
"42","2","1","3","3","2","2","1","3","3","2","2","1","3","3","2","2","1","3","3","2","3","1"
"43","1","3","2","2","1","1","3","2","2","1","3","2","1","1","3","2","1","3","3","2","3","9"
"44","2","2","1","3","1","2","2","1","3","1","1","1","3","2","3","3","3","2","1","2","6","9"
"45","2","2","1","3","1","3","3","2","1","2","2","2","1","3","1","1","1","3","2","3","6","3"
"46","1","2","2","3","3","2","3","3","1","1","2","3","3","1","1","2","3","3","1","1","2","4"
"47","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","1","2","3","1","2","4","7"
"48","3","1","2","3","1","1","2","3","1","2","2","3","1","2","3","3","1","2","3","1","4","8"
"49","1","3","1","3","2","1","3","1","3","2","2","1","2","1","3","3","2","3","2","1","5","5"
"50","1","3","1","3","2","2","1","2","1","3","3","2","3","2","1","1","3","1","3","2","5","8"
"51","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","4"
"52","3","1","1","2","2","2","3","3","1","1","1","2","2","3","3","3","1","1","2","2","2","6"
"53","2","1","3","3","2","1","3","2","2","1","1","3","2","2","1","1","3","2","2","1","3","7"
"54","3","1","1","2","2","3","1","1","2","2","2","3","3","1","1","1","2","2","3","3","2","9"
