"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","2","2","2","1","2","2","3","1","2","2","1","1","5","3","3","6"
"2","2","1","1","2","2","1","3","1","2","2","1","6","6","1","5","12"
"3","1","1","2","2","2","1","3","3","3","6","3","1","5","4","2","4"
"4","1","1","1","1","2","2","2","3","3","2","4","1","4","5","6","9"
"5","1","1","2","2","2","2","2","2","1","3","4","6","5","1","3","2"
"6","2","1","2","1","1","1","3","1","1","6","2","6","1","5","2","3"
"7","2","1","2","1","2","1","1","3","1","5","2","3","6","6","3","10"
"8","2","1","2","2","1","2","3","2","3","1","1","3","4","3","4","7"
"9","1","1","2","1","1","2","2","1","3","4","5","6","2","4","3","8"
"10","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"11","1","2","1","2","2","2","1","2","2","1","3","1","2","6","3","3"
"12","1","2","2","2","1","1","3","3","2","4","2","5","4","1","3","11"
"13","2","1","2","1","2","1","2","1","2","3","6","1","4","4","1","10"
"14","2","1","1","1","2","2","1","1","3","5","3","6","5","2","4","11"
"15","2","1","2","1","2","1","3","2","3","1","4","5","2","2","5","10"
"16","1","1","2","1","1","2","1","3","2","6","1","2","4","6","5","8"
"17","2","1","1","2","1","2","2","1","3","4","2","1","3","6","5","5"
"18","2","1","2","1","1","1","1","2","2","4","6","4","5","3","6","3"
"19","1","1","2","2","2","2","3","3","2","1","2","4","3","5","1","2"
"20","1","1","2","2","2","1","2","2","2","2","5","3","1","6","4","4"
"21","1","2","1","1","2","1","1","3","1","2","2","4","5","4","5","7"
"22","1","2","2","2","1","1","1","1","3","2","6","3","2","5","1","11"
"23","1","2","1","1","2","1","2","1","2","6","6","2","3","2","3","7"
"24","1","1","2","2","2","1","1","1","1","4","1","5","3","2","6","4"
"25","2","1","2","2","1","2","1","3","1","5","5","1","2","1","2","7"
"26","2","2","2","2","1","1","3","1","1","3","5","2","5","6","1","9"
"27","1","2","1","2","1","2","1","3","1","2","5","6","3","3","6","10"
"28","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"29","1","2","1","2","2","2","3","1","1","3","5","3","4","2","5","3"
"30","2","1","1","1","2","2","2","2","1","3","1","4","3","6","2","11"
"31","1","2","1","2","1","2","2","1","2","6","3","4","1","1","4","10"
"32","2","2","2","1","2","2","1","2","3","6","5","5","3","1","1","6"
"33","2","2","1","1","1","2","2","2","2","5","2","6","4","3","1","4"
"34","2","1","1","2","2","1","2","3","1","4","3","2","2","3","1","12"
"35","1","2","2","1","2","1","3","2","1","5","3","2","4","1","6","5"
"36","2","2","1","1","1","1","3","3","2","4","5","1","6","2","4","2"
"37","1","2","1","1","2","1","3","2","3","4","4","6","1","6","1","7"
"38","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","1"
"39","2","2","2","2","1","1","2","3","3","5","1","4","1","2","3","9"
"40","2","1","2","1","1","1","2","3","3","2","4","2","3","1","4","3"
"41","1","1","1","2","1","1","1","2","3","3","2","2","6","4","4","6"
"42","2","2","1","1","1","1","2","2","1","6","1","3","2","4","6","2"
"43","1","2","2","1","1","2","3","1","2","5","4","3","3","4","2","12"
"44","1","1","1","1","2","2","3","1","1","6","2","5","2","3","4","9"
"45","2","2","1","1","1","2","3","3","3","3","6","4","2","1","5","4"
"46","2","2","2","2","1","1","1","2","2","1","3","6","3","4","5","9"
"47","1","1","2","2","2","2","1","1","3","5","6","2","1","3","5","2"
"48","1","1","1","2","1","1","2","3","1","1","6","6","4","2","2","6"
"49","2","2","1","1","1","1","1","1","3","2","3","5","4","6","2","2"
"50","1","2","2","2","1","1","2","2","1","6","4","1","6","3","5","11"
"51","1","2","2","1","1","2","2","3","1","1","6","5","5","6","4","12"
"52","2","2","1","2","2","1","3","2","1","5","6","1","3","5","4","8"
"53","1","1","2","1","1","2","3","2","1","2","3","4","6","2","1","8"
"54","1","1","1","2","1","1","3","1","2","5","4","4","2","6","6","6"
"55","1","1","1","1","2","2","1","2","2","4","6","3","6","1","2","9"
"56","1","2","1","2","1","2","3","2","3","4","1","2","5","5","2","10"
"57","2","1","1","1","2","2","3","3","2","1","5","2","1","4","6","11"
"58","1","2","2","1","2","1","2","1","3","1","5","4","6","3","2","5"
"59","1","2","2","1","2","1","1","3","2","3","1","6","2","5","4","5"
"60","2","1","1","2","1","2","1","3","2","6","4","3","5","2","1","5"
"61","2","2","2","1","2","2","2","3","1","4","3","3","1","5","5","6"
"62","2","2","2","2","2","2","1","1","1","4","4","4","4","4","4","1"
"63","2","2","1","2","2","1","2","1","3","1","2","3","5","1","6","8"
"64","2","1","1","2","1","2","3","2","1","2","6","5","1","4","3","5"
"65","2","2","1","1","1","2","1","1","1","1","4","2","6","5","3","4"
"66","1","1","1","1","1","1","2","2","2","5","5","5","5","5","5","1"
"67","1","2","1","2","2","2","2","3","3","5","1","5","6","4","1","3"
"68","2","1","1","2","2","1","1","2","3","6","5","4","4","5","3","12"
"69","1","2","2","1","1","2","1","2","3","3","2","1","1","2","6","12"
"70","2","2","2","2","2","2","3","3","3","6","6","6","6","6","6","1"
"71","2","1","2","2","1","2","2","1","2","3","3","5","6","5","6","7"
"72","2","2","1","2","2","1","1","3","2","3","4","5","1","3","2","8"
