"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","2","2","1","2","1","1","1","2","2","2","1","2","2"
"2","1","1","2","1","2","2","2","1","1","1","2","1","2"
"3","2","2","2","2","1","2","2","1","2","1","1","1","7"
"4","1","2","1","2","2","2","1","1","1","2","1","1","12"
"5","2","2","2","1","2","1","1","1","2","2","2","1","3"
"6","1","2","2","2","1","1","1","2","1","1","2","1","10"
"7","2","1","2","2","1","2","1","1","1","2","2","2","4"
"8","2","1","1","1","1","1","1","1","1","1","1","1","1"
"9","1","1","2","1","1","2","1","2","2","2","1","1","5"
"10","1","1","1","1","2","1","1","2","1","2","2","2","7"
"11","1","2","1","1","1","2","1","1","2","1","2","2","8"
"12","1","2","2","2","2","2","2","2","2","2","2","2","1"
"13","2","1","2","1","1","1","2","2","2","1","2","2","12"
"14","1","2","1","1","2","1","2","2","2","1","1","1","4"
"15","2","2","1","2","2","1","2","1","1","1","2","2","5"
"16","1","2","2","1","1","1","2","1","1","2","1","2","9"
"17","2","1","2","2","2","1","2","2","1","2","1","1","8"
"18","2","1","1","1","2","2","2","1","2","2","1","2","10"
"19","2","2","1","1","1","2","2","2","1","2","2","1","11"
"20","1","1","2","2","2","1","1","1","2","1","1","2","11"
"21","2","2","2","1","2","2","1","2","1","1","1","2","6"
"22","1","1","1","2","1","1","2","1","2","2","2","1","6"
"23","2","1","1","2","2","2","1","2","2","1","2","1","9"
"24","1","1","1","2","1","2","2","2","1","1","1","2","3"
