"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"70","2","2","1","1","2","2","1","1","3","1","5","2","4","3","4","2","3","9"
"71","1","1","1","1","1","1","1","3","5","2","4","2","4","1","3","5","1","1"
"72","1","2","1","2","2","1","2","2","1","1","2","4","5","3","3","5","3","8"
"73","2","2","2","1","1","2","2","2","5","4","4","3","2","3","1","1","1","9"
"74","1","2","1","1","1","2","2","2","5","3","1","5","3","1","4","2","4","8"
"75","1","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","5","1"
"76","1","2","1","2","2","1","2","1","5","5","1","3","4","2","2","4","3","6"
"77","2","1","2","2","2","1","2","1","4","3","3","2","1","2","5","5","1","8"
"78","2","1","1","1","2","1","1","5","5","1","3","4","2","2","4","3","4","1"
"79","1","1","1","2","1","2","2","3","1","4","2","1","4","2","5","3","2","9"
"80","2","2","2","1","1","2","2","3","1","5","5","4","3","4","2","2","1","1"
"81","2","2","2","2","1","1","1","2","1","5","4","2","1","5","4","3","4","6"
"82","2","1","1","1","2","1","1","2","2","3","5","1","4","4","1","5","4","5"
"83","2","1","1","1","2","1","2","3","5","2","4","2","4","1","3","5","2","2"
"84","1","1","2","2","2","2","2","1","5","5","1","3","4","2","2","4","4","5"
"85","2","2","2","1","1","2","2","5","3","2","2","1","5","1","4","4","1","5"
"86","1","2","1","2","2","2","1","3","5","3","2","4","1","5","1","4","1","4"
"87","2","2","2","1","1","2","2","1","4","3","3","2","1","2","5","5","1","7"
"88","1","2","1","2","2","1","2","5","4","4","5","2","3","1","1","3","3","4"
"89","1","1","2","1","2","2","1","5","5","5","5","5","5","5","5","5","5","10"
"90","1","1","1","2","1","2","2","4","2","5","3","2","5","3","1","4","2","1"
"91","2","1","1","2","1","2","1","5","1","3","1","2","2","4","3","4","5","10"
"92","1","2","1","1","1","2","2","1","4","2","5","4","2","5","3","1","4","6"
"93","1","1","1","1","1","1","1","5","2","4","1","4","1","3","5","2","1","5"
"94","2","1","1","2","1","2","1","2","3","5","3","4","4","1","5","1","5","4"
"95","2","1","2","1","1","2","2","1","1","2","4","5","3","3","5","4","3","4"
"96","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","5","3"
"97","1","1","1","1","1","1","1","4","1","3","5","3","5","2","4","1","1","3"
"98","1","1","2","2","2","2","2","4","3","3","4","1","2","5","5","2","4","1"
"99","2","1","1","1","2","1","2","2","4","1","3","1","3","5","2","4","2","10"
"100","2","2","1","2","1","1","2","4","5","1","2","2","3","4","5","1","5","5"
