,A,B,C
1,1,1,7
2,1,2,1
3,1,3,12
4,1,4,3
5,1,5,2
6,1,1,12
7,1,2,8
8,1,3,4
9,1,4,8
10,1,5,6
11,1,1,11
12,1,2,3
13,1,3,10
14,1,4,12
15,1,5,13
16,1,1,10
17,1,2,5
18,1,3,3
19,1,4,7
20,1,5,8
21,1,1,2
22,1,2,5
23,1,3,5
24,1,4,9
25,1,5,8
26,1,1,1
27,1,2,4
28,1,3,13
29,1,4,13
30,1,5,11
31,1,1,6
32,1,2,9
33,1,3,2
34,1,4,9
35,1,5,9
36,1,1,6
37,1,2,4
38,1,3,10
39,1,4,11
40,1,5,6
41,1,1,1
42,1,2,10
43,1,3,7
44,1,4,5
45,1,5,10
46,1,1,9
47,1,2,2
48,1,3,4
49,1,4,1
50,1,5,5
51,1,1,4
52,1,2,11
53,1,3,12
54,1,4,13
55,1,5,1
56,1,1,7
57,1,2,7
58,1,3,3
59,1,4,3
60,1,5,2
61,1,1,8
62,1,2,13
63,1,3,11
64,1,4,6
65,1,5,12
66,2,1,5
67,2,2,11
68,2,3,9
69,2,4,7
70,2,5,4
71,2,1,12
72,2,2,6
73,2,3,11
74,2,4,10
75,2,5,3
76,2,1,3
77,2,2,3
78,2,3,9
79,2,4,5
80,2,5,1
81,2,1,4
82,2,2,13
83,2,3,7
84,2,4,6
85,2,5,12
86,2,1,5
87,2,2,8
88,2,3,5
89,2,4,2
90,2,5,3
91,2,1,13
92,2,2,12
93,2,3,13
94,2,4,11
95,2,5,5
96,2,1,10
97,2,2,1
98,2,3,1
99,2,4,2
100,2,5,10
101,2,1,11
102,2,2,12
103,2,3,6
104,2,4,10
105,2,5,4
106,2,1,9
107,2,2,6
108,2,3,2
109,2,4,12
110,2,5,7
111,2,1,8
112,2,2,9
113,2,3,6
114,2,4,8
115,2,5,11
116,2,1,13
117,2,2,7
118,2,3,8
119,2,4,1
120,2,5,7
121,2,1,2
122,2,2,10
123,2,3,1
124,2,4,4
125,2,5,9
126,2,1,3
127,2,2,2
128,2,3,8
129,2,4,4
130,2,5,13
