"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","1","2","2","1","2","2","1","2","1","3","2","4","7","4","2","8","6","6"
"2","2","2","1","2","2","1","2","2","1","4","4","4","4","8","8","8","8","8","8"
"3","2","2","1","1","2","2","2","2","1","4","3","1","2","4","5","5","2","1","6"
"4","1","2","2","2","1","2","2","2","1","2","1","1","2","2","6","6","8","3","2"
"5","2","2","1","1","2","2","1","2","2","2","1","2","2","7","7","4","5","2","8"
"6","2","2","1","2","1","2","2","1","2","1","2","3","1","4","7","8","7","4","2"
"7","1","2","2","2","2","1","2","1","2","3","3","2","3","6","5","6","7","7","8"
"8","2","1","2","2","1","2","1","1","1","3","1","1","4","4","2","7","3","5","8"
"9","2","2","1","1","1","1","2","2","1","1","3","3","4","5","2","6","4","2","3"
"10","2","1","2","1","2","2","1","2","2","2","4","3","3","4","4","6","6","8","4"
"11","1","1","1","2","2","1","2","1","2","3","2","3","2","1","2","4","8","1","4"
"12","2","1","2","2","1","2","1","2","2","3","3","4","3","1","6","8","2","2","7"
"13","2","2","1","2","2","1","2","1","2","4","2","1","3","5","4","7","5","3","7"
"14","1","2","2","2","1","2","2","1","2","2","3","4","1","3","2","5","5","8","1"
"15","1","1","1","2","1","2","1","1","1","4","4","2","4","3","7","6","1","1","7"
"16","2","2","1","1","2","2","1","1","1","2","3","3","1","6","3","3","8","5","7"
"17","1","1","1","1","1","1","1","1","1","4","3","3","2","7","6","7","7","8","5"
"18","1","2","2","1","1","1","1","1","1","4","2","2","3","4","1","1","8","2","1"
"19","1","1","1","1","2","2","1","2","2","1","1","4","3","3","5","7","8","4","3"
"20","2","1","2","1","2","2","2","2","1","4","2","4","3","7","2","3","1","7","2"
"21","2","2","1","1","1","1","2","1","2","1","1","2","3","8","6","5","1","5","4"
"22","2","2","1","2","1","2","1","2","2","3","2","1","2","6","1","2","1","8","3"
"23","1","2","2","2","1","2","1","1","1","4","1","3","1","8","4","4","2","7","3"
"24","2","1","2","2","2","1","2","1","2","4","3","4","2","2","7","1","6","5","3"
"25","2","1","2","1","1","1","2","1","2","1","4","3","2","3","1","3","2","3","8"
"26","2","1","2","2","2","1","1","2","2","2","3","2","1","8","1","7","4","1","2"
"27","2","2","1","2","1","2","1","1","1","3","4","4","1","7","5","1","4","3","4"
"28","2","1","2","1","1","1","1","2","2","3","4","1","1","5","7","5","8","7","5"
"29","1","2","2","1","2","2","1","1","1","1","2","4","1","5","6","2","6","1","8"
"30","1","1","1","1","1","1","2","2","1","2","3","1","1","1","4","1","1","4","8"
"31","2","2","1","1","1","1","1","1","1","3","3","1","3","3","8","4","6","6","2"
"32","2","1","2","1","1","1","2","2","1","1","2","2","1","2","5","4","3","8","7"
"33","1","2","2","1","1","1","2","2","1","2","2","4","4","6","7","7","2","6","4"
"34","1","1","1","2","2","1","2","2","1","3","4","2","1","4","6","3","5","6","3"
"35","1","1","1","1","1","1","2","1","2","2","1","4","2","4","8","2","4","7","7"
"36","2","2","1","2","2","1","1","2","2","2","2","3","4","3","6","1","3","7","6"
"37","2","1","2","1","2","2","2","1","2","4","4","1","4","6","6","4","4","4","1"
"38","1","1","1","2","1","2","2","1","2","2","2","1","4","8","5","3","6","2","5"
"39","1","1","1","1","2","2","2","1","2","3","1","2","4","5","3","1","2","8","2"
"40","2","2","1","2","1","2","2","2","1","1","4","2","2","1","3","7","6","7","1"
"41","1","2","2","1","1","1","2","1","2","2","4","1","3","7","3","8","3","1","3"
"42","2","1","2","2","1","2","2","2","1","1","1","3","3","6","8","1","5","1","5"
"43","1","1","1","1","2","2","1","1","1","1","3","1","4","2","1","8","5","7","4"
"44","1","1","1","2","1","2","1","2","2","4","2","3","3","2","3","5","4","6","8"
"45","1","1","1","1","2","2","2","2","1","3","3","3","3","8","7","2","3","3","1"
"46","1","1","1","2","2","1","1","1","1","1","4","4","2","6","4","5","3","2","2"
"47","1","2","2","1","1","1","1","2","2","4","4","3","4","1","5","2","5","5","2"
"48","1","2","2","1","2","2","1","2","2","1","4","1","2","8","2","1","7","6","7"
"49","1","2","2","1","2","2","2","2","1","3","2","2","2","3","4","8","4","5","5"
"50","2","1","2","1","2","2","1","1","1","2","2","2","4","1","8","5","7","3","3"
"51","2","2","1","1","1","1","1","2","2","3","1","4","4","2","4","3","7","1","1"
"52","1","1","1","2","2","1","1","2","2","1","2","1","1","7","8","6","2","5","1"
"53","1","2","2","2","2","1","1","1","1","1","1","1","3","1","7","3","4","8","6"
"54","2","1","2","2","2","1","2","2","1","4","1","1","1","3","3","2","7","2","4"
"55","2","2","1","2","2","1","1","1","1","2","4","2","3","2","2","2","2","4","5"
"56","1","2","2","2","2","1","2","2","1","3","1","3","4","7","1","5","6","4","7"
"57","1","1","1","1","1","1","1","2","2","4","1","2","1","6","2","8","6","3","6"
"58","2","1","2","2","2","1","1","1","1","2","1","3","2","5","5","8","1","6","1"
"59","1","2","2","1","2","2","2","1","2","3","4","3","1","2","8","7","1","2","6"
"60","2","1","2","1","1","1","1","1","1","3","2","4","2","8","3","6","5","4","6"
"61","2","2","1","1","2","2","2","1","2","4","1","4","1","1","1","6","3","6","5"
"62","1","1","1","2","1","2","2","2","1","2","4","4","3","5","1","4","7","5","6"
"63","1","2","2","2","1","2","1","2","2","4","3","2","2","5","8","3","3","4","4"
"64","1","2","2","2","2","1","1","2","2","1","3","4","4","4","3","4","1","3","5"
