"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","1","2","2","2","2","1","2","2","1","2","4","2","2","2","1","1","1","3","3","3"
"2","2","2","1","2","1","1","1","2","2","1","2","2","3","2","1","2","3","4","1","4","3"
"3","2","1","1","1","1","1","1","2","1","2","2","4","3","4","2","3","2","1","2","4","1"
"4","2","1","2","1","2","2","1","1","2","2","1","1","3","2","1","3","4","2","4","3","1"
"5","2","2","1","2","2","2","1","1","1","1","2","3","2","3","4","3","2","1","4","1","2"
"6","1","2","1","1","2","1","2","2","2","1","3","1","4","2","3","3","2","1","1","2","4"
"7","2","1","1","2","2","1","2","1","1","1","3","2","2","4","1","3","1","4","2","3","4"
"8","1","1","2","2","1","1","1","1","1","1","3","1","4","4","4","2","2","2","3","3","3"
"9","2","2","2","2","2","2","1","1","1","1","1","3","4","2","3","2","1","3","2","4","1"
"10","1","1","1","1","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2"
"11","2","2","2","2","1","2","2","2","1","2","1","1","2","4","1","4","3","1","4","2","3"
"12","2","2","2","1","1","2","2","2","1","2","3","1","1","2","4","3","1","4","3","4","2"
"13","1","2","2","1","2","2","1","2","1","2","2","2","1","4","3","2","4","1","1","3","2"
"14","1","2","1","1","1","2","2","1","1","1","3","4","1","3","2","2","3","4","4","3","1"
"15","2","2","2","2","1","1","1","2","2","1","1","2","1","3","2","3","4","2","3","1","4"
"16","1","1","1","1","2","1","2","2","1","2","1","3","3","3","3","3","3","3","3","3","3"
"17","1","1","2","2","1","1","1","1","1","1","2","1","3","3","3","4","4","4","2","2","2"
"18","1","2","2","1","2","1","2","2","2","1","2","1","2","3","4","1","3","2","2","4","1"
"19","2","2","2","1","2","1","2","1","2","2","3","4","4","3","1","2","4","1","2","1","3"
"20","1","1","2","2","2","1","2","2","1","2","3","3","2","2","2","4","4","4","1","1","1"
"21","2","1","1","1","2","2","1","1","2","2","2","1","2","1","3","2","3","4","3","1","4"
"22","2","2","2","1","2","2","1","1","1","1","3","3","3","4","2","1","3","2","1","2","4"
"23","2","1","1","1","2","1","2","1","1","1","2","2","1","2","4","1","4","3","4","2","3"
"24","2","1","2","1","1","1","1","2","1","2","1","4","2","3","4","2","1","3","1","2","4"
"25","2","1","1","2","1","1","1","2","1","2","3","4","4","2","3","1","3","2","4","1","2"
"26","1","1","2","2","1","2","2","1","2","2","3","2","3","3","3","1","1","1","4","4","4"
"27","2","2","1","2","2","1","2","1","2","2","2","4","1","4","3","4","1","2","3","2","1"
"28","1","2","1","2","2","2","1","2","1","2","1","2","4","3","1","1","2","4","3","2","1"
"29","2","2","2","2","2","1","2","1","2","2","1","4","3","1","4","1","2","4","1","3","2"
"30","2","1","2","1","1","2","2","2","2","1","1","3","1","4","3","1","2","4","2","1","3"
"31","1","1","2","2","1","2","2","1","2","2","2","2","4","4","4","3","3","3","1","1","1"
"32","2","1","1","1","1","2","2","2","2","1","2","3","4","3","1","4","1","2","1","3","2"
"33","2","1","1","2","1","2","2","2","2","1","3","3","3","1","4","2","4","1","3","2","1"
"34","1","2","2","1","1","2","2","1","1","1","2","4","3","2","1","4","2","3","3","1","4"
"35","1","2","1","1","2","2","1","2","1","2","3","2","3","1","4","4","1","2","2","1","3"
"36","1","1","2","2","2","1","2","2","1","2","2","3","1","1","1","2","2","2","4","4","4"
"37","1","2","1","2","1","2","2","1","1","1","1","4","2","1","3","3","4","2","1","4","3"
"38","2","1","2","1","2","1","2","1","1","1","1","2","4","1","2","4","3","1","3","4","2"
"39","1","2","1","2","1","1","1","1","2","2","1","3","1","2","4","4","3","1","2","3","4"
"40","1","1","2","2","2","2","1","2","2","1","3","4","1","1","1","3","3","3","2","2","2"
"41","2","2","1","2","1","2","2","2","1","2","2","1","4","1","2","1","4","3","2","3","4"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","1","1","1","1","2","2","1","2","2","1","1","4","4","4","4","4","4","4","4","4","4"
"44","2","1","1","2","2","2","1","1","2","2","3","1","1","3","2","4","2","3","1","4","3"
"45","1","2","1","2","2","1","2","2","2","1","1","1","3","4","2","2","1","3","4","1","2"
"46","1","2","2","1","1","1","1","1","2","2","2","3","4","1","2","3","1","4","4","2","3"
"47","2","2","2","1","1","1","1","2","2","1","3","2","2","1","3","4","2","3","4","3","1"
"48","1","2","1","1","1","1","1","1","2","2","3","3","2","4","1","1","4","3","3","4","2"
