"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"1","2","2","2","2","2","1","2","2","1","1","2","1","1","2","2","2","2","2"
"2","1","1","1","2","2","2","2","2","2","2","1","2","2","2","1","2","5","5"
"3","2","1","1","2","1","2","2","2","1","1","2","1","2","1","1","1","4","4"
"4","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1","2","1"
"5","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","2","3","3"
"6","2","2","2","2","2","2","2","2","1","2","1","2","2","1","1","2","5","3"
"7","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","1","1","5"
"8","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","2","5","2"
"9","2","1","2","2","2","1","1","1","2","1","1","2","2","2","2","1","4","2"
"10","2","2","1","1","2","1","1","2","2","1","2","2","2","2","2","1","5","5"
"11","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","1","3","4"
"12","2","2","1","1","1","2","2","2","2","2","2","2","1","2","1","2","1","4"
"13","1","2","2","1","2","1","1","1","2","2","2","2","2","1","1","1","2","4"
"14","1","2","1","1","2","1","2","2","2","1","2","1","1","1","2","1","4","5"
"15","1","2","2","2","1","1","1","2","2","1","2","1","2","2","1","2","3","1"
"16","2","2","2","2","2","1","2","1","2","2","1","2","1","2","2","2","1","1"
"17","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","5","1"
"18","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","1","3","2"
"19","2","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","1","5"
"20","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","2","3","4"
"21","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","1","1","2"
"22","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","2","3","2"
"23","1","1","1","1","2","1","2","2","1","1","1","2","2","1","2","2","1","6"
"24","1","1","1","2","1","1","2","1","2","2","1","1","2","2","2","1","3","5"
"25","2","1","1","1","2","2","2","1","2","1","1","2","1","1","1","2","2","1"
"26","2","1","2","1","2","2","1","2","1","2","2","2","2","1","2","2","4","1"
"27","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","4","2"
"28","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","2","2","5"
"29","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","2","2","6"
"30","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","1","1"
"31","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","1","2","3"
"32","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","1","3","3"
"33","1","2","2","2","1","2","2","1","2","1","1","2","1","1","2","1","1","4"
"34","2","1","2","2","1","2","1","2","2","1","1","1","1","2","1","2","4","6"
"35","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","1","2","6"
"36","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","2","4","3"
"37","1","2","2","1","1","2","2","1","1","2","1","2","1","2","1","2","3","5"
"38","2","1","1","2","1","2","2","1","1","1","2","2","1","2","1","1","5","3"
"39","1","1","2","1","1","2","1","2","2","2","1","2","1","1","2","1","4","3"
"40","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","2","4","5"
"41","1","1","2","1","2","2","1","1","1","1","2","1","2","2","2","2","1","3"
"42","2","1","2","1","1","1","2","1","2","2","1","1","2","2","2","1","5","4"
"43","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","2","5","1"
"44","2","2","1","2","2","1","2","1","1","2","2","1","2","1","1","2","3","6"
"45","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","3","1"
"46","2","2","2","1","1","1","2","1","1","2","1","2","2","2","1","1","4","6"
"47","2","2","1","2","1","1","1","2","2","2","1","1","2","1","1","1","1","3"
"48","1","2","1","1","2","1","1","2","2","2","1","1","1","2","1","2","2","3"
"49","1","2","2","1","2","1","2","1","1","1","1","1","2","1","1","2","4","4"
"50","1","2","1","2","1","2","1","1","2","1","1","1","2","1","1","2","1","2"
"51","1","1","1","2","1","1","1","2","1","2","2","2","2","1","2","2","2","4"
"52","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","1","1","6"
"53","1","2","2","2","1","1","1","2","1","1","1","2","1","1","2","1","3","6"
"54","1","2","1","1","1","2","2","2","1","2","2","2","2","2","2","1","2","2"
"55","1","1","2","2","2","1","1","1","1","2","1","2","1","1","1","1","5","2"
"56","2","1","2","2","1","2","1","1","1","2","2","1","1","1","2","1","2","5"
"57","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","5","6"
"58","1","2","2","2","2","2","1","1","2","1","2","1","1","2","2","2","5","4"
"59","1","2","1","2","2","2","1","1","1","2","2","1","1","2","1","1","4","1"
"60","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","1","5","6"
