"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","2","1","1","2","1","1","1","1","2","1","2","1","1","1","1","2","1","2"
"2","2","2","2","1","2","1","1","1","2","2","2","1","1","1","2","1","2","2","2"
"3","1","1","2","2","2","1","1","1","1","2","2","2","2","2","2","2","1","3","1"
"4","2","2","1","2","2","2","2","2","1","1","1","2","1","2","2","2","1","2","5"
"5","2","1","1","2","2","1","2","1","2","2","1","1","1","1","1","1","1","3","4"
"6","2","1","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","2","5"
"7","2","2","2","2","1","1","1","2","2","1","2","2","2","1","1","2","1","1","5"
"8","2","1","1","2","1","1","2","1","1","1","2","1","1","2","2","1","2","1","1"
"9","2","2","1","1","2","2","1","2","2","2","2","2","1","2","2","1","2","3","2"
"10","1","1","2","2","1","1","2","1","2","2","2","1","1","2","2","1","1","2","5"
"11","1","1","2","1","1","2","1","1","2","1","1","1","2","2","2","1","2","3","3"
"12","2","1","1","1","2","1","2","1","2","1","1","2","2","1","2","1","1","3","5"
"13","1","2","1","1","1","1","2","1","2","2","1","2","2","2","1","1","2","3","1"
"14","2","1","2","2","2","2","2","1","2","2","1","2","1","2","2","2","2","2","4"
"15","1","2","2","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","3"
"16","1","1","1","2","2","2","1","2","2","1","1","2","1","2","1","1","1","2","3"
"17","2","2","2","2","1","1","1","1","2","1","2","2","2","2","1","1","1","1","3"
"18","1","2","2","1","2","1","1","2","2","1","1","1","2","1","1","1","2","2","5"
"19","2","2","2","2","1","2","1","2","1","1","1","1","1","1","2","2","2","3","1"
"20","1","1","1","2","1","1","2","2","2","1","1","1","2","1","2","2","2","2","2"
"21","2","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","1","2","2"
"22","2","2","2","2","2","1","2","1","1","1","1","1","2","1","1","1","1","3","2"
"23","1","1","2","2","1","2","2","2","2","2","1","2","2","1","1","2","2","3","2"
"24","2","1","2","1","2","2","1","2","2","1","2","1","2","2","1","1","1","1","1"
"25","2","1","1","1","1","1","1","2","1","1","2","2","2","1","2","1","2","2","4"
"26","1","2","1","2","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1"
"27","2","2","1","2","1","2","2","1","2","2","2","1","2","2","1","2","2","2","3"
"28","1","2","2","1","2","1","2","2","2","2","2","1","2","2","1","2","1","2","4"
"29","1","2","1","1","2","2","2","1","2","1","2","1","2","2","2","2","1","1","2"
"30","2","2","1","1","1","1","1","2","1","2","1","1","2","2","2","2","1","3","5"
"31","1","2","1","2","1","1","1","1","2","2","1","2","1","1","1","2","2","1","1"
"32","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","2","1","3","3"
"33","2","2","2","2","2","2","1","1","1","2","2","1","2","1","2","1","2","1","4"
"34","2","1","2","1","2","1","2","1","2","1","1","2","1","2","2","2","2","1","5"
"35","1","2","1","1","1","2","2","1","1","2","2","1","1","1","1","1","1","1","5"
"36","2","1","1","1","1","2","1","1","2","2","1","2","1","1","2","2","1","1","3"
"37","2","2","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","2","3"
"38","1","1","2","2","2","2","1","2","2","2","2","2","1","1","1","1","2","3","5"
"39","2","1","2","2","1","2","1","2","2","2","2","1","1","1","2","2","1","1","2"
"40","2","1","2","1","1","1","2","2","1","2","1","1","1","1","1","2","1","2","1"
"41","1","2","2","1","2","2","2","2","1","2","1","2","2","1","2","2","1","1","1"
"42","1","1","1","2","2","2","2","1","1","1","2","2","2","1","2","1","2","2","1"
"43","2","1","1","1","2","2","2","2","2","1","2","1","1","1","1","1","1","3","1"
"44","1","2","1","2","2","1","2","2","2","1","2","2","1","1","2","2","1","1","4"
"45","2","2","1","1","2","1","2","2","1","2","2","2","1","2","1","2","2","3","3"
"46","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","2","2","3","4"
"47","2","2","2","1","2","2","1","1","2","1","1","1","1","2","1","2","2","2","1"
"48","1","2","2","2","1","2","2","1","1","1","2","1","1","2","1","2","2","3","5"
"49","1","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","2","4"
"50","2","1","2","2","1","1","2","2","1","1","1","2","2","2","1","1","2","1","2"
"51","1","1","2","1","2","1","1","1","1","2","1","1","2","1","2","2","1","2","3"
"52","1","2","2","1","1","2","2","1","2","1","2","2","2","1","2","2","2","3","4"
"53","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","1","3","2"
"54","2","2","1","2","1","2","2","2","2","2","1","1","2","1","2","1","1","3","3"
"55","1","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","5"
"56","1","1","1","1","1","1","1","2","2","1","1","1","1","2","1","2","2","1","4"
"57","2","1","2","1","1","2","2","1","1","2","1","2","2","2","1","1","1","1","4"
"58","1","1","1","1","2","2","2","2","1","1","2","1","2","1","1","2","2","1","3"
"59","1","1","2","1","1","2","2","2","1","2","2","2","1","2","1","1","1","2","2"
"60","1","2","2","1","1","2","1","2","1","1","1","2","1","2","2","1","1","3","4"
