"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","1","2","1","2","2","2","3","4","1","4","3","4","1","2","3","2","1"
"2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3","1","1","1","1","2","1","2","1","3","3","3","3","3","3","3","3","3","3","3"
"4","1","2","1","1","1","1","1","3","2","4","1","3","2","2","3","4","4","3","1"
"5","1","2","2","1","2","1","2","2","4","2","1","4","3","2","4","1","1","3","2"
"6","1","1","2","2","1","2","2","2","2","2","4","4","4","3","3","3","1","1","1"
"7","1","2","2","1","1","1","1","2","2","4","3","2","1","4","2","3","3","1","4"
"8","2","2","1","2","2","1","2","2","2","1","4","1","2","1","4","3","2","3","4"
"9","2","1","2","1","1","1","1","1","3","2","4","1","2","4","3","1","3","4","2"
"10","1","1","2","2","2","1","2","2","3","3","1","1","1","2","2","2","4","4","4"
"11","2","2","2","1","2","1","2","3","2","1","1","2","4","3","1","4","3","4","2"
"12","2","1","1","1","1","2","2","2","4","1","2","1","3","2","3","4","3","1","4"
"13","2","2","2","2","2","1","2","1","2","1","2","4","1","4","3","1","4","2","3"
"14","1","2","1","2","1","1","1","1","2","4","2","1","3","3","4","2","1","4","3"
"15","1","2","1","1","1","2","2","3","1","3","2","4","1","1","4","3","3","4","2"
"16","1","1","2","2","1","1","1","3","1","1","4","4","4","2","2","2","3","3","3"
"17","1","1","2","2","2","2","1","2","4","4","2","2","2","1","1","1","3","3","3"
"18","2","1","1","2","1","2","2","3","4","1","1","3","2","4","2","3","1","4","3"
"19","1","2","2","1","2","2","1","2","3","1","2","3","4","1","3","2","2","4","1"
"20","2","2","1","2","1","1","1","2","4","3","2","3","4","3","2","1","4","1","2"
"21","1","1","2","2","1","1","1","2","1","1","3","3","3","4","4","4","2","2","2"
"22","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2"
"23","1","2","1","1","2","1","2","3","4","2","3","1","4","4","1","2","2","1","3"
"24","2","1","1","2","1","1","1","3","3","2","2","4","1","3","1","4","2","3","4"
"25","1","2","1","1","2","2","1","3","3","1","4","2","3","3","2","1","1","2","4"
"26","2","1","2","1","2","2","1","1","2","3","1","4","3","1","2","4","2","1","3"
"27","2","1","1","2","2","1","2","3","1","4","4","2","3","1","3","2","4","1","2"
"28","2","2","2","2","1","2","2","1","3","4","3","1","4","1","2","4","1","3","2"
"29","1","1","2","2","2","1","2","3","3","3","2","2","2","4","4","4","1","1","1"
"30","2","2","2","1","1","1","1","3","4","3","3","4","2","1","3","2","1","2","4"
"31","2","2","1","2","2","2","1","2","1","2","3","2","1","2","3","4","1","4","3"
"32","2","1","1","2","2","2","1","3","2","3","3","1","4","2","4","1","3","2","1"
"33","2","2","2","2","2","2","1","1","1","2","1","3","2","3","4","2","3","1","4"
"34","1","2","1","2","2","2","1","1","3","1","3","4","2","2","1","3","4","1","2"
"35","1","1","2","2","1","2","2","3","2","2","3","3","3","1","1","1","4","4","4"
"36","2","1","2","1","1","2","2","1","4","1","3","2","1","3","4","2","4","3","1"
"37","1","2","1","2","1","2","2","1","1","3","1","2","4","4","3","1","2","3","4"
"38","2","2","2","1","1","2","2","3","3","4","4","3","1","2","4","1","2","1","3"
"39","2","1","1","1","1","1","1","2","3","2","1","2","4","1","4","3","4","2","3"
"40","2","1","2","1","2","1","2","1","1","4","2","3","4","2","1","3","1","2","4"
"41","2","1","1","1","2","2","1","2","2","3","4","3","1","4","1","2","1","3","2"
"42","2","2","2","2","1","1","1","1","4","3","4","2","3","2","1","3","2","4","1"
"43","1","2","2","1","1","2","2","2","1","3","4","1","2","3","1","4","4","2","3"
"44","2","1","1","1","2","1","2","2","1","4","3","4","2","3","2","1","2","4","1"
"45","2","2","2","1","2","2","1","3","1","2","2","1","3","4","2","3","4","3","1"
"46","1","2","1","2","2","1","2","1","4","2","4","3","1","1","2","4","3","2","1"
"47","1","1","1","1","2","2","1","1","4","4","4","4","4","4","4","4","4","4","4"
"48","1","1","2","2","2","2","1","3","4","4","1","1","1","3","3","3","2","2","2"
