,A,B,C
1,1,1,6
2,1,2,1
3,1,3,5
4,1,4,3
5,1,1,6
6,1,2,4
7,1,3,5
8,1,4,3
9,1,1,3
10,1,2,2
11,1,3,3
12,1,4,4
13,1,1,2
14,1,2,2
15,1,3,4
16,1,4,1
17,1,1,7
18,1,2,7
19,1,3,6
20,1,4,2
21,1,1,5
22,1,2,4
23,1,3,1
24,1,4,6
25,1,1,1
26,1,2,5
27,1,3,7
28,1,4,7
29,2,1,2
30,2,2,6
31,2,3,4
32,2,4,7
33,2,1,5
34,2,2,5
35,2,3,7
36,2,4,1
37,2,1,2
38,2,2,7
39,2,3,6
40,2,4,4
41,2,1,3
42,2,2,7
43,2,3,1
44,2,4,2
45,2,1,5
46,2,2,6
47,2,3,1
48,2,4,5
49,2,1,6
50,2,2,3
51,2,3,3
52,2,4,3
53,2,1,1
54,2,2,2
55,2,3,4
56,2,4,4
57,3,1,7
58,3,2,3
59,3,3,2
60,3,4,6
61,3,1,7
62,3,2,5
63,3,3,2
64,3,4,6
65,3,1,4
66,3,2,4
67,3,3,6
68,3,4,5
69,3,1,4
70,3,2,6
71,3,3,2
72,3,4,1
73,3,1,4
74,3,2,1
75,3,3,3
76,3,4,7
77,3,1,1
78,3,2,3
79,3,3,7
80,3,4,5
81,3,1,3
82,3,2,1
83,3,3,5
84,3,4,2
