"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"94","1","3","2","2","1","2","3","3","3","1","1","3","3","3","7"
"95","1","3","3","3","2","2","2","2","3","2","1","2","2","3","12"
"96","3","1","2","3","3","2","2","1","1","3","2","2","3","2","11"
"97","2","1","2","2","2","2","1","3","2","2","1","3","1","3","1"
"98","1","2","1","2","3","1","1","3","2","2","2","2","1","2","1"
"99","1","2","1","2","3","2","1","1","3","3","3","2","1","2","3"
"100","3","1","3","1","2","1","3","3","2","2","2","1","3","2","3"
"101","1","1","1","3","3","3","3","2","2","1","1","1","2","1","3"
"102","1","2","1","3","2","2","3","2","1","2","3","1","1","2","4"
"103","3","2","2","3","2","3","2","3","2","2","1","3","3","3","10"
"104","3","1","2","1","3","2","1","2","3","2","2","3","1","2","12"
"105","3","3","3","2","2","2","2","1","1","3","3","3","1","1","3"
"106","3","2","1","1","1","2","2","1","2","1","3","3","1","3","8"
"107","2","1","2","1","2","3","2","1","1","2","3","2","1","3","5"
"108","3","2","1","1","2","2","2","3","3","2","1","3","1","3","9"
"109","3","3","2","3","2","1","1","3","1","1","2","1","2","1","9"
"110","2","3","2","3","1","3","2","2","1","1","1","3","2","2","3"
"111","2","2","3","2","3","2","3","3","1","1","2","2","3","1","4"
"112","3","1","3","2","1","1","2","1","3","1","2","3","3","2","4"
"113","3","1","1","3","2","2","3","2","3","1","2","2","1","2","8"
"114","2","1","3","3","1","1","1","2","2","1","3","2","3","3","9"
"115","3","2","2","2","2","3","3","2","1","1","2","2","1","3","13"
"116","3","3","3","1","1","3","1","3","3","1","2","1","1","1","2"
"117","2","1","2","2","1","1","3","1","3","2","2","3","2","3","3"
