"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","2","2","1","1","2","1","2","2","1","1","2","1","3","2","4","6","1","6","3","5"
"2","2","1","2","1","1","1","3","1","2","3","3","1","3","2","6","2","4","5","4","5"
"3","2","1","1","1","2","1","3","1","2","1","2","3","2","1","5","3","2","6","4","4"
"4","2","2","1","1","2","1","1","1","3","3","1","3","2","2","4","2","3","2","5","1"
"5","1","2","1","2","2","1","2","3","1","2","2","3","2","3","6","1","3","4","3","4"
"6","1","1","2","2","1","1","1","1","3","3","1","3","2","3","4","5","6","5","2","4"
"7","2","1","1","2","1","2","3","2","2","1","1","2","3","4","4","5","6","4","3","1"
"8","2","1","1","2","2","2","3","1","3","2","1","2","2","3","3","4","1","3","6","5"
"9","2","2","2","2","2","1","2","2","2","2","2","2","2","4","1","2","2","2","2","2"
"10","2","1","2","1","1","1","2","3","1","2","2","3","2","2","6","4","6","1","6","1"
"11","2","2","2","1","2","1","2","1","3","1","3","3","1","3","2","5","2","1","3","5"
"12","1","1","2","2","2","2","2","1","2","2","1","3","3","1","6","6","4","4","5","3"
"13","2","1","2","1","1","2","2","2","2","3","1","3","1","3","5","4","3","6","1","2"
"14","1","1","2","1","2","2","2","2","3","3","3","2","2","4","2","3","1","4","4","1"
"15","1","2","2","1","2","2","2","1","1","3","3","1","2","1","4","4","5","3","2","6"
"16","2","1","2","2","2","2","1","3","2","3","1","1","2","2","1","3","5","1","3","2"
"17","2","2","2","1","2","1","1","3","2","3","2","2","3","3","2","1","4","3","5","1"
"18","2","2","1","2","1","2","3","3","1","1","1","3","3","1","2","4","2","5","5","2"
"19","1","1","1","1","2","1","3","1","1","3","2","2","1","4","3","6","6","1","5","2"
"20","2","1","1","2","1","2","1","3","3","2","2","3","1","4","4","3","4","2","1","5"
"21","2","1","1","1","2","1","2","3","1","3","1","2","1","1","5","5","4","2","6","6"
"22","2","2","1","1","1","2","3","2","3","3","2","1","1","4","6","1","5","5","6","4"
"23","2","1","2","1","1","1","1","2","3","1","1","2","1","2","6","6","2","3","2","3"
"24","1","1","2","2","2","2","3","2","3","3","2","1","1","1","6","4","2","2","3","1"
"25","1","2","1","2","2","1","1","2","3","1","1","2","1","3","6","3","5","6","5","6"
"26","1","2","1","2","2","2","3","3","3","1","2","1","2","2","5","5","4","1","2","3"
"27","2","2","1","2","1","2","2","2","3","3","3","2","2","1","2","6","4","1","1","4"
"28","1","2","2","1","1","2","1","2","1","3","2","3","3","2","3","5","2","4","1","6"
"29","1","1","1","2","1","1","3","2","1","2","1","1","2","2","2","6","3","2","4","6"
"30","1","1","2","2","1","1","2","2","1","1","2","1","3","3","4","3","4","3","6","2"
"31","1","2","1","1","1","2","2","1","3","1","2","2","3","3","1","4","6","2","4","3"
"32","2","1","1","2","1","2","2","1","1","3","3","1","2","4","4","1","2","6","5","3"
"33","1","2","2","2","1","1","2","3","1","3","1","2","1","4","5","2","1","5","3","3"
"34","2","1","2","2","2","2","3","2","1","2","3","3","1","2","1","5","1","3","5","4"
"35","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","5","5","5","5","5"
"36","1","1","1","1","2","1","2","3","3","2","1","1","3","4","3","2","2","3","1","4"
"37","2","2","1","1","2","1","3","3","2","2","3","2","1","2","4","4","5","4","1","3"
"38","2","1","1","2","2","2","1","2","1","3","2","3","3","3","3","2","5","1","4","3"
"39","2","2","2","2","1","1","1","2","2","1","3","3","2","1","3","1","1","2","6","3"
"40","1","2","1","2","2","1","3","1","2","3","3","1","3","3","6","5","1","2","1","2"
"41","2","1","2","1","1","2","3","3","3","1","2","1","2","3","5","2","1","4","5","6"
"42","2","1","2","2","2","2","2","1","3","1","2","2","3","2","1","1","3","5","1","6"
"43","1","2","1","2","2","2","2","2","2","3","1","3","1","2","5","1","6","3","4","5"
"44","2","2","2","2","2","1","1","1","1","1","1","1","1","4","1","4","4","4","4","4"
"45","2","2","2","2","1","1","2","3","3","2","1","1","3","1","3","5","5","6","4","1"
"46","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"47","1","1","2","2","1","1","3","3","2","2","3","2","1","3","4","1","2","1","4","6"
"48","1","2","1","1","1","2","3","2","1","2","3","3","1","3","1","2","4","6","2","1"
"49","2","2","2","2","2","1","3","3","3","3","3","3","3","4","1","6","6","6","6","6"
"50","2","2","1","1","1","2","1","3","1","1","3","2","2","4","6","5","3","3","4","2"
"51","1","1","1","2","1","1","1","3","2","3","2","2","3","2","2","4","1","6","2","4"
"52","1","2","2","2","1","1","1","2","3","2","3","1","3","4","5","4","3","1","5","5"
"53","2","2","2","1","2","1","3","2","1","2","1","1","2","3","2","3","6","5","1","3"
"54","1","2","2","1","2","2","1","3","3","2","2","3","1","1","4","6","1","5","4","2"
"55","1","2","2","2","1","1","3","1","2","1","2","3","2","4","5","6","5","3","1","1"
"56","1","2","1","2","2","2","1","1","1","2","3","2","3","2","5","3","2","5","6","1"
"57","1","1","2","1","2","2","3","3","1","1","1","3","3","4","2","1","5","2","2","5"
"58","2","1","1","2","2","2","2","3","2","1","3","1","1","3","3","6","3","5","2","1"
"59","1","1","1","1","2","1","1","2","2","1","3","3","2","4","3","4","4","5","3","6"
"60","1","2","1","1","1","2","1","3","2","3","1","1","2","3","1","6","2","4","6","5"
"61","1","1","2","1","2","2","1","1","2","2","2","1","1","4","2","5","3","6","6","3"
"62","1","1","1","2","1","1","2","1","3","1","3","3","1","2","2","2","5","4","6","2"
"63","1","2","2","1","1","2","2","3","2","1","3","1","1","2","3","3","6","2","5","4"
"64","2","1","2","1","1","2","1","1","1","2","3","2","3","3","5","6","5","2","3","4"
"65","1","2","2","1","2","2","3","2","2","1","1","2","3","1","4","2","3","1","6","4"
"66","1","1","1","1","1","1","3","3","3","3","3","3","3","1","1","3","3","3","3","3"
"67","2","1","1","1","2","1","1","2","3","2","3","1","3","1","5","1","6","4","2","2"
"68","2","2","1","2","1","2","1","1","2","2","2","1","1","1","2","2","6","3","3","6"
"69","1","1","2","2","2","2","1","3","1","1","3","2","2","1","6","2","6","6","1","5"
"70","1","2","2","1","1","2","3","1","3","2","1","2","2","2","3","1","4","6","3","2"
"71","2","2","2","2","1","1","3","1","1","3","2","2","1","1","3","3","3","4","2","5"
"72","2","2","1","1","1","2","2","1","2","2","1","3","3","4","6","3","1","1","2","6"
