"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","1","2","3","4","5","6","7","1","1","2","3","4","5","6","7","2"
"2","2","3","5","1","5","3","2","2","4","7","1","7","4","6","6","6"
"3","2","7","7","1","3","6","3","1","4","4","2","5","6","5","2","4"
"4","2","7","5","4","4","5","7","3","2","6","1","1","6","2","3","2"
"5","2","6","7","2","5","2","7","6","3","1","4","5","4","1","3","5"
"6","1","1","5","2","6","3","7","4","6","3","7","4","1","5","2","5"
"7","1","4","1","5","2","6","3","7","2","6","3","7","4","1","5","5"
"8","2","3","6","3","1","7","7","1","5","6","5","2","4","4","2","7"
"9","1","1","6","4","2","7","5","3","4","2","7","5","3","1","6","6"
"10","1","1","4","7","3","6","2","5","6","2","5","1","4","7","3","4"
"11","1","7","4","1","5","2","6","3","5","2","6","3","7","4","1","5"
"12","2","6","5","5","6","1","4","1","7","2","2","7","3","4","3","3"
"13","1","7","3","6","2","5","1","4","5","1","4","7","3","6","2","4"
"14","2","3","3","4","6","2","6","4","7","7","5","1","2","1","5","4"
"15","1","6","2","5","1","4","7","3","4","7","3","6","2","5","1","4"
"16","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"17","2","5","6","1","4","1","6","5","2","7","3","4","3","7","2","5"
"18","1","5","2","6","3","7","4","1","3","7","4","1","5","2","6","5"
"19","1","2","7","5","3","1","6","4","5","3","1","6","4","2","7","6"
"20","2","1","5","3","2","2","3","5","1","7","4","6","6","4","7","1"
"21","2","7","3","7","5","4","4","5","2","3","2","6","1","1","6","7"
"22","1","5","6","7","1","2","3","4","4","5","6","7","1","2","3","2"
"23","2","1","6","5","5","6","1","4","3","7","2","2","7","3","4","2"
"24","1","1","2","3","4","5","6","7","7","1","2","3","4","5","6","2"
"25","1","4","3","2","1","7","6","5","3","2","1","7","6","5","4","7"
"26","2","4","6","2","6","4","3","3","5","1","2","1","5","7","7","6"
"27","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"28","2","1","1","2","4","7","4","2","5","5","3","6","7","6","3","4"
"29","2","6","6","7","2","5","2","7","3","3","1","4","5","4","1","4"
"30","2","1","7","7","1","3","6","3","2","4","4","2","5","6","5","3"
"31","2","4","4","5","7","3","7","5","1","1","6","2","3","2","6","4"
"32","1","3","2","1","7","6","5","4","2","1","7","6","5","4","3","7"
"33","1","2","1","7","6","5","4","3","1","7","6","5","4","3","2","7"
"34","2","4","3","3","4","6","2","6","5","7","7","5","1","2","1","3"
"35","1","1","7","6","5","4","3","2","7","6","5","4","3","2","1","7"
"36","2","7","2","5","2","7","6","6","1","4","5","4","1","3","3","6"
"37","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"38","2","6","4","3","3","4","6","2","1","5","7","7","5","1","2","2"
"39","2","5","4","4","5","7","3","7","6","1","1","6","2","3","2","3"
"40","2","1","2","4","7","4","2","1","5","3","6","7","6","3","5","5"
"41","2","6","1","4","1","6","5","5","7","3","4","3","7","2","2","6"
"42","1","2","4","6","1","3","5","7","5","7","2","4","6","1","3","3"
"43","1","2","6","3","7","4","1","5","7","4","1","5","2","6","3","5"
"44","1","5","7","2","4","6","1","3","1","3","5","7","2","4","6","3"
"45","2","5","3","2","2","3","5","1","7","4","6","6","4","7","1","2"
"46","1","4","5","6","7","1","2","3","3","4","5","6","7","1","2","2"
"47","2","1","3","6","3","1","7","7","2","5","6","5","2","4","4","6"
"48","2","2","3","5","1","5","3","2","6","4","7","1","7","4","6","5"
"49","2","2","4","7","4","2","1","1","3","6","7","6","3","5","5","6"
"50","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1"
"51","1","7","1","2","3","4","5","6","6","7","1","2","3","4","5","2"
"52","2","2","1","1","2","4","7","4","3","5","5","3","6","7","6","3"
"53","2","7","6","6","7","2","5","2","1","3","3","1","4","5","4","3"
"54","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1"
"55","2","3","7","5","4","4","5","7","3","2","6","1","1","6","2","1"
"56","2","6","3","1","7","7","1","3","6","5","2","4","4","2","5","1"
"57","2","2","6","4","3","3","4","6","2","1","5","7","7","5","1","1"
"58","2","5","7","3","7","5","4","4","6","2","3","2","6","1","1","6"
"59","2","4","1","6","5","5","6","1","4","3","7","2","2","7","3","1"
"60","1","4","6","1","3","5","7","2","7","2","4","6","1","3","5","3"
"61","1","5","1","4","7","3","6","2","3","6","2","5","1","4","7","4"
"62","1","6","5","4","3","2","1","7","5","4","3","2","1","7","6","7"
"63","2","5","1","5","3","2","2","3","7","1","7","4","6","6","4","7"
"64","2","2","7","6","6","7","2","5","4","1","3","3","1","4","5","2"
"65","2","3","2","2","3","5","1","5","4","6","6","4","7","1","7","3"
"66","1","6","1","3","5","7","2","4","2","4","6","1","3","5","7","3"
"67","2","6","2","6","4","3","3","4","1","2","1","5","7","7","5","7"
"68","1","6","4","2","7","5","3","1","2","7","5","3","1","6","4","6"
"69","1","5","4","3","2","1","7","6","4","3","2","1","7","6","5","7"
"70","2","5","2","7","6","6","7","2","5","4","1","3","3","1","4","1"
"71","1","7","6","5","4","3","2","1","6","5","4","3","2","1","7","7"
"72","1","7","5","3","1","6","4","2","3","1","6","4","2","7","5","6"
"73","2","3","4","6","2","6","4","3","7","5","1","2","1","5","7","5"
"74","1","4","7","3","6","2","5","1","2","5","1","4","7","3","6","4"
"75","1","5","3","1","6","4","2","7","1","6","4","2","7","5","3","6"
"76","2","2","5","2","7","6","6","7","4","5","4","1","3","3","1","7"
"77","1","4","2","7","5","3","1","6","7","5","3","1","6","4","2","6"
"78","1","3","5","7","2","4","6","1","6","1","3","5","7","2","4","3"
"79","2","4","2","1","1","2","4","7","6","3","5","5","3","6","7","2"
"80","1","6","6","6","6","6","6","6","6","6","6","6","6","6","6","1"
"81","2","2","2","3","5","1","5","3","6","6","4","7","1","7","4","4"
"82","2","7","4","2","1","1","2","4","7","6","3","5","5","3","6","1"
"83","1","6","7","1","2","3","4","5","5","6","7","1","2","3","4","2"
"84","2","3","1","7","7","1","3","6","5","2","4","4","2","5","6","2"
"85","1","3","7","4","1","5","2","6","1","5","2","6","3","7","4","5"
"86","1","3","4","5","6","7","1","2","2","3","4","5","6","7","1","2"
"87","2","5","5","6","1","4","1","6","2","2","7","3","4","3","7","4"
"88","2","1","4","1","6","5","5","6","3","4","3","7","2","2","7","7"
"89","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"90","1","6","3","7","4","1","5","2","4","1","5","2","6","3","7","5"
"91","2","4","5","7","3","7","5","4","1","6","2","3","2","6","1","5"
"92","1","3","6","2","5","1","4","7","1","4","7","3","6","2","5","4"
"93","1","2","5","1","4","7","3","6","7","3","6","2","5","1","4","4"
"94","2","4","7","4","2","1","1","2","6","7","6","3","5","5","3","7"
"95","2","7","1","3","6","3","1","7","4","2","5","6","5","2","4","5"
"96","1","7","2","4","6","1","3","5","3","5","7","2","4","6","1","3"
"97","1","1","3","5","7","2","4","6","4","6","1","3","5","7","2","3"
"98","1","3","1","6","4","2","7","5","6","4","2","7","5","3","1","6"
